time,description,home_score,away_score,team
12:00,Jarrett Allen vs. Ariel Hukporti (Donovan Mitchell gains possession),0,0,Cavaliers
11:45,Evan Mobley makes 11-foot two point shot,2,0,Cavaliers
11:20,Jalen Brunson makes 22-foot three point jumper (Karl-Anthony Towns assists),2,3,Unknown
11:02,Evan Mobley misses 13-foot two point shot,2,3,Cavaliers
11:00,Ariel Hukporti defensive rebound,2,3,Unknown
10:53,Evan Mobley shooting foul,2,3,Cavaliers
10:53,Karl-Anthony Towns makes free throw 1 of 3,2,4,Unknown
10:53,Karl-Anthony Towns misses free throw 2 of 3,2,4,Unknown
10:53,Knicks offensive team rebound,2,4,Unknown
10:53,Karl-Anthony Towns makes free throw 3 of 3,2,5,Unknown
10:44,Donovan Mitchell makes driving layup,4,5,Cavaliers
10:32,Jalen Brunson misses 9-foot pullup jump shot,4,5,Unknown
10:29,Jarrett Allen defensive rebound,4,5,Cavaliers
10:11,Jaylon Tyson makes 26-foot three point jumper (Donovan Mitchell assists),7,5,Cavaliers
10:02,Karl-Anthony Towns offensive foul,7,5,Unknown
10:02,Karl-Anthony Towns turnover,7,5,Unknown
9:48,Evan Mobley misses 11-foot pullup jump shot,7,5,Cavaliers
9:45,OG Anunoby defensive rebound,7,5,Unknown
9:40,OG Anunoby bad pass (Jarrett Allen steals),7,5,Unknown
9:37,Ariel Hukporti blocks Jarrett Allen's two point shot,7,5,Cavaliers
9:34,Jaylon Tyson offensive rebound,7,5,Cavaliers
9:28,Sam Merrill makes 24-foot three point jumper (Jaylon Tyson assists),10,5,Cavaliers
9:10,Karl-Anthony Towns misses 2-foot two point shot,10,5,Unknown
9:08,Cavaliers defensive team rebound,10,5,Cavaliers
8:57,Sam Merrill misses 25-foot three point jumper,10,5,Cavaliers
8:55,Karl-Anthony Towns defensive rebound,10,5,Unknown
8:37,OG Anunoby makes 15-foot step back jumpshot (Jalen Brunson assists),10,7,Unknown
8:17,Evan Mobley bad pass (OG Anunoby steals),10,7,Cavaliers
8:12,Jaylon Tyson personal foul,10,7,Cavaliers
8:06,Karl-Anthony Towns misses 23-foot three point jumper,10,7,Unknown
8:03,Ariel Hukporti offensive rebound,10,7,Unknown
8:00,Mikal Bridges makes 22-foot three point jumper (OG Anunoby assists),10,10,Unknown
7:46,Evan Mobley misses 25-foot three point jumper,10,10,Cavaliers
7:43,OG Anunoby defensive rebound,10,10,Unknown
7:35,Karl-Anthony Towns makes 1-foot dunk (Ariel Hukporti assists),10,12,Unknown
7:27,Karl-Anthony Towns personal foul,10,12,Unknown
7:27,Guerschon Yabusele enters the game for Karl-Anthony Towns,10,12,Unknown
7:16,Evan Mobley misses two point shot,10,12,Cavaliers
7:15,Ariel Hukporti defensive rebound,10,12,Unknown
7:06,Jalen Brunson makes 1-foot two point shot,10,14,Unknown
7:06,Cavaliers Full timeout,10,14,Cavaliers
7:06,Dean Wade enters the game for Jarrett Allen,10,14,Cavaliers
7:06,Lonzo Ball enters the game for Donovan Mitchell,10,14,Cavaliers
6:41,Lonzo Ball misses 26-foot jump bank shot,10,14,Cavaliers
6:39,Jalen Brunson defensive rebound,10,14,Unknown
6:24,Jalen Brunson misses 26-foot three point jumper,10,14,Unknown
6:23,Mikal Bridges offensive rebound,10,14,Unknown
6:21,OG Anunoby makes 24-foot three point jumper (Mikal Bridges assists),10,17,Unknown
6:05,Evan Mobley makes 26-foot three point jumper (Sam Merrill assists),13,17,Cavaliers
5:50,OG Anunoby misses driving floating jump shot,13,17,Unknown
5:49,Evan Mobley defensive rebound,13,17,Cavaliers
5:41,Lonzo Ball misses 26-foot three point jumper,13,17,Cavaliers
5:38,Jalen Brunson defensive rebound,13,17,Unknown
5:30,Jalen Brunson misses 27-foot three point jumper,13,17,Unknown
5:27,Lonzo Ball defensive rebound,13,17,Cavaliers
5:19,Evan Mobley misses 26-foot three point pullup jump shot,13,17,Cavaliers
5:16,Ariel Hukporti defensive rebound,13,17,Unknown
5:10,Jalen Brunson misses 25-foot three point jumper,13,17,Unknown
5:08,Guerschon Yabusele offensive rebound,13,17,Unknown
5:05,OG Anunoby misses 24-foot three point jumper,13,17,Unknown
5:02,Lonzo Ball defensive rebound,13,17,Cavaliers
4:51,Evan Mobley out of bounds lost ball turnover,13,17,Cavaliers
4:51,Miles McBride enters the game for OG Anunoby,13,17,Unknown
4:51,Trey Jemison III enters the game for Ariel Hukporti,13,17,Unknown
4:51,Craig Porter Jr. enters the game for Sam Merrill,13,17,Cavaliers
4:33,Jaylon Tyson shooting foul,13,17,Cavaliers
4:33,Jalen Brunson makes free throw 1 of 2,13,18,Unknown
4:33,Jalen Brunson makes free throw 2 of 2,13,19,Unknown
4:15,Jaylon Tyson misses 24-foot three point jumper,13,19,Cavaliers
4:13,Trey Jemison III defensive rebound,13,19,Unknown
3:59,Guerschon Yabusele misses 25-foot three point jumper,13,19,Unknown
3:57,Lonzo Ball defensive rebound,13,19,Cavaliers
3:50,Craig Porter Jr. misses 25-foot three point step back jumpshot,13,19,Cavaliers
3:47,Lonzo Ball offensive rebound,13,19,Cavaliers
3:45,Evan Mobley makes 26-foot three point jumper (Lonzo Ball assists),16,19,Cavaliers
3:25,Mikal Bridges makes 9-foot step back jumpshot,16,21,Unknown
3:01,Jaylon Tyson lost ball turnover (Mikal Bridges steals),16,21,Cavaliers
2:58,Mikal Bridges makes two point shot,16,23,Unknown
2:48,Lonzo Ball misses 25-foot three point jumper,16,23,Cavaliers
2:45,Mikal Bridges defensive rebound,16,23,Unknown
2:37,Mikal Bridges makes 19-foot pullup jump shot,16,25,Unknown
2:37,Evan Mobley shooting foul,16,25,Cavaliers
2:37,Knicks Full timeout,16,25,Unknown
2:37,OG Anunoby enters the game for Guerschon Yabusele,16,25,Unknown
2:37,Jarrett Allen enters the game for Evan Mobley,16,25,Cavaliers
2:37,Donovan Mitchell enters the game for Jaylon Tyson,16,25,Cavaliers
2:37,Mikal Bridges makes free throw 1 of 1,16,26,Unknown
2:20,Jarrett Allen makes 4-foot hook shot (Lonzo Ball assists),18,26,Cavaliers
2:01,Craig Porter Jr. personal foul,18,26,Cavaliers
2:01,Miles McBride makes free throw 1 of 2,18,27,Unknown
2:01,Landry Shamet enters the game for Mikal Bridges,18,27,Unknown
2:01,Miles McBride makes free throw 2 of 2,18,28,Unknown
1:47,Lonzo Ball misses 25-foot three point jumper,18,28,Cavaliers
1:44,OG Anunoby defensive rebound,18,28,Unknown
1:33,Miles McBride misses 25-foot three point jumper,18,28,Unknown
1:31,Cavaliers defensive team rebound,18,28,Cavaliers
1:20,Jarrett Allen misses 6-foot two point shot,18,28,Cavaliers
1:19,OG Anunoby defensive rebound,18,28,Unknown
1:09,OG Anunoby makes 2-foot two point shot,18,30,Unknown
50.4,Dean Wade makes 25-foot three point jumper (Lonzo Ball assists),21,30,Cavaliers
36.0,Miles McBride makes 25-foot three point jumper (Landry Shamet assists),21,33,Unknown
22.1,Landry Shamet personal foul,21,33,Unknown
9.1,Donovan Mitchell makes 14-foot pullup jump shot,23,33,Cavaliers
0.8,Jalen Brunson bad pass (Jarrett Allen steals),23,33,Unknown
0.0,Jarrett Allen misses heave jump shot,23,33,Cavaliers
0.0,Cavaliers offensive team rebound,23,33,Cavaliers
0.0,End of the 1st Quarter,23,33,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,Karl-Anthony Towns enters the game for Jalen Brunson,23,33,Unknown
12:00,Jordan Clarkson enters the game for Miles McBride,23,33,Unknown
12:00,Guerschon Yabusele enters the game for Trey Jemison III,23,33,Unknown
12:00,Tyler Kolek enters the game for Landry Shamet,23,33,Unknown
12:00,Tyrese Proctor enters the game for Dean Wade,23,33,Cavaliers
12:00,Larry Nance Jr. enters the game for Lonzo Ball,23,33,Cavaliers
11:43,OG Anunoby misses 25-foot three point jumper,23,33,Unknown
11:40,Karl-Anthony Towns offensive rebound,23,33,Unknown
11:37,Karl-Anthony Towns makes 1-foot driving dunk,23,35,Unknown
11:37,Cavaliers Full timeout,23,35,Cavaliers
11:27,Donovan Mitchell misses driving layup,23,35,Cavaliers
11:25,Karl-Anthony Towns defensive rebound,23,35,Unknown
11:19,OG Anunoby makes dunk (Tyler Kolek assists),23,37,Unknown
11:07,Craig Porter Jr. makes 12-foot driving floating jump shot,25,37,Cavaliers
10:43,Tyler Kolek makes 25-foot three pointer,25,40,Unknown
10:18,Larry Nance Jr. makes 1-foot driving dunk (Craig Porter Jr. assists),27,40,Cavaliers
10:08,Tyrese Proctor personal foul,27,40,Cavaliers
10:08,Jaylon Tyson enters the game for Craig Porter Jr.,27,40,Cavaliers
9:55,Jordan Clarkson misses 26-foot three point jumper,27,40,Unknown
9:52,Jordan Clarkson offensive rebound,27,40,Unknown
9:39,Jordan Clarkson misses two point shot,27,40,Unknown
9:38,Knicks offensive team rebound,27,40,Unknown
9:38,shot clock turnover,27,40,Unknown
9:27,Donovan Mitchell misses 27-foot three point step back jumpshot,27,40,Cavaliers
9:25,Karl-Anthony Towns defensive rebound,27,40,Unknown
9:13,Larry Nance Jr. shooting foul,27,40,Cavaliers
9:13,Karl-Anthony Towns makes free throw 1 of 2,27,41,Unknown
9:13,Evan Mobley enters the game for Jarrett Allen,27,41,Cavaliers
9:13,Karl-Anthony Towns makes free throw 2 of 2,27,42,Unknown
8:58,Tyler Kolek personal foul,27,42,Unknown
8:51,OG Anunoby blocks Larry Nance Jr. 's 4-foot layup,27,42,Cavaliers
8:50,Cavaliers offensive team rebound,27,42,Cavaliers
8:47,Evan Mobley makes driving layup (Donovan Mitchell assists),29,42,Cavaliers
8:47,Jordan Clarkson shooting foul,29,42,Unknown
8:47,Evan Mobley makes free throw 1 of 1,30,42,Cavaliers
8:33,Karl-Anthony Towns misses two point shot,30,42,Unknown
8:31,Jaylon Tyson defensive rebound,30,42,Cavaliers
8:25,Jaylon Tyson misses 22-foot three point jumper,30,42,Cavaliers
8:23,Knicks defensive team rebound,30,42,Unknown
8:12,Tyrese Proctor personal foul,30,42,Cavaliers
8:00,Karl-Anthony Towns lost ball turnover (Evan Mobley steals),30,42,Unknown
7:49,Larry Nance Jr. makes 23-foot three point jumper (Tyrese Proctor assists),33,42,Cavaliers
7:23,Jordan Clarkson makes 8-foot driving floating jump shot,33,44,Unknown
7:10,Donovan Mitchell out of bounds bad pass turnover,33,44,Cavaliers
7:10,Ariel Hukporti enters the game for OG Anunoby,33,44,Unknown
7:10,Mikal Bridges enters the game for Guerschon Yabusele,33,44,Unknown
7:10,Dean Wade enters the game for Donovan Mitchell,33,44,Cavaliers
6:52,Evan Mobley blocks Ariel Hukporti 's 4-foot layup,33,44,Unknown
6:49,Larry Nance Jr. defensive rebound,33,44,Cavaliers
6:45,Jaylon Tyson bad pass (Mikal Bridges steals),33,44,Cavaliers
6:40,Mikal Bridges misses two point shot,33,44,Unknown
6:38,Dean Wade defensive rebound,33,44,Cavaliers
6:34,Jaylon Tyson makes dunk (Evan Mobley assists),35,44,Cavaliers
6:17,Tyler Kolek misses 26-foot three point jumper,35,44,Unknown
6:15,Tyrese Proctor defensive rebound,35,44,Cavaliers
5:59,Larry Nance Jr. makes 25-foot three point jumper (Tyrese Proctor assists),38,44,Cavaliers
5:59,Knicks Full timeout,38,44,Unknown
5:59,Landry Shamet enters the game for Karl-Anthony Towns,38,44,Unknown
5:59,Miles McBride enters the game for Jordan Clarkson,38,44,Unknown
5:59,Jalen Brunson enters the game for Tyler Kolek,38,44,Unknown
5:59,Sam Merrill enters the game for Tyrese Proctor,38,44,Cavaliers
5:39,Jalen Brunson misses driving floating jump shot,38,44,Unknown
5:36,Evan Mobley defensive rebound,38,44,Cavaliers
5:30,Evan Mobley lost ball turnover (Landry Shamet steals),38,44,Cavaliers
5:26,Landry Shamet out of bounds bad pass turnover,38,44,Unknown
5:26,Lonzo Ball enters the game for Jaylon Tyson,38,44,Cavaliers
5:18,Evan Mobley makes 25-foot three pointer,41,44,Cavaliers
4:57,Jalen Brunson misses 25-foot three point pullup jump shot,41,44,Unknown
4:54,Larry Nance Jr. defensive rebound,41,44,Cavaliers
4:44,Evan Mobley makes layup (Lonzo Ball assists),43,44,Cavaliers
4:30,Miles McBride makes 24-foot three point jumper (Ariel Hukporti assists),43,47,Unknown
4:13,Sam Merrill misses 25-foot three point jumper,43,47,Cavaliers
4:11,Landry Shamet defensive rebound,43,47,Unknown
