time,description,home_score,away_score,team
12:00,Chet Holmgren vs. Isaiah Jackson (Isaiah Hartenstein gains possession),0,0,Thunder
11:39,Aaron Wiggins misses 25-foot three point jumper,0,0,Thunder
11:36,Thunder offensive team rebound,0,0,Thunder
11:30,Luguentz Dort offensive foul,0,0,Thunder
11:30,Luguentz Dort turnover,0,0,Thunder
11:14,Isaiah Jackson offensive foul,0,0,Pacers
11:14,Isaiah Jackson turnover,0,0,Pacers
11:01,Andrew Nembhard shooting foul,0,0,Pacers
11:01,Shai Gilgeous-Alexander makes free throw 1 of 2,1,0,Thunder
11:01,Shai Gilgeous-Alexander misses free throw 2 of 2,1,0,Thunder
11:01,Andrew Nembhard defensive rebound,1,0,Pacers
10:48,Andrew Nembhard misses 14-foot two point shot,1,0,Pacers
10:46,Shai Gilgeous-Alexander defensive rebound,1,0,Thunder
10:34,Chet Holmgren misses 24-foot three point jumper,1,0,Thunder
10:32,Pascal Siakam defensive rebound,1,0,Pacers
10:26,Andrew Nembhard lost ball turnover (Chet Holmgren steals),1,0,Pacers
10:19,Chet Holmgren makes driving layup,3,0,Thunder
10:00,Bennedict Mathurin lost ball turnover (Shai Gilgeous-Alexander steals),3,0,Pacers
10:00,Shai Gilgeous-Alexander out of bounds bad pass turnover,3,0,Thunder
9:56,Isaiah Hartenstein shooting foul,3,0,Thunder
9:56,Bennedict Mathurin makes free throw 1 of 2,3,1,Pacers
9:56,Bennedict Mathurin makes free throw 2 of 2,3,2,Pacers
9:43,Luguentz Dort offensive foul,3,2,Thunder
9:43,Luguentz Dort turnover,3,2,Thunder
9:43,Brooks Barnhizer enters the game for Luguentz Dort,3,2,Thunder
9:37,Andrew Nembhard misses two point shot,3,2,Pacers
9:36,Bennedict Mathurin offensive rebound,3,2,Pacers
9:22,Bennedict Mathurin makes 25-foot three pointer (Andrew Nembhard assists),3,5,Pacers
9:11,Andrew Nembhard shooting foul,3,5,Pacers
