time,description,home_score,away_score,team
12:00,Nic Claxton vs. Ryan Kalkbrenner (Ben Saraf gains possession),0,0,Nets
11:33,Nic Claxton misses 11-foot two point shot,0,0,Nets
11:33,Hornets defensive team rebound,0,0,Hornets
11:18,Cam Thomas shooting foul,0,0,Nets
11:18,Miles Bridges makes free throw 1 of 2,0,1,Hornets
11:18,Miles Bridges misses free throw 2 of 2,0,1,Hornets
11:15,Ben Saraf defensive rebound,0,1,Nets
11:04,Terance Mann misses 23-foot three point step back jumpshot,0,1,Nets
11:01,Kon Knueppel defensive rebound,0,1,Hornets
10:56,Kon Knueppel makes two point shot,0,3,Hornets
10:43,Brandon Miller personal foul,0,3,Hornets
10:34,Cam Thomas misses two point shot,0,3,Nets
10:32,Ryan Kalkbrenner defensive rebound,0,3,Hornets
10:28,Brandon Miller misses running pullup jump shot,0,3,Hornets
10:27,Miles Bridges offensive rebound,0,3,Hornets
10:27,Terance Mann shooting foul,0,3,Nets
10:27,Miles Bridges makes free throw 1 of 2,0,4,Hornets
10:27,Miles Bridges makes free throw 2 of 2,0,5,Hornets
10:12,Nic Claxton makes driving layup (Ben Saraf assists),2,5,Nets
10:04,Michael Porter Jr. personal foul,2,5,Nets
9:58,Ryan Kalkbrenner out of bounds bad pass turnover,2,5,Hornets
9:43,Michael Porter Jr. misses 24-foot three point jumper,2,5,Nets
9:40,Miles Bridges defensive rebound,2,5,Hornets
9:36,Brandon Miller makes 2-foot dunk (LaMelo Ball assists),2,7,Hornets
9:25,Ben Saraf makes driving layup,4,7,Nets
9:18,LaMelo Ball misses 25-foot three point jumper,4,7,Hornets
9:15,Miles Bridges offensive rebound,4,7,Hornets
9:11,Ryan Kalkbrenner 3 second turnover,4,7,Hornets
8:58,Ryan Kalkbrenner blocks Nic Claxton 's 9-foot two point shot,4,7,Nets
8:57,Nets offensive team rebound,4,7,Nets
8:54,Michael Porter Jr. makes 15-foot pullup jump shot,6,7,Nets
8:41,LaMelo Ball makes 28-foot three point jumper (Brandon Miller assists),6,10,Hornets
8:28,Michael Porter Jr. makes 24-foot three point step back jumpshot (Ben Saraf assists),9,10,Nets
8:16,Brandon Miller misses 26-foot three point jumper,9,10,Hornets
8:13,Ben Saraf defensive rebound,9,10,Nets
8:11,Terance Mann steps out of bounds turnover,9,10,Nets
7:53,LaMelo Ball misses driving floating jump shot,9,10,Hornets
7:51,Ben Saraf defensive rebound,9,10,Nets
7:43,Michael Porter Jr. misses driving layup,9,10,Nets
7:43,Nets offensive team rebound,9,10,Nets
7:43,Brandon Miller loose ball foul,9,10,Hornets
7:43,Collin Sexton enters the game for Brandon Miller,9,10,Hornets
7:29,Nic Claxton makes layup (Michael Porter Jr. assists),11,10,Nets
7:22,Cam Thomas personal foul,11,10,Nets
7:19,Ben Saraf shooting foul,11,10,Nets
7:19,Collin Sexton makes free throw 1 of 2,11,11,Hornets
7:19,Collin Sexton makes free throw 2 of 2,11,12,Hornets
7:08,Michael Porter Jr. makes 25-foot three point jumper (Ben Saraf assists),14,12,Nets
7:08,Hornets Full timeout,14,12,Hornets
7:08,Sion James enters the game for Kon Knueppel,14,12,Hornets
6:52,Ryan Kalkbrenner makes 2-foot layup (Collin Sexton assists),14,14,Hornets
6:40,Nic Claxton misses driving layup,14,14,Nets
6:35,Terance Mann offensive rebound,14,14,Nets
6:35,Terance Mann makes tip shot,16,14,Nets
6:31,Ryan Kalkbrenner makes layup (Miles Bridges assists),16,16,Hornets
6:17,Cam Thomas makes 5-foot driving floating jump shot (Nic Claxton assists),18,16,Nets
6:03,Cam Thomas blocks LaMelo Ball 's 7-foot two point shot,18,16,Hornets
5:59,LaMelo Ball offensive rebound,18,16,Hornets
5:58,Ryan Kalkbrenner makes 3-foot dunk (LaMelo Ball assists),18,18,Hornets
5:44,Sion James blocks Michael Porter Jr. 's 3-foot layup,18,18,Nets
5:41,Sion James defensive rebound,18,18,Hornets
5:34,LaMelo Ball misses driving floating jump shot,18,18,Hornets
5:32,Ryan Kalkbrenner offensive rebound,18,18,Hornets
5:29,Collin Sexton misses 20-foot step back jumpshot,18,18,Hornets
5:26,Nic Claxton defensive rebound,18,18,Nets
5:18,Ryan Kalkbrenner shooting foul,18,18,Hornets
5:18,Michael Porter Jr. misses free throw 1 of 2,18,18,Nets
5:18,Nets offensive team rebound,18,18,Nets
5:18,Moussa Diabate enters the game for Ryan Kalkbrenner,18,18,Hornets
5:18,Ziaire Williams enters the game for Terance Mann,18,18,Nets
5:18,Egor Demin enters the game for Nic Claxton,18,18,Nets
5:18,Day'Ron Sharpe enters the game for Ben Saraf,18,18,Nets
5:18,Michael Porter Jr. misses free throw 2 of 2,18,18,Nets
5:14,Sion James defensive rebound,18,18,Hornets
5:05,Miles Bridges misses driving floating jump shot,18,18,Hornets
5:03,Day'Ron Sharpe defensive rebound,18,18,Nets
4:58,Collin Sexton shooting foul,18,18,Hornets
4:58,Cam Thomas makes free throw 1 of 3,19,18,Nets
4:58,Cam Thomas makes free throw 2 of 3,20,18,Nets
4:58,Tidjane Salaun enters the game for Miles Bridges,20,18,Hornets
4:58,Noah Clowney enters the game for Michael Porter Jr.,20,18,Nets
4:58,Cam Thomas makes free throw 3 of 3,21,18,Nets
4:37,Tidjane Salaun misses 3-foot two point shot,21,18,Hornets
4:36,Moussa Diabate offensive rebound,21,18,Hornets
4:34,LaMelo Ball misses 24-foot three point jumper,21,18,Hornets
4:31,Sion James offensive rebound,21,18,Hornets
4:29,Sion James makes 2-foot driving dunk,21,20,Hornets
4:28,Nets Full timeout,21,20,Nets
4:15,Sion James shooting foul,21,20,Hornets
4:15,Cam Thomas makes free throw 1 of 2,22,20,Nets
4:15,Cam Thomas misses free throw 2 of 2,22,20,Nets
4:12,Moussa Diabate defensive rebound,22,20,Hornets
4:01,LaMelo Ball makes driving layup,22,22,Hornets
3:42,Cam Thomas misses 18-foot jumper,22,22,Nets
3:42,Nets offensive team rebound,22,22,Nets
3:42,Moussa Diabate loose ball foul,22,22,Hornets
3:42,Day'Ron Sharpe makes free throw 1 of 2,23,22,Nets
3:42,Tyrese Martin enters the game for Cam Thomas,23,22,Nets
3:42,Day'Ron Sharpe misses free throw 2 of 2,23,22,Nets
3:38,Collin Sexton defensive rebound,23,22,Hornets
3:33,Collin Sexton makes two point shot,23,24,Hornets
3:23,Ziaire Williams misses 28-foot three point jumper,23,24,Nets
3:20,Hornets defensive team rebound,23,24,Hornets
3:05,Collin Sexton misses 7-foot two point shot,23,24,Hornets
3:03,Ziaire Williams defensive rebound,23,24,Nets
2:48,Day'Ron Sharpe makes layup (Tyrese Martin assists),25,24,Nets
2:39,Collin Sexton makes 23-foot three point jumper (LaMelo Ball assists),25,27,Hornets
2:25,Tidjane Salaun personal foul,25,27,Hornets
2:25,Egor Demin makes free throw 1 of 2,26,27,Nets
2:25,Kon Knueppel enters the game for LaMelo Ball,26,27,Hornets
2:25,Tre Mann enters the game for Sion James,26,27,Hornets
2:25,Egor Demin makes free throw 2 of 2,27,27,Nets
2:11,Moussa Diabate makes 7-foot hook shot (Tre Mann assists),27,29,Hornets
1:57,Day'Ron Sharpe makes layup (Egor Demin assists),29,29,Nets
1:46,Kon Knueppel makes 26-foot three point jumper (Tre Mann assists),29,32,Hornets
1:30,Noah Clowney misses driving layup,29,32,Nets
1:27,Kon Knueppel defensive rebound,29,32,Hornets
1:24,Moussa Diabate traveling,29,32,Hornets
1:11,Day'Ron Sharpe bad pass (Tre Mann steals),29,32,Nets
1:08,Moussa Diabate makes two point shot (Tre Mann assists),29,34,Hornets
1:07,Nets Full timeout,29,34,Nets
58.4,Egor Demin lost ball turnover (Collin Sexton steals),29,34,Nets
55.2,Tre Mann makes two point shot,29,36,Hornets
55.1,Day'Ron Sharpe makes 1-foot dunk (Ziaire Williams assists),31,36,Nets
51.9,Egor Demin shooting foul,31,36,Nets
51.9,Collin Sexton makes free throw 1 of 2,31,37,Hornets
51.9,Miles Bridges enters the game for Tidjane Salaun,31,37,Hornets
51.9,Collin Sexton makes free throw 2 of 2,31,38,Hornets
39.8,Day'Ron Sharpe offensive foul,31,38,Nets
39.8,Day'Ron Sharpe turnover,31,38,Nets
28.1,Tre Mann bad pass (Tyrese Martin steals),31,38,Hornets
24.0,Tyrese Martin lost ball turnover (Moussa Diabate steals),31,38,Nets
9.0,Kon Knueppel traveling,31,38,Hornets
9.0,Cam Thomas enters the game for Egor Demin,31,38,Nets
3.4,Kon Knueppel personal foul,31,38,Hornets
3.4,Nets Coach's Challenge,31,38,Nets
3.4,(00:03.4) [Nets] COACH'S CHALLENGE (CALL OVERTURNED) [Nets] retain their timeout,31,38,Nets
3.4,Ziaire Williams makes free throw 1 of 2,32,38,Nets
3.4,Ziaire Williams misses free throw 2 of 2,32,38,Nets
3.4,Miles Bridges defensive rebound,32,38,Hornets
0.2,Miles Bridges misses heave jump shot,32,38,Hornets
0.1,Hornets offensive team rebound,32,38,Hornets
0.0,End of the 1st Quarter,32,38,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,Brandon Miller enters the game for Collin Sexton,32,38,Hornets
12:00,Ryan Kalkbrenner enters the game for Moussa Diabate,32,38,Hornets
12:00,Michael Porter Jr. enters the game for Ziaire Williams,32,38,Nets
12:00,Egor Demin enters the game for Day'Ron Sharpe,32,38,Nets
12:00,Nic Claxton enters the game for Cam Thomas,32,38,Nets
11:39,Miles Bridges makes 22-foot three point jumper (Brandon Miller assists),32,41,Hornets
11:20,Miles Bridges personal foul,32,41,Hornets
11:13,Egor Demin makes 25-foot three point step back jumpshot,35,41,Nets
11:00,Brandon Miller misses 13-foot step back jumpshot,35,41,Hornets
10:57,Michael Porter Jr. defensive rebound,35,41,Nets
10:46,Michael Porter Jr. misses 24-foot three point pullup jump shot,35,41,Nets
10:41,Tyrese Martin offensive rebound,35,41,Nets
10:37,Tyrese Martin misses 22-foot three point jumper,35,41,Nets
10:35,Noah Clowney offensive rebound,35,41,Nets
10:35,Kon Knueppel personal foul,35,41,Hornets
10:35,Sion James enters the game for Kon Knueppel,35,41,Hornets
10:29,Nic Claxton makes layup (Tyrese Martin assists),37,41,Nets
10:29,Sion James shooting foul,37,41,Hornets
10:29,Nic Claxton misses free throw 1 of 1,37,41,Nets
10:26,Miles Bridges defensive rebound,37,41,Hornets
10:16,Miles Bridges misses 23-foot three point jumper,37,41,Hornets
10:16,Nic Claxton defensive rebound,37,41,Nets
10:06,Nic Claxton makes driving layup (Tyrese Martin assists),39,41,Nets
10:06,Ryan Kalkbrenner shooting foul,39,41,Hornets
10:06,Nic Claxton makes free throw 1 of 1,40,41,Nets
9:43,Brandon Miller makes 26-foot three point step back jumpshot (Ryan Kalkbrenner assists),40,44,Hornets
9:27,Michael Porter Jr. misses driving floating jump shot,40,44,Nets
9:24,Nic Claxton offensive rebound,40,44,Nets
9:24,Nic Claxton makes tip shot,42,44,Nets
9:13,Michael Porter Jr. shooting foul,42,44,Nets
9:13,Moussa Diabate enters the game for Ryan Kalkbrenner,42,44,Hornets
9:13,Tre Mann makes free throw 1 of 2,42,45,Hornets
9:13,Tidjane Salaun enters the game for Miles Bridges,42,45,Hornets
9:13,Tre Mann makes free throw 2 of 2,42,46,Hornets
8:59,Michael Porter Jr. misses 24-foot three point jumper,42,46,Nets
8:58,Hornets defensive team rebound,42,46,Hornets
8:51,Noah Clowney personal foul,42,46,Nets
8:39,Brandon Miller misses 29-foot three point jumper,42,46,Hornets
8:36,Egor Demin defensive rebound,42,46,Nets
8:31,Egor Demin misses 27-foot three point jumper,42,46,Nets
