time,description,home_score,away_score,team
12:00,Jakob Poeltl vs. Kristaps Porzingis (Jalen Johnson gains possession),0,0,Hawks
11:45,Kristaps Porzingis misses two point shot,0,0,Hawks
11:42,Jakob Poeltl defensive rebound,0,0,Raptors
11:31,RJ Barrett out of bounds bad pass turnover,0,0,Raptors
11:26,Scottie Barnes shooting foul,0,0,Raptors
11:26,Jalen Johnson makes free throw 1 of 2,0,1,Hawks
11:26,Jalen Johnson makes free throw 2 of 2,0,2,Hawks
11:21,Dyson Daniels personal foul,0,2,Hawks
11:07,Brandon Ingram makes 2-foot two point shot (Scottie Barnes assists),2,2,Raptors
10:57,Jakob Poeltl blocks Kristaps Porzingis 's 10-foot two point shot,2,2,Hawks
10:56,Hawks offensive team rebound,2,2,Hawks
10:55,RJ Barrett shooting foul,2,2,Raptors
10:55,Kristaps Porzingis makes free throw 1 of 2,2,3,Hawks
10:55,Kristaps Porzingis makes free throw 2 of 2,2,4,Hawks
10:44,Brandon Ingram misses driving layup,2,4,Raptors
10:41,RJ Barrett offensive rebound,2,4,Raptors
10:41,RJ Barrett makes two point shot,4,4,Raptors
10:20,Trae Young bad pass (RJ Barrett steals),4,4,Hawks
10:13,RJ Barrett makes 25-foot three point jumper (Scottie Barnes assists),7,4,Raptors
9:55,Jakob Poeltl shooting foul,7,4,Raptors
9:55,Trae Young makes free throw 1 of 2,7,5,Hawks
9:55,Trae Young makes free throw 2 of 2,7,6,Hawks
9:43,Scottie Barnes misses two point shot,7,6,Raptors
9:42,Hawks defensive team rebound,7,6,Hawks
9:37,Trae Young misses driving floating jump shot,7,6,Hawks
9:33,Brandon Ingram defensive rebound,7,6,Raptors
9:30,Immanuel Quickley misses 25-foot three point shot,7,6,Raptors
9:27,Jalen Johnson defensive rebound,7,6,Hawks
9:16,Dyson Daniels lost ball turnover (Immanuel Quickley steals),7,6,Hawks
9:09,Scottie Barnes makes 1-foot dunk (Immanuel Quickley assists),9,6,Raptors
9:04,Zaccharie Risacher makes finger roll layup (Jalen Johnson assists),9,8,Hawks
8:53,Kristaps Porzingis blocks Scottie Barnes 's 1-foot driving layup,9,8,Raptors
8:49,Jakob Poeltl offensive rebound,9,8,Raptors
8:42,Brandon Ingram misses 12-foot pullup jump shot,9,8,Raptors
8:38,Jakob Poeltl offensive rebound,9,8,Raptors
8:37,RJ Barrett makes 24-foot three point jumper,12,8,Raptors
8:29,Scottie Barnes blocks Jalen Johnson's dunk,12,8,Hawks
8:28,Raptors defensive team rebound,12,8,Raptors
8:20,Immanuel Quickley makes 7-foot driving floating jump shot,14,8,Raptors
8:12,Trae Young bad pass (Scottie Barnes steals),14,8,Hawks
8:06,Immanuel Quickley misses 22-foot three point shot,14,8,Raptors
8:02,Kristaps Porzingis defensive rebound,14,8,Hawks
7:48,Jalen Johnson makes 2-foot layup (Dyson Daniels assists),14,10,Hawks
7:32,Brandon Ingram makes 11-foot pullup jump shot (Scottie Barnes assists),16,10,Raptors
7:26,Dyson Daniels offensive foul,16,10,Hawks
7:26,Dyson Daniels turnover,16,10,Hawks
7:26,Nickeil Alexander-Walker enters the game for Dyson Daniels,16,10,Hawks
7:12,Brandon Ingram steps out of bounds turnover,16,10,Raptors
7:03,Jalen Johnson makes 1-foot dunk (Nickeil Alexander-Walker assists),16,12,Hawks
6:50,Brandon Ingram misses driving floating jump shot,16,12,Raptors
6:48,Kristaps Porzingis defensive rebound,16,12,Hawks
6:40,Zaccharie Risacher misses 25-foot three point jumper,16,12,Hawks
6:39,Kristaps Porzingis offensive rebound,16,12,Hawks
6:39,Jakob Poeltl shooting foul,16,12,Raptors
6:39,Hawks Full timeout,16,12,Hawks
6:39,Keaton Wallace enters the game for Zaccharie Risacher,16,12,Hawks
6:39,Luke Kennard enters the game for Trae Young,16,12,Hawks
6:39,Ochai Agbaji enters the game for Scottie Barnes,16,12,Raptors
6:39,Sandro Mamukelashvili enters the game for RJ Barrett,16,12,Raptors
6:39,Gradey Dick enters the game for Jakob Poeltl,16,12,Raptors
6:39,Kristaps Porzingis makes free throw 1 of 2,16,13,Hawks
6:39,Kristaps Porzingis makes free throw 2 of 2,16,14,Hawks
6:17,Brandon Ingram makes 11-foot step back jumpshot,18,14,Raptors
5:57,Brandon Ingram shooting foul,18,14,Raptors
5:57,Nickeil Alexander-Walker misses free throw 1 of 2,18,14,Hawks
5:57,Hawks offensive team rebound,18,14,Hawks
5:57,Onyeka Okongwu enters the game for Kristaps Porzingis,18,14,Hawks
5:57,Nickeil Alexander-Walker makes free throw 2 of 2,18,15,Hawks
5:43,Ochai Agbaji misses 25-foot three point jumper,18,15,Raptors
5:39,Onyeka Okongwu defensive rebound,18,15,Hawks
5:27,Onyeka Okongwu makes 1-foot dunk (Jalen Johnson assists),18,17,Hawks
5:21,Sandro Mamukelashvili offensive foul,18,17,Raptors
5:21,Sandro Mamukelashvili turnover,18,17,Raptors
5:12,Luke Kennard misses 25-foot three point step back jumpshot,18,17,Hawks
5:08,Gradey Dick defensive rebound,18,17,Raptors
4:49,Gradey Dick misses 23-foot three point jumper,18,17,Raptors
4:46,Nickeil Alexander-Walker defensive rebound,18,17,Hawks
4:42,Jalen Johnson misses running pullup jump shot,18,17,Hawks
4:37,Sandro Mamukelashvili defensive rebound,18,17,Raptors
4:18,Gradey Dick makes 24-foot three point jumper (Immanuel Quickley assists),21,17,Raptors
4:07,Luke Kennard lost ball turnover (Brandon Ingram steals),21,17,Hawks
3:59,Sandro Mamukelashvili makes 1-foot dunk (Immanuel Quickley assists),23,17,Raptors
3:59,Hawks Full timeout,23,17,Hawks
