time,description,home_score,away_score,team
12:00,Yves Missi vs. Jaren Jackson Jr. (Ja Morant gains possession),0,0,Grizzlies
11:47,Jaren Jackson Jr. bad pass (Yves Missi steals),0,0,Grizzlies
11:43,Jordan Poole makes 9-foot driving floating jump shot,2,0,Unknown
11:21,Ja Morant makes 19-foot step back jumpshot,2,2,Grizzlies
11:09,Ja Morant personal foul,2,2,Grizzlies
11:00,Zion Williamson misses 12-foot step back jumpshot,2,2,Unknown
10:57,Jaylen Wells defensive rebound,2,2,Grizzlies
10:56,Jordan Poole personal foul,2,2,Unknown
10:42,Jaylen Wells misses 27-foot three point jumper,2,2,Grizzlies
10:40,Herbert Jones defensive rebound,2,2,Unknown
10:33,Jordan Poole makes 28-foot three point jumper (Yves Missi assists),5,2,Unknown
10:19,Kentavious Caldwell-Pope misses 19-foot pullup jump shot,5,2,Grizzlies
10:17,Grizzlies offensive team rebound,5,2,Grizzlies
10:11,Ja Morant misses 28-foot three point pullup jump shot,5,2,Grizzlies
10:07,Zion Williamson defensive rebound,5,2,Unknown
10:04,Kentavious Caldwell-Pope shooting foul,5,2,Grizzlies
10:04,Zion Williamson misses free throw 1 of 2,5,2,Unknown
10:04,Pelicans offensive team rebound,5,2,Unknown
10:04,Zion Williamson misses free throw 2 of 2,5,2,Unknown
10:02,Ja Morant defensive rebound,5,2,Grizzlies
9:49,Jaren Jackson Jr. offensive foul,5,2,Grizzlies
9:49,Jaren Jackson Jr. turnover,5,2,Grizzlies
9:38,Jaylen Wells personal foul,5,2,Grizzlies
9:31,Jock Landale blocks Zion Williamson 's 5-foot driving layup,5,2,Unknown
9:31,Pelicans offensive team rebound,5,2,Unknown
9:27,Jordan Poole makes 30-foot three point jumper (Zion Williamson assists),8,2,Unknown
9:15,Ja Morant makes 11-foot driving floating jump shot,8,4,Grizzlies
8:55,Olivier-Maxence Prosper enters the game for Kentavious Caldwell-Pope,8,4,Grizzlies
8:55,Santi Aldama enters the game for Jaren Jackson Jr.,8,4,Grizzlies
8:48,Herbert Jones makes 23-foot three point step back jumpshot (Trey Murphy III assists),11,4,Unknown
8:46,Grizzlies Full timeout,11,4,Grizzlies
8:36,Herbert Jones personal foul,11,4,Unknown
8:25,Herbert Jones blocks Santi Aldama 's 22-foot three point jumper,11,4,Grizzlies
8:19,Zion Williamson defensive rebound,11,4,Unknown
8:14,Trey Murphy III makes 16-foot pullup jump shot (Jordan Poole assists),13,4,Unknown
8:03,Ja Morant bad pass (Zion Williamson steals),13,4,Grizzlies
7:57,Jordan Poole misses 27-foot three point shot,13,4,Unknown
7:53,Jock Landale defensive rebound,13,4,Grizzlies
7:43,Olivier-Maxence Prosper makes 1-foot dunk (Jaylen Wells assists),13,6,Grizzlies
7:31,Yves Missi traveling,13,6,Unknown
7:31,Saddiq Bey enters the game for Zion Williamson,13,6,Unknown
7:22,Santi Aldama offensive foul,13,6,Grizzlies
7:22,Santi Aldama turnover,13,6,Grizzlies
7:07,Herbert Jones makes 24-foot three point jumper (Trey Murphy III assists),16,6,Unknown
6:55,Jaylen Wells makes 25-foot three pointer,16,9,Grizzlies
6:35,Saddiq Bey misses two point shot,16,9,Unknown
6:35,Grizzlies defensive team rebound,16,9,Grizzlies
6:35,Kentavious Caldwell-Pope enters the game for Jaylen Wells,16,9,Grizzlies
6:35,Javon Small enters the game for Ja Morant,16,9,Grizzlies
6:35,Jaren Jackson Jr. enters the game for Jock Landale,16,9,Grizzlies
6:23,Santi Aldama misses 22-foot three point jumper,16,9,Grizzlies
6:18,Herbert Jones defensive rebound,16,9,Unknown
6:12,Herbert Jones misses 25-foot three point pullup jump shot,16,9,Unknown
6:06,Yves Missi offensive rebound,16,9,Unknown
6:06,Yves Missi makes tip shot,18,9,Unknown
5:56,Kentavious Caldwell-Pope misses 25-foot three point jumper,18,9,Grizzlies
5:52,Trey Murphy III defensive rebound,18,9,Unknown
5:48,Trey Murphy III makes two point shot (Jordan Poole assists),20,9,Unknown
5:39,Javon Small bad pass (Herbert Jones steals),20,9,Grizzlies
5:28,Jordan Poole makes 11-foot driving floating jump shot,22,9,Unknown
5:15,Jaren Jackson Jr. misses 25-foot three point jumper,22,9,Grizzlies
5:12,Herbert Jones defensive rebound,22,9,Unknown
4:57,Trey Murphy III makes driving layup,24,9,Unknown
4:57,Grizzlies Full timeout,24,9,Grizzlies
4:57,Cedric Coward enters the game for Olivier-Maxence Prosper,24,9,Grizzlies
4:57,Hunter Dickinson enters the game for Herbert Jones,24,9,Unknown
4:57,Jordan Hawkins enters the game for Yves Missi,24,9,Unknown
4:45,Jaren Jackson Jr. misses 25-foot three point jumper,24,9,Grizzlies
4:41,Jordan Hawkins defensive rebound,24,9,Unknown
4:20,Trey Murphy III misses 28-foot three point shot,24,9,Unknown
4:20,Pelicans offensive team rebound,24,9,Unknown
4:20,shot clock turnover,24,9,Unknown
4:08,Jaren Jackson Jr. makes 5-foot two point shot (Javon Small assists),24,11,Grizzlies
3:56,Hunter Dickinson bad pass (Cedric Coward steals),24,11,Unknown
3:50,Trey Murphy III shooting foul,24,11,Unknown
3:50,Jaren Jackson Jr. makes free throw 1 of 2,24,12,Grizzlies
3:50,Zion Williamson enters the game for Jordan Poole,24,12,Unknown
3:50,Jeremiah Fears enters the game for Trey Murphy III,24,12,Unknown
3:50,Jaren Jackson Jr. makes free throw 2 of 2,24,13,Grizzlies
3:30,Jeremiah Fears makes 9-foot two point shot,26,13,Unknown
3:15,Jaren Jackson Jr. makes 7-foot driving floating jump shot (Santi Aldama assists),26,15,Grizzlies
3:15,Hunter Dickinson shooting foul,26,15,Unknown
