time,description,home_score,away_score,team
12:00,Alex Sarr vs. Myles Turner (CJ McCollum gains possession),0,0,Unknown
11:50,AJ Green personal foul,0,0,Bucks
11:42,Khris Middleton misses 13-foot two point shot,0,0,Unknown
11:38,Alex Sarr offensive rebound,0,0,Unknown
11:37,Myles Turner blocks Alex Sarr 's 3-foot two point shot,0,0,Unknown
11:32,Giannis Antetokounmpo defensive rebound,0,0,Bucks
11:30,Myles Turner misses 28-foot three point shot,0,0,Bucks
11:27,Khris Middleton defensive rebound,0,0,Unknown
11:22,Bub Carrington misses driving floating jump shot,0,0,Unknown
11:19,Giannis Antetokounmpo defensive rebound,0,0,Bucks
11:06,AJ Green makes 23-foot three point jumper (Myles Turner assists),0,3,Bucks
10:50,Alex Sarr makes 1-foot dunk (Khris Middleton assists),2,3,Unknown
10:30,Myles Turner makes 24-foot three point jumper (Kevin Porter Jr. assists),2,6,Bucks
10:21,CJ McCollum misses 30-foot three point pullup jump shot,2,6,Unknown
10:18,Giannis Antetokounmpo defensive rebound,2,6,Bucks
10:08,Kyshawn George blocks Myles Turner 's 3-foot driving layup,2,6,Bucks
10:04,Alex Sarr defensive rebound,2,6,Unknown
10:01,Giannis Antetokounmpo personal foul,2,6,Bucks
9:46,Bub Carrington makes 13-foot two point shot,4,6,Unknown
9:26,AJ Green makes 25-foot three point jumper (Giannis Antetokounmpo assists),4,9,Bucks
9:12,Myles Turner blocks Bub Carrington 's 4-foot driving layup,4,9,Unknown
9:09,Gary Trent Jr. defensive rebound,4,9,Bucks
9:09,Khris Middleton personal foul,4,9,Unknown
8:58,Myles Turner makes 1-foot driving dunk (Giannis Antetokounmpo assists),4,11,Bucks
8:46,Alex Sarr misses driving floating jump shot,4,11,Unknown
8:43,Gary Trent Jr. defensive rebound,4,11,Bucks
8:33,Kevin Porter Jr. makes 25-foot three point jumper (Myles Turner assists),4,14,Bucks
8:32,Wizards Full timeout,4,14,Unknown
8:14,Khris Middleton makes 25-foot three point step back jumpshot (Alex Sarr assists),7,14,Unknown
7:53,Giannis Antetokounmpo makes 3-foot two point shot,7,16,Bucks
7:41,Kyshawn George misses 28-foot three point pullup jump shot,7,16,Unknown
7:37,AJ Green defensive rebound,7,16,Bucks
7:29,Giannis Antetokounmpo makes driving layup,7,18,Bucks
7:25,Alex Sarr bad pass (Kevin Porter Jr. steals),7,18,Unknown
7:19,Gary Trent Jr. makes 26-foot three point jumper (Myles Turner assists),7,21,Bucks
7:01,Khris Middleton makes 26-foot three point jumper,10,21,Unknown
6:44,Kyshawn George personal foul,10,21,Unknown
6:44,Marvin Bagley III enters the game for Kyshawn George,10,21,Unknown
6:44,Tre Johnson enters the game for Alex Sarr,10,21,Unknown
6:36,Bub Carrington shooting foul,10,21,Unknown
6:36,Kevin Porter Jr. makes free throw 1 of 2,10,22,Bucks
6:36,Kevin Porter Jr. makes free throw 2 of 2,10,23,Bucks
6:27,CJ McCollum makes driving layup,12,23,Unknown
6:13,Giannis Antetokounmpo makes dunk (Kevin Porter Jr. assists),12,25,Bucks
6:00,Giannis Antetokounmpo shooting foul,12,25,Bucks
6:00,Khris Middleton makes free throw 1 of 3,13,25,Unknown
6:00,Khris Middleton misses free throw 2 of 3,13,25,Unknown
6:00,Wizards offensive team rebound,13,25,Unknown
6:00,Khris Middleton makes free throw 3 of 3,14,25,Unknown
5:43,Giannis Antetokounmpo misses 26-foot three point pullup jump shot,14,25,Bucks
5:40,Myles Turner offensive rebound,14,25,Bucks
5:38,Myles Turner offensive foul,14,25,Bucks
5:38,Myles Turner turnover,14,25,Bucks
5:38,Kyle Kuzma enters the game for Giannis Antetokounmpo,14,25,Bucks
5:26,CJ McCollum misses 27-foot three point pullup jump shot,14,25,Unknown
5:23,AJ Green defensive rebound,14,25,Bucks
5:19,Kevin Porter Jr. misses running pullup jump shot,14,25,Bucks
5:16,Bub Carrington defensive rebound,14,25,Unknown
5:06,Marvin Bagley III bad pass (Gary Trent Jr. steals),14,25,Unknown
5:02,Gary Trent Jr. bad pass (Marvin Bagley III steals),14,25,Bucks
4:56,Tre Johnson misses 17-foot pullup jump shot,14,25,Unknown
4:53,Myles Turner defensive rebound,14,25,Bucks
4:50,AJ Green makes 23-foot three point jumper (Kyle Kuzma assists),14,28,Bucks
4:44,Khris Middleton offensive foul,14,28,Unknown
4:44,Khris Middleton turnover,14,28,Unknown
4:34,Gary Trent Jr. misses 26-foot three point jumper,14,28,Bucks
4:31,Marvin Bagley III defensive rebound,14,28,Unknown
4:28,AJ Green personal foul,14,28,Bucks
4:28,Bobby Portis enters the game for Myles Turner,14,28,Bucks
4:28,Ryan Rollins enters the game for AJ Green,14,28,Bucks
4:28,Cam Whitmore enters the game for Bub Carrington,14,28,Unknown
4:28,Corey Kispert enters the game for Khris Middleton,14,28,Unknown
4:18,Tre Johnson lost ball turnover (Ryan Rollins steals),14,28,Unknown
3:59,Kevin Porter Jr. makes 27-foot three point jumper (Gary Trent Jr. assists),14,31,Bucks
3:47,Cam Whitmore misses 26-foot three point jumper,14,31,Unknown
3:44,Gary Trent Jr. defensive rebound,14,31,Bucks
3:38,Kevin Porter Jr. makes 1-foot driving dunk,14,33,Bucks
3:38,Wizards Full timeout,14,33,Unknown
3:38,Kyshawn George enters the game for CJ McCollum,14,33,Unknown
3:24,Tre Johnson makes 15-foot jumper (Marvin Bagley III assists),16,33,Unknown
3:10,Kyle Kuzma misses 5-foot two point shot,16,33,Bucks
3:06,Kyshawn George defensive rebound,16,33,Unknown
3:04,Corey Kispert misses 29-foot three point shot,16,33,Unknown
3:01,Kyle Kuzma defensive rebound,16,33,Bucks
2:55,Kevin Porter Jr. misses 23-foot three point shot,16,33,Bucks
2:52,Ryan Rollins offensive rebound,16,33,Bucks
2:51,Gary Trent Jr. misses 28-foot three point jumper,16,33,Bucks
2:51,Cam Whitmore defensive rebound,16,33,Unknown
