time,description,home_score,away_score,team
12:00,Ivica Zubac vs. Walker Kessler (Keyonte George gains possession),0,0,Jazz
11:40,Lauri Markkanen misses 26-foot three point jumper,0,0,Jazz
11:37,Kyle Filipowski offensive rebound,0,0,Jazz
11:33,Lauri Markkanen makes 25-foot three point step back jumpshot (Kyle Filipowski assists),0,3,Jazz
11:17,Keyonte George personal foul,0,3,Jazz
11:11,Bradley Beal misses 22-foot three point jumper,0,3,Clippers
11:08,Walker Kessler defensive rebound,0,3,Jazz
10:54,Kawhi Leonard blocks Lauri Markkanen 's 25-foot three point jumper,0,3,Jazz
10:50,Bradley Beal defensive rebound,0,3,Clippers
10:47,Kawhi Leonard misses 23-foot three point shot,0,3,Clippers
10:47,Keyonte George defensive rebound,0,3,Jazz
10:41,Lauri Markkanen makes 3-foot dunk (Keyonte George assists),0,5,Jazz
10:19,Ivica Zubac makes 3-foot two point shot,2,5,Clippers
10:05,Derrick Jones Jr. shooting foul,2,5,Clippers
10:05,Walker Kessler makes free throw 1 of 2,2,6,Jazz
10:05,Walker Kessler misses free throw 2 of 2,2,6,Jazz
10:03,Kawhi Leonard defensive rebound,2,6,Clippers
9:52,Bradley Beal makes 25-foot three point jumper (James Harden assists),5,6,Clippers
9:39,Lauri Markkanen makes alley oop layup (Keyonte George assists),5,8,Jazz
9:18,James Harden misses 25-foot three point step back jumpshot,5,8,Clippers
9:15,Kyle Filipowski defensive rebound,5,8,Jazz
8:58,Walker Kessler makes 25-foot three point jumper (Keyonte George assists),5,11,Jazz
8:37,James Harden makes 9-foot pullup jump shot,7,11,Clippers
8:24,Walker Kessler makes 5-foot alley oop dunk shot (Lauri Markkanen assists),7,13,Jazz
8:13,Kawhi Leonard out of bounds lost ball turnover,7,13,Clippers
8:02,Lauri Markkanen makes 6-foot layup (Kyle Filipowski assists),7,15,Jazz
8:01,Clippers Full timeout,7,15,Clippers
7:48,Kawhi Leonard makes 9-foot pullup jump shot (James Harden assists),9,15,Clippers
7:30,Walker Kessler makes 5-foot hook shot (Keyonte George assists),9,17,Jazz
7:09,Kyle Filipowski personal foul,9,17,Jazz
7:09,Bradley Beal bad pass (Keyonte George steals),9,17,Clippers
7:05,Keyonte George makes 3-foot dunk,9,19,Jazz
6:50,Svi Mykhailiuk kicked ball violation,9,19,Jazz
6:50,Brice Sensabaugh enters the game for Kyle Filipowski,9,19,Jazz
6:50,Ace Bailey enters the game for Svi Mykhailiuk,9,19,Jazz
6:39,James Harden makes 29-foot three pointer,12,19,Clippers
6:25,Kawhi Leonard personal foul,12,19,Clippers
6:24,Keyonte George out of bounds bad pass turnover,12,19,Jazz
6:19,Ivica Zubac makes 3-foot dunk (James Harden assists),14,19,Clippers
6:18,Jazz Full timeout,14,19,Jazz
6:09,Keyonte George makes driving layup (Walker Kessler assists),14,21,Jazz
5:53,Kawhi Leonard misses 10-foot pullup jump shot,14,21,Clippers
5:50,Ace Bailey defensive rebound,14,21,Jazz
5:40,Derrick Jones Jr. personal foul,14,21,Clippers
5:40,Taylor Hendricks enters the game for Lauri Markkanen,14,21,Jazz
5:40,John Collins enters the game for Bradley Beal,14,21,Clippers
5:40,Kris Dunn enters the game for Derrick Jones Jr.,14,21,Clippers
5:30,Walker Kessler makes 1-foot dunk (Ace Bailey assists),14,23,Jazz
5:18,Ivica Zubac misses 11-foot hook shot,14,23,Clippers
5:15,Walker Kessler defensive rebound,14,23,Jazz
5:08,Keyonte George misses 25-foot three point jumper,14,23,Jazz
5:06,Clippers defensive team rebound,14,23,Clippers
4:58,James Harden bad pass (Walker Kessler steals),14,23,Clippers
4:41,Walker Kessler makes 23-foot three point jumper (Keyonte George assists),14,26,Jazz
4:26,Jusuf Nurkic enters the game for Walker Kessler,14,26,Jazz
4:19,James Harden makes 10-foot step back jumpshot,16,26,Clippers
4:02,James Harden shooting foul,16,26,Clippers
4:02,Brice Sensabaugh makes free throw 1 of 2,16,27,Jazz
4:02,Walter Clayton Jr. enters the game for Keyonte George,16,27,Jazz
4:02,Brice Sensabaugh makes free throw 2 of 2,16,28,Jazz
3:48,Kawhi Leonard bad pass (Brice Sensabaugh steals),16,28,Clippers
3:48,Brice Sensabaugh steps out of bounds turnover,16,28,Jazz
3:48,Brook Lopez enters the game for Ivica Zubac,16,28,Clippers
3:48,Chris Paul enters the game for James Harden,16,28,Clippers
3:47,John Collins bad pass (Jusuf Nurkic steals),16,28,Clippers
3:44,Jusuf Nurkic makes 4-foot dunk,16,30,Jazz
3:26,Kris Dunn bad pass (Jusuf Nurkic steals),16,30,Clippers
3:15,Walter Clayton Jr. makes 10-foot two point shot,16,32,Jazz
3:15,Brook Lopez shooting foul,16,32,Clippers
3:15,Nicolas Batum enters the game for Kawhi Leonard,16,32,Clippers
3:15,Walter Clayton Jr. makes free throw 1 of 1,16,33,Jazz
3:09,Chris Paul bad pass (Walter Clayton Jr. steals),16,33,Clippers
3:06,Ace Bailey makes 8-foot dunk (Walter Clayton Jr. assists),16,35,Jazz
3:06,Clippers Full timeout,16,35,Clippers
2:46,Taylor Hendricks blocks John Collins 's 8-foot two point shot,16,35,Clippers
2:44,Brice Sensabaugh defensive rebound,16,35,Jazz
2:37,Nicolas Batum shooting foul,16,35,Clippers
2:37,Taylor Hendricks makes free throw 1 of 2,16,36,Jazz
2:37,Taylor Hendricks makes free throw 2 of 2,16,37,Jazz
2:24,Nicolas Batum misses 23-foot three point jumper,16,37,Clippers
2:20,John Collins offensive rebound,16,37,Clippers
2:19,John Collins traveling,16,37,Clippers
2:10,Jusuf Nurkic bad pass (Brook Lopez steals),16,37,Jazz
2:01,Brice Sensabaugh personal foul,16,37,Jazz
2:01,Lauri Markkanen enters the game for Ace Bailey,16,37,Jazz
1:52,Jusuf Nurkic personal foul,16,37,Jazz
1:46,Brook Lopez misses 31-foot three point jumper,16,37,Clippers
1:43,Taylor Hendricks defensive rebound,16,37,Jazz
1:43,John Collins personal foul,16,37,Clippers
1:43,Taylor Hendricks misses free throw 1 of 2,16,37,Jazz
1:43,Jazz offensive team rebound,16,37,Jazz
1:43,Taylor Hendricks makes free throw 2 of 2,16,38,Jazz
1:24,Nicolas Batum misses 23-foot three point jumper,16,38,Clippers
1:21,Brook Lopez offensive rebound,16,38,Clippers
1:18,Nicolas Batum makes 23-foot three point jumper (Kris Dunn assists),19,38,Clippers
1:06,Walter Clayton Jr. makes driving layup,19,40,Jazz
55.1,Brook Lopez misses 25-foot three point jumper,19,40,Clippers
52.3,Walter Clayton Jr. defensive rebound,19,40,Jazz
46.9,Walter Clayton Jr. makes 25-foot three point shot (Jusuf Nurkic assists),19,43,Jazz
33.8,Chris Paul misses 25-foot three point jumper,19,43,Clippers
30.9,Taylor Hendricks defensive rebound,19,43,Jazz
16.4,Walter Clayton Jr. misses 29-foot three point jumper,19,43,Jazz
12.4,Kris Dunn defensive rebound,19,43,Clippers
1.0,Brook Lopez bad pass (Walter Clayton Jr. steals),19,43,Clippers
0.0,End of the 1st Quarter,19,43,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,Svi Mykhailiuk enters the game for Taylor Hendricks,19,43,Jazz
12:00,Kyle Filipowski enters the game for Brice Sensabaugh,19,43,Jazz
11:44,Walter Clayton Jr. personal foul,19,43,Jazz
11:37,Kyle Filipowski blocks Brook Lopez 's 5-foot layup,19,43,Clippers
11:37,Jazz defensive team rebound,19,43,Jazz
11:15,Svi Mykhailiuk makes 26-foot three point step back jumpshot,19,46,Jazz
10:57,Brook Lopez makes 26-foot three point jumper (Chris Paul assists),22,46,Clippers
10:40,Lauri Markkanen lost ball turnover (Nicolas Batum steals),22,46,Jazz
10:36,John Collins makes 3-foot dunk (Nicolas Batum assists),24,46,Clippers
10:24,Nicolas Batum personal foul,24,46,Clippers
10:24,Bradley Beal enters the game for Nicolas Batum,24,46,Clippers
10:16,Kyle Filipowski misses 22-foot three point jumper,24,46,Jazz
10:12,Walter Clayton Jr. offensive rebound,24,46,Jazz
10:10,Svi Mykhailiuk makes 25-foot three point jumper (Lauri Markkanen assists),24,49,Jazz
9:53,Brook Lopez makes 28-foot three point jumper (John Collins assists),27,49,Clippers
9:38,Walter Clayton Jr. misses 19-foot pullup jump shot,27,49,Jazz
9:35,Brook Lopez defensive rebound,27,49,Clippers
9:25,Brook Lopez makes 27-foot three point jumper (Chris Paul assists),30,49,Clippers
