time,description,home_score,away_score,team
12:00,Rudy Gobert vs. Donovan Clingan (Deni Avdija gains possession),0,0,Trail Blazers
11:40,Jrue Holiday misses driving floating jump shot,0,0,Trail Blazers
11:37,Anthony Edwards defensive rebound,0,0,Timberwolves
11:31,Julius Randle misses 15-foot step back jumpshot,0,0,Timberwolves
11:29,Jrue Holiday defensive rebound,0,0,Trail Blazers
11:28,Jrue Holiday lost ball turnover (Julius Randle steals),0,0,Trail Blazers
11:24,Anthony Edwards misses 26-foot three point jumper,0,0,Timberwolves
11:22,Deni Avdija defensive rebound,0,0,Trail Blazers
11:14,Julius Randle shooting foul,0,0,Timberwolves
11:14,Deni Avdija makes free throw 1 of 2,0,1,Trail Blazers
11:14,Deni Avdija makes free throw 2 of 2,0,2,Trail Blazers
10:58,Donte DiVincenzo misses 25-foot three point jumper,0,2,Timberwolves
10:55,Donovan Clingan defensive rebound,0,2,Trail Blazers
10:44,Shaedon Sharpe makes 14-foot driving floating jump shot (Toumani Camara assists),0,4,Trail Blazers
10:28,Donte DiVincenzo makes 29-foot three point jumper (Julius Randle assists),3,4,Timberwolves
10:14,Shaedon Sharpe lost ball turnover (Donte DiVincenzo steals),3,4,Trail Blazers
10:11,Donte DiVincenzo makes two point shot,5,4,Timberwolves
10:03,Toumani Camara makes 23-foot three point jumper (Jrue Holiday assists),5,7,Trail Blazers
9:49,Anthony Edwards makes 27-foot three pointer,8,7,Timberwolves
9:39,Jrue Holiday misses driving layup,8,7,Trail Blazers
9:39,Trail Blazers offensive team rebound,8,7,Trail Blazers
9:39,Rudy Gobert loose ball foul,8,7,Timberwolves
9:31,Shaedon Sharpe misses 26-foot three point step back jumpshot,8,7,Trail Blazers
9:28,Julius Randle defensive rebound,8,7,Timberwolves
9:15,Donovan Clingan blocks Rudy Gobert 's 2-foot dunk,8,7,Timberwolves
9:14,Jrue Holiday defensive rebound,8,7,Trail Blazers
9:06,Toumani Camara makes 23-foot three point jumper (Shaedon Sharpe assists),8,10,Trail Blazers
8:50,Jaden McDaniels makes 22-foot three point jumper (Donte DiVincenzo assists),11,10,Timberwolves
8:35,Donovan Clingan makes 25-foot three point jumper (Jrue Holiday assists),11,13,Trail Blazers
8:25,Donte DiVincenzo bad pass (Donovan Clingan steals),11,13,Timberwolves
8:12,Donovan Clingan bad pass (Donte DiVincenzo steals),11,13,Trail Blazers
8:03,Jerami Grant enters the game for Shaedon Sharpe,11,13,Trail Blazers
8:03,Trail Blazers Full timeout,11,13,Trail Blazers
8:03,(08:03) [Trail Blazers] COACH'S CHALLENGE (REPLAY SUPPORTS CALL) [Trail Blazers] charged with a timeout,11,13,Trail Blazers
8:03,(08:03) [Timberwolves] COACH'S CHALLENGE (CALL REPLAYCENTER),11,13,Unknown
8:02,Donte DiVincenzo out of bounds bad pass turnover,11,13,Timberwolves
7:43,Deni Avdija misses driving layup,11,13,Trail Blazers
7:41,Donte DiVincenzo defensive rebound,11,13,Timberwolves
7:29,Anthony Edwards misses driving layup,11,13,Timberwolves
7:27,Jrue Holiday defensive rebound,11,13,Trail Blazers
7:13,Jerami Grant makes driving layup (Jrue Holiday assists),11,15,Trail Blazers
7:13,Rudy Gobert shooting foul,11,15,Timberwolves
7:13,Yang Hansen enters the game for Donovan Clingan,11,15,Trail Blazers
7:13,Naz Reid enters the game for Rudy Gobert,11,15,Timberwolves
7:13,Jerami Grant makes free throw 1 of 1,11,16,Trail Blazers
6:47,Donte DiVincenzo misses 27-foot three point jumper,11,16,Timberwolves
6:45,Jerami Grant defensive rebound,11,16,Trail Blazers
6:39,Jaden McDaniels shooting foul,11,16,Timberwolves
6:39,Deni Avdija misses free throw 1 of 2,11,16,Trail Blazers
6:39,Trail Blazers offensive team rebound,11,16,Trail Blazers
6:39,Deni Avdija makes free throw 2 of 2,11,17,Trail Blazers
6:17,Jaden McDaniels misses 25-foot three point jumper,11,17,Timberwolves
6:15,Jerami Grant defensive rebound,11,17,Trail Blazers
6:08,Jerami Grant misses 25-foot three point jumper,11,17,Trail Blazers
6:05,Jaden McDaniels defensive rebound,11,17,Timberwolves
6:05,Blake Wesley enters the game for Jrue Holiday,11,17,Trail Blazers
6:05,Kris Murray enters the game for Toumani Camara,11,17,Trail Blazers
5:52,Donte DiVincenzo makes 16-foot jumper (Julius Randle assists),13,17,Timberwolves
