time,description,home_score,away_score,team
12:00,Myles Turner vs. Jakob Poeltl (Jakob Poeltl gains possession),0,0,Raptors
11:40,Brandon Ingram misses 13-foot two point shot,0,0,Raptors
11:37,Ryan Rollins defensive rebound,0,0,Bucks
11:34,Gary Trent Jr. misses running pullup jump shot,0,0,Bucks
11:34,Ryan Rollins offensive rebound,0,0,Bucks
11:18,Myles Turner misses 31-foot three point jumper,0,0,Bucks
11:18,Bucks offensive team rebound,0,0,Bucks
11:18,shot clock turnover,0,0,Bucks
11:05,Gary Trent Jr. personal foul,0,0,Bucks
10:58,Brandon Ingram makes 8-foot two point shot (Immanuel Quickley assists),0,2,Raptors
10:42,Giannis Antetokounmpo offensive foul,0,2,Bucks
10:42,Giannis Antetokounmpo turnover,0,2,Bucks
10:25,Brandon Ingram lost ball turnover (AJ Green steals),0,2,Raptors
10:17,Myles Turner makes 20-foot jumper (Gary Trent Jr. assists),2,2,Bucks
9:57,Myles Turner blocks Immanuel Quickley 's 9-foot driving floating jump shot,2,2,Raptors
9:53,Immanuel Quickley offensive rebound,2,2,Raptors
9:51,Immanuel Quickley makes 3-foot driving floating jump shot,2,4,Raptors
9:39,Myles Turner lost ball turnover (Immanuel Quickley steals),2,4,Bucks
9:34,Scottie Barnes out of bounds lost ball turnover,2,4,Raptors
9:09,Myles Turner makes layup (Giannis Antetokounmpo assists),4,4,Bucks
8:58,Scottie Barnes misses 9-foot pullup jump shot,4,4,Raptors
8:56,Giannis Antetokounmpo defensive rebound,4,4,Bucks
8:53,Jakob Poeltl shooting foul,4,4,Raptors
8:53,Giannis Antetokounmpo misses free throw 1 of 2,4,4,Bucks
8:53,Bucks offensive team rebound,4,4,Bucks
8:53,Giannis Antetokounmpo makes free throw 2 of 2,5,4,Bucks
8:35,Jakob Poeltl offensive charge,5,4,Raptors
8:35,Jakob Poeltl turnover,5,4,Raptors
8:35,Sandro Mamukelashvili enters the game for Jakob Poeltl,5,4,Raptors
8:17,Myles Turner misses 19-foot pullup jump shot,5,4,Bucks
8:16,Bucks offensive team rebound,5,4,Bucks
8:16,Scottie Barnes loose ball foul,5,4,Raptors
8:15,Ryan Rollins out of bounds bad pass turnover,5,4,Bucks
7:59,Scottie Barnes makes 11-foot two point shot,5,6,Raptors
7:41,Giannis Antetokounmpo makes 1-foot dunk (Gary Trent Jr. assists),7,6,Bucks
7:29,RJ Barrett makes 25-foot three point jumper (Scottie Barnes assists),7,9,Raptors
7:12,Gary Trent Jr. misses 16-foot pullup jump shot,7,9,Bucks
7:09,Immanuel Quickley defensive rebound,7,9,Raptors
7:09,AJ Green shooting foul,7,9,Bucks
7:09,Brandon Ingram makes free throw 1 of 2,7,10,Raptors
7:09,Brandon Ingram makes free throw 2 of 2,7,11,Raptors
6:56,Ryan Rollins misses 17-foot pullup jump shot,7,11,Bucks
