time,description,home_score,away_score,team
12:00,Walker Kessler vs. Domantas Sabonis (Keyonte George gains possession),0,0,Jazz
11:49,Walker Kessler bad pass (Dennis Schroder steals),0,0,Jazz
11:44,Dennis Schroder misses two point shot,0,0,Kings
11:42,Walker Kessler defensive rebound,0,0,Jazz
11:39,Svi Mykhailiuk makes 25-foot three point shot (Keyonte George assists),3,0,Jazz
11:15,Domantas Sabonis lost ball turnover (Walker Kessler steals),3,0,Kings
11:03,Kyle Filipowski makes driving layup,5,0,Jazz
10:45,Zach LaVine misses 15-foot two point shot,5,0,Kings
10:43,Isaac Jones offensive rebound,5,0,Kings
10:39,Dennis Schroder makes 7-foot jump bank shot (Isaac Jones assists),5,2,Kings
10:26,Domantas Sabonis personal foul,5,2,Kings
10:19,Isaac Jones shooting foul,5,2,Kings
10:19,Lauri Markkanen makes free throw 1 of 2,6,2,Jazz
10:19,Lauri Markkanen makes free throw 2 of 2,7,2,Jazz
10:04,DeMar DeRozan makes 15-foot pullup jump shot,7,4,Kings
9:48,Walker Kessler bad pass (Dennis Schroder steals),7,4,Jazz
9:45,Dennis Schroder out of bounds bad pass turnover,7,4,Kings
9:36,Kyle Filipowski makes 25-foot three point jumper (Keyonte George assists),10,4,Jazz
9:22,Dennis Schroder misses 8-foot two point shot,10,4,Kings
9:18,Kyle Filipowski defensive rebound,10,4,Jazz
8:59,Lauri Markkanen misses 25-foot three point step back jumpshot,10,4,Jazz
8:54,Zach LaVine defensive rebound,10,4,Kings
8:51,Keyonte George personal foul,10,4,Jazz
8:51,Dario Saric enters the game for Isaac Jones,10,4,Kings
8:40,Zach LaVine makes 25-foot three point jumper (Dennis Schroder assists),10,7,Kings
8:38,Jazz Full timeout,10,7,Jazz
8:35,Dennis Schroder personal foul,10,7,Kings
8:20,Walker Kessler offensive foul,10,7,Jazz
8:20,Walker Kessler turnover,10,7,Jazz
8:01,Kyle Filipowski shooting foul,10,7,Jazz
8:01,Dario Saric makes free throw 1 of 2,10,8,Kings
8:01,Dario Saric makes free throw 2 of 2,10,9,Kings
7:53,Svi Mykhailiuk lost ball turnover (DeMar DeRozan steals),10,9,Jazz
7:41,Dario Saric misses 23-foot three point jumper,10,9,Kings
7:39,Kyle Filipowski defensive rebound,10,9,Jazz
7:36,Keyonte George misses running pullup jump shot,10,9,Jazz
7:33,Svi Mykhailiuk offensive rebound,10,9,Jazz
7:32,Svi Mykhailiuk misses two point shot,10,9,Jazz
7:32,Lauri Markkanen offensive rebound,10,9,Jazz
7:20,Lauri Markkanen makes dunk,12,9,Jazz
7:17,Zach LaVine misses 28-foot three point jumper,12,9,Kings
7:15,Kyle Filipowski defensive rebound,12,9,Jazz
6:58,Keyonte George makes 8-foot two point shot,14,9,Jazz
6:39,Zach LaVine makes 22-foot three point jumper (DeMar DeRozan assists),14,12,Kings
6:27,Lauri Markkanen makes 2-foot dunk (Keyonte George assists),16,12,Jazz
6:14,Dennis Schroder makes 17-foot pullup jump shot,16,14,Kings
5:54,Svi Mykhailiuk misses 23-foot three point jumper,16,14,Jazz
5:50,Dario Saric defensive rebound,16,14,Kings
5:49,Dennis Schroder out of bounds bad pass turnover,16,14,Kings
5:49,Malik Monk enters the game for DeMar DeRozan,16,14,Kings
5:49,Drew Eubanks enters the game for Domantas Sabonis,16,14,Kings
5:49,Brice Sensabaugh enters the game for Svi Mykhailiuk,16,14,Jazz
5:49,Ace Bailey enters the game for Kyle Filipowski,16,14,Jazz
5:37,Lauri Markkanen misses 25-foot three point jumper,16,14,Jazz
5:37,Kings defensive team rebound,16,14,Kings
5:36,Taylor Hendricks enters the game for Lauri Markkanen,16,14,Jazz
5:20,Dennis Schroder lost ball turnover (Walker Kessler steals),16,14,Kings
5:12,Keyonte George misses 24-foot three point jumper,16,14,Jazz
5:08,Dennis Schroder defensive rebound,16,14,Kings
5:02,Keyonte George blocks Drew Eubanks 's 2-foot layup,16,14,Kings
4:59,Keyonte George defensive rebound,16,14,Jazz
4:55,Brice Sensabaugh makes driving layup (Keyonte George assists),18,14,Jazz
4:41,Drew Eubanks misses 9-foot jumper,18,14,Kings
4:41,Taylor Hendricks defensive rebound,18,14,Jazz
4:30,Ace Bailey misses 16-foot jumper,18,14,Jazz
4:25,Dennis Schroder defensive rebound,18,14,Kings
4:23,Zach LaVine misses 26-foot three point shot,18,14,Kings
4:23,Brice Sensabaugh defensive rebound,18,14,Jazz
4:04,Walker Kessler out of bounds lost ball turnover,18,14,Jazz
4:04,Russell Westbrook enters the game for Dennis Schroder,18,14,Kings
4:04,Jusuf Nurkic enters the game for Walker Kessler,18,14,Jazz
3:53,Jusuf Nurkic shooting foul,18,14,Jazz
3:53,Zach LaVine makes free throw 1 of 2,18,15,Kings
3:53,Zach LaVine makes free throw 2 of 2,18,16,Kings
3:53,Walter Clayton Jr. enters the game for Keyonte George,18,16,Jazz
3:40,Taylor Hendricks misses 22-foot three point jumper,18,16,Jazz
3:33,Walter Clayton Jr. offensive rebound,18,16,Jazz
3:30,Brice Sensabaugh misses 23-foot three point jumper,18,16,Jazz
3:30,Drew Eubanks defensive rebound,18,16,Kings
3:19,Zach LaVine makes driving layup (Russell Westbrook assists),18,18,Kings
3:01,Malik Monk blocks Jusuf Nurkic 's 4-foot layup,18,18,Jazz
2:58,Dario Saric defensive rebound,18,18,Kings
2:58,Zach LaVine makes layup (Malik Monk assists),18,20,Kings
2:58,Walter Clayton Jr. shooting foul,18,20,Jazz
2:58,Kings Full timeout,18,20,Kings
2:58,DeMar DeRozan enters the game for Dario Saric,18,20,Kings
2:58,Zach LaVine makes free throw 1 of 1,18,21,Kings
2:58,Domantas Sabonis enters the game for Drew Eubanks,18,21,Kings
2:45,Malik Monk personal foul,18,21,Kings
2:45,Keon Ellis enters the game for Zach LaVine,18,21,Kings
2:32,Jusuf Nurkic makes layup (Brice Sensabaugh assists),20,21,Jazz
2:21,Ace Bailey defensive 3-seconds (technical foul),20,21,Jazz
2:21,DeMar DeRozan makes technical free throw,20,22,Kings
2:08,Keon Ellis makes 24-foot three point jumper (Russell Westbrook assists),20,25,Kings
1:53,Jusuf Nurkic bad pass (Malik Monk steals),20,25,Jazz
1:48,Keon Ellis misses dunk,20,25,Kings
1:46,Walter Clayton Jr. defensive rebound,20,25,Jazz
1:42,Brice Sensabaugh misses 25-foot three point shot,20,25,Jazz
1:38,Taylor Hendricks offensive rebound,20,25,Jazz
1:36,Brice Sensabaugh makes 23-foot three point jumper (Taylor Hendricks assists),23,25,Jazz
1:17,Malik Monk makes 19-foot pullup jump shot (Domantas Sabonis assists),23,27,Kings
1:07,Jusuf Nurkic misses 4-foot two point shot,23,27,Jazz
1:06,Jazz offensive team rebound,23,27,Jazz
1:06,Lauri Markkanen enters the game for Brice Sensabaugh,23,27,Jazz
1:02,Ace Bailey misses 20-foot jumper,23,27,Jazz
58.5,DeMar DeRozan defensive rebound,23,27,Kings
52.1,DeMar DeRozan makes 17-foot pullup jump shot (Malik Monk assists),23,29,Kings
32.8,Malik Monk personal foul,23,29,Kings
32.8,Lauri Markkanen makes free throw 1 of 2,24,29,Jazz
32.8,Zach LaVine enters the game for Malik Monk,24,29,Kings
32.8,Jusuf Nurkic double lane violation,24,29,Jazz
32.8,Domantas Sabonis double lane violation,24,29,Kings
32.8,Jusuf Nurkic vs. Domantas Sabonis (Ace Bailey gains possession),24,29,Jazz
25.1,Ace Bailey misses driving layup,24,29,Jazz
21.8,DeMar DeRozan defensive rebound,24,29,Kings
4.3,Zach LaVine makes 18-foot jumper (DeMar DeRozan assists),24,31,Kings
0.0,Taylor Hendricks misses heave jump shot,24,31,Jazz
0.0,Jazz offensive team rebound,24,31,Jazz
0.0,End of the 1st Quarter,24,31,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,Malik Monk enters the game for Zach LaVine,24,31,Kings
12:00,Kyle Filipowski enters the game for Taylor Hendricks,24,31,Jazz
12:00,Svi Mykhailiuk enters the game for Ace Bailey,24,31,Jazz
11:44,Lauri Markkanen personal foul,24,31,Jazz
11:39,Russell Westbrook misses 27-foot three point jumper,24,31,Kings
11:34,Jusuf Nurkic defensive rebound,24,31,Jazz
11:27,Walter Clayton Jr. misses 11-foot two point shot,24,31,Jazz
11:23,Domantas Sabonis defensive rebound,24,31,Kings
11:18,DeMar DeRozan misses 17-foot two point shot,24,31,Kings
11:14,Walter Clayton Jr. defensive rebound,24,31,Jazz
11:04,Jusuf Nurkic makes 6-foot layup (Kyle Filipowski assists),26,31,Jazz
10:54,Russell Westbrook out of bounds bad pass turnover,26,31,Kings
10:42,Lauri Markkanen makes 26-foot three point jumper (Kyle Filipowski assists),29,31,Jazz
10:29,Domantas Sabonis misses 7-foot hook shot,29,31,Kings
10:29,Lauri Markkanen defensive rebound,29,31,Jazz
10:17,Russell Westbrook personal foul,29,31,Kings
10:11,Lauri Markkanen misses 26-foot three point jumper,29,31,Jazz
10:08,DeMar DeRozan defensive rebound,29,31,Kings
10:02,Domantas Sabonis misses 27-foot three point jumper,29,31,Kings
9:58,Svi Mykhailiuk defensive rebound,29,31,Jazz
9:50,Walter Clayton Jr. makes driving layup,31,31,Jazz
9:49,Kings Full timeout,31,31,Kings
