time,description,home_score,away_score,team
12:00,Nikola Vucevic vs. Wendell Carter Jr. (Tyus Jones gains possession),0,0,Magic
11:42,Wendell Carter Jr. misses 22-foot three point pullup jump shot,0,0,Magic
11:39,Tre Jones defensive rebound,0,0,Bulls
11:35,Josh Giddey makes two point shot (Tre Jones assists),2,0,Bulls
11:21,Paolo Banchero steps out of bounds turnover,2,0,Magic
11:07,Nikola Vucevic misses 15-foot two point shot,2,0,Bulls
11:04,Paolo Banchero defensive rebound,2,0,Magic
10:50,Tyus Jones misses driving floating jump shot,2,0,Magic
10:47,Wendell Carter Jr. offensive rebound,2,0,Magic
10:43,Tyus Jones misses 25-foot three point jumper,2,0,Magic
10:38,Desmond Bane offensive rebound,2,0,Magic
10:37,Desmond Bane makes two point shot,2,2,Magic
10:30,Matas Buzelis misses 25-foot three point pullup jump shot,2,2,Bulls
10:30,Desmond Bane defensive rebound,2,2,Magic
10:19,Desmond Bane misses two point shot,2,2,Magic
10:17,Matas Buzelis defensive rebound,2,2,Bulls
10:07,Isaac Okoro misses 22-foot three point jumper,2,2,Bulls
10:01,Paolo Banchero defensive rebound,2,2,Magic
9:59,Paolo Banchero makes driving layup (Tyus Jones assists),2,4,Magic
9:59,Josh Giddey shooting foul,2,4,Bulls
9:59,Paolo Banchero makes free throw 1 of 1,2,5,Magic
9:42,Isaac Okoro misses 22-foot three point jumper,2,5,Bulls
9:40,Franz Wagner defensive rebound,2,5,Magic
9:32,Wendell Carter Jr. misses 20-foot pullup jump shot,2,5,Magic
9:29,Josh Giddey defensive rebound,2,5,Bulls
9:23,Tre Jones misses 22-foot three point jumper,2,5,Bulls
9:19,Wendell Carter Jr. defensive rebound,2,5,Magic
9:17,Franz Wagner makes two point shot (Desmond Bane assists),2,7,Magic
9:03,Tre Jones makes 25-foot three point jumper (Nikola Vucevic assists),5,7,Bulls
8:41,Matas Buzelis personal foul,5,7,Bulls
8:34,Wendell Carter Jr. misses driving floating jump shot,5,7,Magic
8:31,Josh Giddey defensive rebound,5,7,Bulls
8:28,Franz Wagner shooting foul,5,7,Magic
8:28,Josh Giddey makes free throw 1 of 2,6,7,Bulls
8:28,Anthony Black enters the game for Tyus Jones,6,7,Magic
8:28,Kevin Huerter enters the game for Tre Jones,6,7,Bulls
8:28,Josh Giddey makes free throw 2 of 2,7,7,Bulls
8:19,Anthony Black misses 27-foot three point pullup jump shot,7,7,Magic
8:15,Nikola Vucevic defensive rebound,7,7,Bulls
8:08,Matas Buzelis misses driving floating jump shot,7,7,Bulls
8:05,Franz Wagner defensive rebound,7,7,Magic
7:59,Paolo Banchero makes 6-foot driving floating jump shot,7,9,Magic
7:43,Isaac Okoro misses two point shot,7,9,Bulls
7:41,Paolo Banchero defensive rebound,7,9,Magic
7:36,Isaac Okoro blocks Paolo Banchero 's 8-foot driving floating jump shot,7,9,Magic
7:32,Josh Giddey defensive rebound,7,9,Bulls
7:30,Matas Buzelis misses dunk,7,9,Bulls
7:28,Anthony Black defensive rebound,7,9,Magic
7:23,Franz Wagner misses two point shot,7,9,Magic
7:21,Nikola Vucevic defensive rebound,7,9,Bulls
7:16,Paolo Banchero blocks Isaac Okoro 's 2-foot two point shot,7,9,Bulls
7:13,Wendell Carter Jr. defensive rebound,7,9,Magic
7:11,Franz Wagner makes 3-foot dunk (Desmond Bane assists),7,11,Magic
6:54,Desmond Bane shooting foul,7,11,Magic
6:54,Magic Full timeout,7,11,Magic
6:54,Patrick Williams enters the game for Isaac Okoro,7,11,Bulls
6:54,Matas Buzelis misses free throw 1 of 2,7,11,Bulls
6:54,Bulls offensive team rebound,7,11,Bulls
