time,description,home_score,away_score,team
12:00,Ryan Kalkbrenner vs. Dominick Barlow (Collin Sexton gains possession),0,0,Hornets
11:48,Brandon Miller makes 1-foot dunk (Miles Bridges assists),2,0,Hornets
11:21,VJ Edgecombe misses 16-foot pullup jump shot,2,0,76ers
11:19,Dominick Barlow offensive rebound,2,0,76ers
11:16,Joel Embiid makes 26-foot three point jumper (Tyrese Maxey assists),2,3,76ers
11:03,LaMelo Ball makes 11-foot driving floating jump shot (Ryan Kalkbrenner assists),4,3,Hornets
10:52,Joel Embiid misses 15-foot pullup jump shot,4,3,76ers
10:49,Ryan Kalkbrenner defensive rebound,4,3,Hornets
10:47,LaMelo Ball bad pass (VJ Edgecombe steals),4,3,Hornets
10:32,Kelly Oubre Jr. makes 26-foot three point jumper (Tyrese Maxey assists),4,6,76ers
10:21,Tyrese Maxey blocks LaMelo Ball 's 11-foot driving floating jump shot,4,6,Hornets
10:15,LaMelo Ball offensive rebound,4,6,Hornets
10:14,LaMelo Ball makes two point shot,6,6,Hornets
10:10,Ryan Kalkbrenner shooting foul,6,6,Hornets
10:10,Joel Embiid makes free throw 1 of 2,6,7,76ers
10:10,Joel Embiid makes free throw 2 of 2,6,8,76ers
9:55,Collin Sexton makes 27-foot three point jumper (LaMelo Ball assists),9,8,Hornets
9:44,Tyrese Maxey makes 25-foot three point jumper (Joel Embiid assists),9,11,76ers
9:36,Collin Sexton out of bounds bad pass turnover,9,11,Hornets
9:28,Tyrese Maxey misses 26-foot three point step back jumpshot,9,11,76ers
9:27,Hornets defensive team rebound,9,11,Hornets
9:14,Brandon Miller misses 12-foot pullup jump shot,9,11,Hornets
9:10,Miles Bridges offensive rebound,9,11,Hornets
9:07,Miles Bridges misses 22-foot three point jumper,9,11,Hornets
9:04,Tyrese Maxey defensive rebound,9,11,76ers
8:45,VJ Edgecombe makes 23-foot three point jumper (Tyrese Maxey assists),9,14,76ers
8:29,Brandon Miller misses driving layup,9,14,Hornets
8:27,Joel Embiid defensive rebound,9,14,76ers
8:24,Ryan Kalkbrenner shooting foul,9,14,Hornets
8:24,Joel Embiid misses free throw 1 of 2,9,14,76ers
8:24,76ers offensive team rebound,9,14,76ers
8:24,Mason Plumlee enters the game for Ryan Kalkbrenner,9,14,Hornets
8:24,Joel Embiid makes free throw 2 of 2,9,15,76ers
8:11,Brandon Miller misses 26-foot three point pullup jump shot,9,15,Hornets
8:09,76ers defensive team rebound,9,15,76ers
7:53,Joel Embiid makes 25-foot three point jumper (Tyrese Maxey assists),9,18,76ers
7:52,Hornets Full timeout,9,18,Hornets
