time,description,home_score,away_score,team
12:00,James Wiseman vs. Jaren Jackson Jr. (James Wiseman gains possession),0,0,Pacers
11:35,Ben Sheppard makes 13-foot pullup jump shot (Bennedict Mathurin assists),2,0,Pacers
11:16,Jock Landale misses 6-foot two point shot,2,0,Grizzlies
11:14,Bennedict Mathurin defensive rebound,2,0,Pacers
11:10,Pascal Siakam misses 25-foot three point shot,2,0,Pacers
11:10,Grizzlies defensive team rebound,2,0,Grizzlies
10:55,Kentavious Caldwell-Pope misses 18-foot pullup jump shot,2,0,Grizzlies
10:51,Pascal Siakam defensive rebound,2,0,Pacers
10:45,Pascal Siakam offensive foul,2,0,Pacers
10:45,Pascal Siakam turnover,2,0,Pacers
10:29,Kentavious Caldwell-Pope misses driving floating jump shot,2,0,Grizzlies
10:28,Grizzlies offensive team rebound,2,0,Grizzlies
10:25,Ja Morant makes 6-foot layup (Kentavious Caldwell-Pope assists),2,2,Grizzlies
10:13,Jaren Jackson Jr. shooting foul,2,2,Grizzlies
10:13,Pascal Siakam misses free throw 1 of 2,2,2,Pacers
10:13,Pacers offensive team rebound,2,2,Pacers
10:13,Pascal Siakam makes free throw 2 of 2,3,2,Pacers
9:51,Jaren Jackson Jr. makes 11-foot driving floating jump shot (Kentavious Caldwell-Pope assists),3,4,Grizzlies
9:34,Bennedict Mathurin misses 20-foot pullup jump shot,3,4,Pacers
9:32,Kentavious Caldwell-Pope defensive rebound,3,4,Grizzlies
9:28,Jaren Jackson Jr. misses 25-foot three point shot,3,4,Grizzlies
9:24,Bennedict Mathurin defensive rebound,3,4,Pacers
9:15,Pascal Siakam misses 24-foot three point pullup jump shot,3,4,Pacers
9:10,Ja Morant defensive rebound,3,4,Grizzlies
9:05,Kentavious Caldwell-Pope misses two point shot,3,4,Grizzlies
9:05,Pacers defensive team rebound,3,4,Pacers
8:55,James Wiseman out of bounds bad pass turnover,3,4,Pacers
8:55,Cedric Coward enters the game for Kentavious Caldwell-Pope,3,4,Grizzlies
8:55,John Konchar enters the game for Jaren Jackson Jr.,3,4,Grizzlies
8:39,Ja Morant misses 25-foot three point pullup jump shot,3,4,Grizzlies
8:38,Pacers defensive team rebound,3,4,Pacers
8:25,John Konchar blocks Aaron Nesmith 's 9-foot driving floating jump shot,3,4,Pacers
8:21,John Konchar defensive rebound,3,4,Grizzlies
8:16,Jaylen Wells misses two point shot,3,4,Grizzlies
8:13,Pascal Siakam defensive rebound,3,4,Pacers
8:09,Pascal Siakam misses two point shot,3,4,Pacers
8:05,John Konchar defensive rebound,3,4,Grizzlies
8:00,Jock Landale makes 8-foot two point shot (Ja Morant assists),3,6,Grizzlies
7:58,Pacers Full timeout,3,6,Pacers
7:58,Obi Toppin enters the game for Pascal Siakam,3,6,Pacers
7:38,Bennedict Mathurin misses two point shot,3,6,Pacers
7:33,James Wiseman offensive rebound,3,6,Pacers
7:32,James Wiseman lost ball turnover (John Konchar steals),3,6,Pacers
7:23,Jaylen Wells misses 25-foot three point jumper,3,6,Grizzlies
7:20,Obi Toppin defensive rebound,3,6,Pacers
7:09,Ben Sheppard misses driving layup,3,6,Pacers
7:06,Jock Landale defensive rebound,3,6,Grizzlies
7:03,Cedric Coward makes 1-foot layup (Ja Morant assists),3,8,Grizzlies
6:38,Aaron Nesmith misses 24-foot three point jumper,3,8,Pacers
6:36,Ja Morant defensive rebound,3,8,Grizzlies
6:32,John Konchar makes two point shot (Ja Morant assists),3,10,Grizzlies
6:15,Jock Landale personal foul,3,10,Grizzlies
6:15,Santi Aldama enters the game for Jaylen Wells,3,10,Grizzlies
6:15,Jaren Jackson Jr. enters the game for Ja Morant,3,10,Grizzlies
6:15,Javon Small enters the game for Jock Landale,3,10,Grizzlies
6:15,RayJ Dennis enters the game for James Wiseman,3,10,Pacers
6:15,Pascal Siakam enters the game for Ben Sheppard,3,10,Pacers
6:08,Pascal Siakam makes 20-foot jumper (RayJ Dennis assists),5,10,Pacers
5:46,Jaren Jackson Jr. makes driving layup,5,12,Grizzlies
5:36,Pascal Siakam misses 24-foot three point pullup jump shot,5,12,Pacers
5:33,Santi Aldama defensive rebound,5,12,Grizzlies
5:30,John Konchar misses 23-foot three point shot,5,12,Grizzlies
5:27,Obi Toppin defensive rebound,5,12,Pacers
5:15,Obi Toppin misses 17-foot jumper,5,12,Pacers
5:13,Santi Aldama defensive rebound,5,12,Grizzlies
5:04,Santi Aldama misses 26-foot three point jumper,5,12,Grizzlies
5:02,Aaron Nesmith defensive rebound,5,12,Pacers
4:55,Bennedict Mathurin makes 2-foot two point shot (Aaron Nesmith assists),7,12,Pacers
4:55,John Konchar shooting foul,7,12,Grizzlies
4:55,Kentavious Caldwell-Pope enters the game for John Konchar,7,12,Grizzlies
4:55,Jarace Walker enters the game for Aaron Nesmith,7,12,Pacers
4:55,Bennedict Mathurin misses free throw 1 of 1,7,12,Pacers
4:52,Santi Aldama defensive rebound,7,12,Grizzlies
4:47,Jarace Walker blocks Santi Aldama 's 6-foot two point shot,7,12,Grizzlies
4:47,Grizzlies offensive team rebound,7,12,Grizzlies
4:44,Cedric Coward misses 11-foot pullup jump shot,7,12,Grizzlies
4:41,Jarace Walker defensive rebound,7,12,Pacers
4:30,RayJ Dennis makes 24-foot three point jumper (Pascal Siakam assists),10,12,Pacers
4:10,Jaren Jackson Jr. makes 10-foot two point shot (Javon Small assists),10,14,Grizzlies
3:57,Bennedict Mathurin makes 1-foot two point shot (RayJ Dennis assists),12,14,Pacers
3:42,Kentavious Caldwell-Pope misses 25-foot three point jumper,12,14,Grizzlies
3:38,Santi Aldama offensive rebound,12,14,Grizzlies
3:38,Santi Aldama misses tip shot,12,14,Grizzlies
3:38,Santi Aldama offensive rebound,12,14,Grizzlies
3:25,shot clock turnover,12,14,Grizzlies
3:02,Bennedict Mathurin makes two point shot (RayJ Dennis assists),14,14,Pacers
