time,description,home_score,away_score,team
12:00,Oso Ighodaro vs. Nikola Jokic (Jamal Murray gains possession),0,0,Nuggets
11:42,Cameron Johnson makes 25-foot three point jumper (Nikola Jokic assists),0,3,Nuggets
11:22,Grayson Allen makes 25-foot three pointer (Devin Booker assists),3,3,Suns
11:00,Aaron Gordon makes dunk (Nikola Jokic assists),3,5,Nuggets
10:44,Dillon Brooks offensive foul,3,5,Suns
10:44,Dillon Brooks turnover,3,5,Suns
10:20,Christian Braun misses 19-foot step back jumpshot,3,5,Nuggets
10:18,Nikola Jokic offensive rebound,3,5,Nuggets
10:10,Jamal Murray misses 24-foot three point step back jumpshot,3,5,Nuggets
10:08,Ryan Dunn defensive rebound,3,5,Suns
10:02,Devin Booker lost ball turnover (Christian Braun steals),3,5,Suns
10:02,Oso Ighodaro vs. Jamal Murray (Nikola Jokic gains possession),3,5,Nuggets
9:50,Nikola Jokic bad pass (Dillon Brooks steals),3,5,Nuggets
9:43,Christian Braun personal foul,3,5,Nuggets
9:41,Devin Booker misses 20-foot jumper,3,5,Suns
9:38,Jamal Murray defensive rebound,3,5,Nuggets
9:31,Grayson Allen personal foul,3,5,Suns
9:19,Jamal Murray makes driving layup (Nikola Jokic assists),3,7,Nuggets
9:06,Devin Booker lost ball turnover (Nikola Jokic steals),3,7,Suns
9:02,Christian Braun makes 1-foot dunk (Nikola Jokic assists),3,9,Nuggets
8:49,Oso Ighodaro misses 5-foot two point shot,3,9,Suns
8:47,Nikola Jokic defensive rebound,3,9,Nuggets
8:45,Jamal Murray misses 24-foot three point shot,3,9,Nuggets
8:41,Devin Booker defensive rebound,3,9,Suns
8:36,Nikola Jokic personal foul,3,9,Nuggets
8:31,Grayson Allen misses 24-foot three point pullup jump shot,3,9,Suns
8:28,Nikola Jokic defensive rebound,3,9,Nuggets
8:15,Oso Ighodaro shooting foul,3,9,Suns
8:15,Aaron Gordon makes free throw 1 of 2,3,10,Nuggets
8:15,Aaron Gordon makes free throw 2 of 2,3,11,Nuggets
8:08,Devin Booker misses 25-foot three point pullup jump shot,3,11,Suns
8:04,Ryan Dunn offensive rebound,3,11,Suns
7:55,Grayson Allen makes 23-foot three point jumper (Ryan Dunn assists),6,11,Suns
7:42,Aaron Gordon misses 23-foot three point jumper,6,11,Nuggets
7:39,Ryan Dunn defensive rebound,6,11,Suns
7:35,Dillon Brooks misses running pullup jump shot,6,11,Suns
7:32,Nuggets defensive team rebound,6,11,Nuggets
7:11,Dillon Brooks shooting foul,6,11,Suns
7:11,Jamal Murray makes free throw 1 of 2,6,12,Nuggets
7:11,Jamal Murray makes free throw 2 of 2,6,13,Nuggets
7:07,Nikola Jokic personal foul,6,13,Nuggets
6:54,Grayson Allen misses 27-foot three point jumper,6,13,Suns
6:51,Jamal Murray defensive rebound,6,13,Nuggets
6:43,Jamal Murray misses 25-foot three point step back jumpshot,6,13,Nuggets
6:38,Grayson Allen defensive rebound,6,13,Suns
6:36,Nuggets Full timeout,6,13,Nuggets
6:36,Tim Hardaway Jr. enters the game for Jamal Murray,6,13,Nuggets
6:36,Nick Richards enters the game for Oso Ighodaro,6,13,Suns
6:31,Dillon Brooks misses 25-foot three point jumper,6,13,Suns
6:30,Ryan Dunn offensive rebound,6,13,Suns
6:29,Ryan Dunn makes tip shot,8,13,Suns
6:05,Aaron Gordon misses 25-foot three point pullup jump shot,8,13,Nuggets
6:01,Ryan Dunn defensive rebound,8,13,Suns
5:55,Nick Richards makes layup (Dillon Brooks assists),10,13,Suns
5:46,Nick Richards personal foul,10,13,Suns
5:46,Royce O'Neale enters the game for Ryan Dunn,10,13,Suns
5:46,Collin Gillespie enters the game for Grayson Allen,10,13,Suns
5:31,Cameron Johnson misses 11-foot pullup jump shot,10,13,Nuggets
5:30,Nick Richards defensive rebound,10,13,Suns
5:28,Nick Richards bad pass (Nikola Jokic steals),10,13,Suns
5:24,Christian Braun makes 1-foot dunk (Nikola Jokic assists),10,15,Nuggets
5:07,Collin Gillespie traveling,10,15,Suns
5:03,Christian Braun misses alley oop layup,10,15,Nuggets
5:00,Royce O'Neale defensive rebound,10,15,Suns
4:55,Cameron Johnson personal foul,10,15,Nuggets
4:48,Devin Booker bad pass (Christian Braun steals),10,15,Suns
4:44,Tim Hardaway Jr. misses 25-foot three point shot,10,15,Nuggets
4:41,Cameron Johnson offensive rebound,10,15,Nuggets
4:40,Tim Hardaway Jr. misses 24-foot three point jumper,10,15,Nuggets
4:37,Dillon Brooks defensive rebound,10,15,Suns
4:34,Nick Richards flagrant foul type 1,10,15,Suns
4:34,Nick Richards turnover,10,15,Suns
4:34,(04:34) [Suns] REF-INITIATED REVIEW (CALL OVERTURNED),10,15,Unknown
4:34,Cameron Johnson makes free throw flagrant 1 of 2,10,16,Nuggets
4:34,Cameron Johnson makes free throw flagrant 2 of 2,10,17,Nuggets
4:34,Peyton Watson enters the game for Aaron Gordon,10,17,Nuggets
4:26,Peyton Watson misses layup,10,17,Nuggets
4:24,Peyton Watson offensive rebound,10,17,Nuggets
4:24,Peyton Watson makes tip shot,10,19,Nuggets
4:01,Dillon Brooks makes 15-foot pullup jump shot,12,19,Suns
3:43,Christian Braun makes 3-foot layup (Nikola Jokic assists),12,21,Nuggets
3:33,Dillon Brooks misses 16-foot pullup jump shot,12,21,Suns
3:32,Royce O'Neale offensive rebound,12,21,Suns
3:30,Dillon Brooks makes 24-foot three pointer (Royce O'Neale assists),15,21,Suns
3:13,Cameron Johnson makes 16-foot jumper (Nikola Jokic assists),15,23,Nuggets
3:06,Nuggets Full timeout,15,23,Nuggets
3:06,(03:06) [Nuggets] COACH'S CHALLENGE (CALL OVERTURNED) [Nuggets] retain their timeout,15,23,Nuggets
3:06,Jamal Murray enters the game for Christian Braun,15,23,Nuggets
3:06,Bruce Brown enters the game for Nikola Jokic,15,23,Nuggets
3:06,Jonas Valanciunas enters the game for Cameron Johnson,15,23,Nuggets
3:03,Jonas Valanciunas shooting foul,15,23,Nuggets
3:03,Nick Richards makes free throw 1 of 2,16,23,Suns
3:03,Nick Richards makes free throw 2 of 2,17,23,Suns
2:50,Tim Hardaway Jr. misses 26-foot three point jumper,17,23,Nuggets
2:46,Devin Booker defensive rebound,17,23,Suns
2:39,Dillon Brooks misses 23-foot three point jumper,17,23,Suns
2:36,Bruce Brown defensive rebound,17,23,Nuggets
2:21,Nick Richards shooting foul,17,23,Suns
2:21,Jonas Valanciunas misses free throw 1 of 2,17,23,Nuggets
2:21,Nuggets offensive team rebound,17,23,Nuggets
2:21,Khaman Maluach enters the game for Nick Richards,17,23,Suns
2:21,Nigel Hayes-Davis enters the game for Dillon Brooks,17,23,Suns
2:21,Jonas Valanciunas makes free throw 2 of 2,17,24,Nuggets
2:06,Royce O'Neale misses 22-foot three point jumper,17,24,Suns
2:05,Khaman Maluach offensive rebound,17,24,Suns
2:04,Bruce Brown blocks Khaman Maluach 's 1-foot two point shot,17,24,Suns
2:02,Collin Gillespie offensive rebound,17,24,Suns
1:58,Nigel Hayes-Davis makes 8-foot driving floating jump shot (Collin Gillespie assists),19,24,Suns
1:35,Jonas Valanciunas misses 18-foot jumper,19,24,Nuggets
1:32,Khaman Maluach defensive rebound,19,24,Suns
1:29,Devin Booker makes 27-foot running pullup jump shot (Khaman Maluach assists),22,24,Suns
1:11,Jamal Murray makes 5-foot two point shot,22,26,Nuggets
1:02,Bruce Brown shooting foul,22,26,Nuggets
1:02,Devin Booker makes free throw 1 of 2,23,26,Suns
1:02,Grayson Allen enters the game for Collin Gillespie,23,26,Suns
1:02,Devin Booker makes free throw 2 of 2,24,26,Suns
50.1,Khaman Maluach personal foul,24,26,Suns
50.1,Jonas Valanciunas makes free throw 1 of 2,24,27,Nuggets
50.1,Jonas Valanciunas makes free throw 2 of 2,24,28,Nuggets
34.4,Devin Booker makes 10-foot two point shot,26,28,Suns
12.2,Tim Hardaway Jr. makes 25-foot three point jumper (Jamal Murray assists),26,31,Nuggets
2.8,Peyton Watson shooting foul,26,31,Nuggets
2.8,Khaman Maluach makes free throw 1 of 2,27,31,Suns
2.8,Khaman Maluach makes free throw 2 of 2,28,31,Suns
1.0,Jamal Murray makes 55-foot three pointer (Bruce Brown assists),28,34,Nuggets
0.0,End of the 1st Quarter,28,34,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,Collin Gillespie enters the game for Devin Booker,28,34,Suns
11:36,Nigel Hayes-Davis misses 25-foot three point jumper,28,34,Suns
11:33,Nigel Hayes-Davis offensive rebound,28,34,Suns
11:22,Nigel Hayes-Davis misses two point shot,28,34,Suns
11:22,Suns offensive team rebound,28,34,Suns
11:22,Peyton Watson loose ball foul,28,34,Nuggets
