time,description,home_score,away_score,team
12:00,Ariel Hukporti vs. Kel'el Ware (Davion Mitchell gains possession),0,0,Heat
11:45,Bam Adebayo misses 14-foot two point shot,0,0,Heat
11:42,Karl-Anthony Towns defensive rebound,0,0,Unknown
11:36,Karl-Anthony Towns misses 26-foot three point shot,0,0,Unknown
11:33,Bam Adebayo defensive rebound,0,0,Heat
11:30,Ariel Hukporti personal foul,0,0,Unknown
11:17,Bam Adebayo misses 20-foot jumper,0,0,Heat
11:14,Karl-Anthony Towns defensive rebound,0,0,Unknown
11:03,Jalen Brunson makes 26-foot three point jumper (Ariel Hukporti assists),3,0,Unknown
10:49,Norman Powell makes 28-foot three point jumper (Davion Mitchell assists),3,3,Heat
10:26,Jalen Brunson misses 27-foot three point pullup jump shot,3,3,Unknown
10:24,Norman Powell defensive rebound,3,3,Heat
10:12,Andrew Wiggins misses 5-foot two point shot,3,3,Heat
10:10,Karl-Anthony Towns defensive rebound,3,3,Unknown
10:01,OG Anunoby misses 27-foot three point jumper,3,3,Unknown
9:58,Ariel Hukporti offensive rebound,3,3,Unknown
9:51,OG Anunoby misses driving layup,3,3,Unknown
9:49,Kel'el Ware defensive rebound,3,3,Heat
9:44,Norman Powell makes 26-foot running pullup jump shot (Davion Mitchell assists),3,6,Heat
9:31,Mikal Bridges makes 2-foot layup (Karl-Anthony Towns assists),5,6,Unknown
9:31,Kel'el Ware shooting foul,5,6,Heat
9:31,Mikal Bridges makes free throw 1 of 1,6,6,Unknown
9:20,Mikal Bridges shooting foul,6,6,Unknown
9:20,Davion Mitchell misses free throw 1 of 2,6,6,Heat
9:20,Heat offensive team rebound,6,6,Heat
9:20,Davion Mitchell misses free throw 2 of 2,6,6,Heat
9:18,Karl-Anthony Towns defensive rebound,6,6,Unknown
8:58,Jalen Brunson misses 9-foot two point shot,6,6,Unknown
8:56,Norman Powell defensive rebound,6,6,Heat
8:50,Bam Adebayo bad pass (OG Anunoby steals),6,6,Heat
8:45,Mikal Bridges lost ball turnover (Bam Adebayo steals),6,6,Unknown
8:41,OG Anunoby shooting foul,6,6,Unknown
8:41,Bam Adebayo makes free throw 1 of 2,6,7,Heat
8:41,Bam Adebayo makes free throw 2 of 2,6,8,Heat
8:24,Jalen Brunson makes 7-foot driving floating jump shot (OG Anunoby assists),8,8,Unknown
8:15,Bam Adebayo misses 25-foot three point jumper,8,8,Heat
8:12,Jalen Brunson defensive rebound,8,8,Unknown
8:07,Karl-Anthony Towns misses 27-foot three point shot,8,8,Unknown
8:04,OG Anunoby offensive rebound,8,8,Unknown
8:02,Karl-Anthony Towns misses 27-foot three point jumper,8,8,Unknown
8:02,Andrew Wiggins defensive rebound,8,8,Heat
7:55,Karl-Anthony Towns blocks Kel'el Ware's two point shot,8,8,Heat
7:55,Heat offensive team rebound,8,8,Heat
7:50,Norman Powell makes 20-foot pullup jump shot (Bam Adebayo assists),8,10,Heat
7:34,Davion Mitchell personal foul,8,10,Heat
7:34,Josh Hart enters the game for Ariel Hukporti,8,10,Unknown
7:23,Jalen Brunson bad pass (Kel'el Ware steals),8,10,Unknown
7:10,Bam Adebayo lost ball turnover (Josh Hart steals),8,10,Heat
7:01,OG Anunoby makes 27-foot three point step back jumpshot (Karl-Anthony Towns assists),11,10,Unknown
6:49,Davion Mitchell misses 17-foot step back jumpshot,11,10,Heat
6:46,Mikal Bridges defensive rebound,11,10,Unknown
6:38,Karl-Anthony Towns makes driving layup,13,10,Unknown
6:38,Heat Full timeout,13,10,Heat
6:38,Jaime Jaquez Jr. enters the game for Kel'el Ware,13,10,Heat
6:19,Andrew Wiggins misses 26-foot three point jumper,13,10,Heat
6:14,Karl-Anthony Towns defensive rebound,13,10,Unknown
5:53,shot clock turnover,13,10,Unknown
5:44,Davion Mitchell makes 1-foot two point shot,13,12,Heat
5:24,Josh Hart misses 22-foot three point jumper,13,12,Unknown
5:20,Jaime Jaquez Jr. defensive rebound,13,12,Heat
5:12,Norman Powell misses 23-foot three point jumper,13,12,Heat
5:11,Jalen Brunson defensive rebound,13,12,Unknown
5:00,Davion Mitchell shooting foul,13,12,Heat
5:00,Jalen Brunson makes free throw 1 of 2,14,12,Unknown
5:00,Kel'el Ware enters the game for Bam Adebayo,14,12,Heat
5:00,Dru Smith enters the game for Davion Mitchell,14,12,Heat
5:00,Landry Shamet enters the game for OG Anunoby,14,12,Unknown
5:00,Guerschon Yabusele enters the game for Karl-Anthony Towns,14,12,Unknown
5:00,Jalen Brunson makes free throw 2 of 2,15,12,Unknown
4:49,Andrew Wiggins traveling,15,12,Heat
4:37,Guerschon Yabusele misses 25-foot three point jumper,15,12,Unknown
4:30,Andrew Wiggins defensive rebound,15,12,Heat
4:25,Dru Smith makes 23-foot running pullup jump shot (Norman Powell assists),15,15,Heat
4:19,Jalen Brunson makes driving layup,17,15,Unknown
4:08,Norman Powell misses driving floating jump shot,17,15,Heat
4:03,Norman Powell offensive rebound,17,15,Heat
4:02,Norman Powell makes layup,17,17,Heat
4:02,Guerschon Yabusele shooting foul,17,17,Unknown
4:02,Norman Powell makes free throw 1 of 1,17,18,Heat
3:42,Jalen Brunson makes 7-foot pullup jump shot (Mikal Bridges assists),19,18,Unknown
3:16,Norman Powell makes driving layup,19,20,Heat
3:07,Landry Shamet misses 22-foot three point jumper,19,20,Unknown
3:03,Josh Hart offensive rebound,19,20,Unknown
2:52,Norman Powell shooting foul,19,20,Heat
2:52,Knicks Full timeout,19,20,Unknown
2:52,Simone Fontecchio enters the game for Andrew Wiggins,19,20,Heat
2:52,Nikola Jovic enters the game for Norman Powell,19,20,Heat
2:52,OG Anunoby enters the game for Mikal Bridges,19,20,Unknown
2:52,Josh Hart misses free throw 1 of 2,19,20,Unknown
2:52,Knicks offensive team rebound,19,20,Unknown
2:52,Josh Hart makes free throw 2 of 2,20,20,Unknown
2:30,Nikola Jovic misses 23-foot three point jumper,20,20,Heat
2:25,Jalen Brunson defensive rebound,20,20,Unknown
2:14,Jalen Brunson misses 26-foot three point pullup jump shot,20,20,Unknown
2:11,Guerschon Yabusele offensive rebound,20,20,Unknown
2:10,Simone Fontecchio personal foul,20,20,Heat
2:10,OG Anunoby makes free throw 1 of 2,21,20,Unknown
2:10,Bam Adebayo enters the game for Kel'el Ware,21,20,Heat
2:10,OG Anunoby makes free throw 2 of 2,22,20,Unknown
2:10,Karl-Anthony Towns enters the game for Guerschon Yabusele,22,20,Unknown
1:53,Nikola Jovic misses 26-foot three point jumper,22,20,Heat
1:42,OG Anunoby defensive rebound,22,20,Unknown
1:39,Jalen Brunson makes driving layup,24,20,Unknown
1:33,Bam Adebayo offensive goaltending turnover,24,20,Heat
1:14,OG Anunoby misses 22-foot three point jumper,24,20,Unknown
1:11,Simone Fontecchio defensive rebound,24,20,Heat
1:01,Simone Fontecchio misses 25-foot three point jumper,24,20,Heat
59.1,Bam Adebayo offensive rebound,24,20,Heat
59.1,Jalen Brunson shooting foul,24,20,Unknown
59.1,Bam Adebayo makes free throw 1 of 2,24,21,Heat
59.1,Bam Adebayo makes free throw 2 of 2,24,22,Heat
42.0,OG Anunoby makes 24-foot three point jumper (Landry Shamet assists),27,22,Unknown
29.1,Jaime Jaquez Jr. makes 6-foot two point shot,27,24,Heat
8.6,OG Anunoby out of bounds bad pass turnover,27,24,Unknown
8.6,Mikal Bridges enters the game for Jalen Brunson,27,24,Unknown
8.6,Ariel Hukporti enters the game for Karl-Anthony Towns,27,24,Unknown
2.1,(00:02.1) [Knicks] COACH'S CHALLENGE (CALL OVERTURNED) [Knicks] retain their timeout,27,24,Unknown
2.1,Dru Smith out of bounds lost ball turnover,27,24,Heat
0.0,End of the 1st Quarter,27,24,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,Karl-Anthony Towns enters the game for Josh Hart,27,24,Unknown
12:00,Guerschon Yabusele enters the game for Landry Shamet,27,24,Unknown
12:00,Tyler Kolek enters the game for Mikal Bridges,27,24,Unknown
12:00,Jordan Clarkson enters the game for Ariel Hukporti,27,24,Unknown
11:45,Tyler Kolek makes 27-foot three point jumper (Jordan Clarkson assists),30,24,Unknown
11:27,Simone Fontecchio makes 29-foot three point jumper (Jaime Jaquez Jr. assists),30,27,Heat
11:12,Jaime Jaquez Jr. shooting foul,30,27,Heat
11:12,Karl-Anthony Towns misses free throw 1 of 2,30,27,Unknown
11:12,Knicks offensive team rebound,30,27,Unknown
11:12,Karl-Anthony Towns makes free throw 2 of 2,31,27,Unknown
10:55,Nikola Jovic misses 26-foot three point jumper,31,27,Heat
10:51,Karl-Anthony Towns defensive rebound,31,27,Unknown
10:42,OG Anunoby misses 26-foot three point jumper,31,27,Unknown
10:38,Bam Adebayo defensive rebound,31,27,Heat
10:37,Bam Adebayo out of bounds bad pass turnover,31,27,Heat
10:29,Jordan Clarkson misses 24-foot three point jumper,31,27,Unknown
10:25,Guerschon Yabusele offensive rebound,31,27,Unknown
10:22,OG Anunoby misses 25-foot three point jumper,31,27,Unknown
10:18,Bam Adebayo defensive rebound,31,27,Heat
10:15,Dru Smith misses running pullup jump shot,31,27,Heat
10:10,Dru Smith offensive rebound,31,27,Heat
10:07,Jaime Jaquez Jr. misses 24-foot three point jumper,31,27,Heat
10:04,Karl-Anthony Towns defensive rebound,31,27,Unknown
9:58,Karl-Anthony Towns lost ball turnover (Dru Smith steals),31,27,Unknown
9:54,Jaime Jaquez Jr. makes two point shot (Nikola Jovic assists),31,29,Heat
9:53,Knicks Full timeout,31,29,Unknown
9:34,Jordan Clarkson misses 26-foot three point jumper,31,29,Unknown
9:31,Tyler Kolek offensive rebound,31,29,Unknown
9:29,Tyler Kolek misses 24-foot three point jumper,31,29,Unknown
9:29,Heat defensive team rebound,31,29,Heat
9:29,Heat Full timeout,31,29,Heat
9:29,(09:29) [Heat] COACH'S CHALLENGE (CALL OVERTURNED) [Heat] retain their timeout,31,29,Heat
9:15,Nikola Jovic bad pass (Guerschon Yabusele steals),31,29,Heat
9:06,Tyler Kolek misses 24-foot three point jumper,31,29,Unknown
9:02,Bam Adebayo defensive rebound,31,29,Heat
8:55,Dru Smith makes 26-foot three point jumper (Nikola Jovic assists),31,32,Heat
8:39,Jordan Clarkson misses 11-foot pullup jump shot,31,32,Unknown
8:34,Simone Fontecchio defensive rebound,31,32,Heat
8:22,Bam Adebayo makes 22-foot three point jumper (Simone Fontecchio assists),31,35,Heat
8:04,Jaime Jaquez Jr. shooting foul,31,35,Heat
8:04,Jordan Clarkson makes free throw 1 of 2,32,35,Unknown
8:04,Andrew Wiggins enters the game for Jaime Jaquez Jr.,32,35,Heat
