time,description,home_score,away_score,team
12:00,Jakob Poeltl vs. Dereck Lively II (Brandon Ingram gains possession),0,0,Raptors
11:44,Jakob Poeltl makes layup (Scottie Barnes assists),2,0,Raptors
11:30,Dereck Lively II bad pass (Jakob Poeltl steals),2,0,Mavericks
11:27,Immanuel Quickley makes two point shot,4,0,Raptors
11:16,Klay Thompson makes 25-foot three point jumper (Dereck Lively II assists),4,3,Mavericks
11:03,Dereck Lively II blocks Brandon Ingram 's 3-foot driving dunk,4,3,Raptors
11:01,Klay Thompson defensive rebound,4,3,Mavericks
10:58,P.J. Washington makes 1-foot dunk (Klay Thompson assists),4,5,Mavericks
10:52,Klay Thompson personal foul,4,5,Mavericks
10:43,Scottie Barnes makes 16-foot jumper (Brandon Ingram assists),6,5,Raptors
10:29,Scottie Barnes personal foul,6,5,Raptors
10:20,P.J. Washington makes 7-foot two point shot,6,7,Mavericks
10:01,Scottie Barnes misses 23-foot three point jumper,6,7,Raptors
9:59,Klay Thompson defensive rebound,6,7,Mavericks
9:46,Klay Thompson bad pass (Brandon Ingram steals),6,7,Mavericks
9:37,Brandon Ingram makes 17-foot pullup jump shot,8,7,Raptors
9:13,P.J. Washington misses 22-foot three point jumper,8,7,Mavericks
9:11,Jakob Poeltl defensive rebound,8,7,Raptors
9:06,Immanuel Quickley misses 23-foot three point shot,8,7,Raptors
9:04,P.J. Washington defensive rebound,8,7,Mavericks
8:59,Cooper Flagg makes 1-foot dunk (P.J. Washington assists),8,9,Mavericks
8:43,RJ Barrett makes driving layup (Jakob Poeltl assists),10,9,Raptors
8:43,Dereck Lively II shooting foul,10,9,Mavericks
8:43,RJ Barrett makes free throw 1 of 1,11,9,Raptors
8:31,P.J. Washington bad pass (Immanuel Quickley steals),11,9,Mavericks
8:27,Brandon Ingram misses 25-foot three point shot,11,9,Raptors
8:24,Anthony Davis defensive rebound,11,9,Mavericks
8:07,Klay Thompson makes 20-foot step back jumpshot (Anthony Davis assists),11,11,Mavericks
7:42,shot clock turnover,11,11,Raptors
7:42,D'Angelo Russell enters the game for P.J. Washington,11,11,Mavericks
7:26,Dereck Lively II makes 1-foot alley oop dunk shot (Klay Thompson assists),11,13,Mavericks
7:14,RJ Barrett makes 10-foot driving floating jump shot (Scottie Barnes assists),13,13,Raptors
7:14,Anthony Davis shooting foul,13,13,Mavericks
7:14,Naji Marshall enters the game for Anthony Davis,13,13,Mavericks
7:14,Collin Murray-Boyles enters the game for Scottie Barnes,13,13,Raptors
7:14,RJ Barrett misses free throw 1 of 1,13,13,Raptors
7:12,Dereck Lively II defensive rebound,13,13,Mavericks
7:00,D'Angelo Russell misses 16-foot two point shot,13,13,Mavericks
6:57,Brandon Ingram defensive rebound,13,13,Raptors
6:49,RJ Barrett misses driving floating jump shot,13,13,Raptors
6:47,Dereck Lively II defensive rebound,13,13,Mavericks
6:35,Mavericks Full timeout,13,13,Mavericks
6:35,Max Christie enters the game for Klay Thompson,13,13,Mavericks
6:35,Gradey Dick enters the game for RJ Barrett,13,13,Raptors
6:26,Cooper Flagg makes driving layup,13,15,Mavericks
6:26,Jakob Poeltl shooting foul,13,15,Raptors
6:26,Cooper Flagg makes free throw 1 of 1,13,16,Mavericks
6:10,Gradey Dick misses driving layup,13,16,Raptors
6:07,Dereck Lively II defensive rebound,13,16,Mavericks
6:05,D'Angelo Russell out of bounds bad pass turnover,13,16,Mavericks
5:52,Jakob Poeltl lost ball turnover (D'Angelo Russell steals),13,16,Raptors
5:42,Jakob Poeltl shooting foul,13,16,Raptors
5:42,Dereck Lively II misses free throw 1 of 2,13,16,Mavericks
5:42,Mavericks offensive team rebound,13,16,Mavericks
5:42,Sandro Mamukelashvili enters the game for Jakob Poeltl,13,16,Raptors
5:42,Dereck Lively II misses free throw 2 of 2,13,16,Mavericks
5:40,Brandon Ingram defensive rebound,13,16,Raptors
5:27,Sandro Mamukelashvili misses 25-foot three point jumper,13,16,Raptors
5:24,D'Angelo Russell defensive rebound,13,16,Mavericks
5:19,Collin Murray-Boyles shooting foul,13,16,Raptors
5:19,D'Angelo Russell makes free throw 1 of 2,13,17,Mavericks
5:19,Anthony Davis enters the game for Dereck Lively II,13,17,Mavericks
5:19,RJ Barrett enters the game for Collin Murray-Boyles,13,17,Raptors
5:19,D'Angelo Russell misses free throw 2 of 2,13,17,Mavericks
5:16,RJ Barrett defensive rebound,13,17,Raptors
5:11,P.J. Washington enters the game for Cooper Flagg,13,17,Mavericks
5:01,Immanuel Quickley misses 7-foot two point shot,13,17,Raptors
4:59,Immanuel Quickley offensive rebound,13,17,Raptors
4:57,Immanuel Quickley bad pass (P.J. Washington steals),13,17,Raptors
4:52,RJ Barrett shooting foul,13,17,Raptors
4:52,D'Angelo Russell makes free throw 1 of 2,13,18,Mavericks
4:52,Jamal Shead enters the game for Brandon Ingram,13,18,Raptors
4:52,Scottie Barnes enters the game for Immanuel Quickley,13,18,Raptors
4:52,D'Angelo Russell makes free throw 2 of 2,13,19,Mavericks
4:44,Scottie Barnes makes 11-foot jumper (Jamal Shead assists),15,19,Raptors
4:40,P.J. Washington out of bounds bad pass turnover,15,19,Mavericks
4:36,Max Christie kicked ball violation,15,19,Mavericks
4:23,Scottie Barnes misses 15-foot jumper,15,19,Raptors
4:21,Naji Marshall defensive rebound,15,19,Mavericks
4:15,Naji Marshall makes 6-foot two point shot (D'Angelo Russell assists),15,21,Mavericks
4:14,Raptors Full timeout,15,21,Raptors
4:02,RJ Barrett makes 25-foot three point jumper (Sandro Mamukelashvili assists),18,21,Raptors
3:48,D'Angelo Russell misses 25-foot three point jumper,18,21,Mavericks
3:48,Anthony Davis offensive rebound,18,21,Mavericks
3:45,Anthony Davis makes two point shot,18,23,Mavericks
3:36,Sandro Mamukelashvili misses 27-foot three point jumper,18,23,Raptors
3:32,Naji Marshall defensive rebound,18,23,Mavericks
3:20,D'Angelo Russell misses layup,18,23,Mavericks
3:18,RJ Barrett defensive rebound,18,23,Raptors
3:14,Sandro Mamukelashvili makes two point shot (Jamal Shead assists),20,23,Raptors
2:56,Gradey Dick personal foul,20,23,Raptors
2:56,(02:56) [Raptors] REF-INITIATED REVIEW (CALL STANDS),20,23,Unknown
2:56,D'Angelo Russell makes free throw 1 of 2,20,24,Mavericks
2:56,D'Angelo Russell misses free throw 2 of 2,20,24,Mavericks
2:54,RJ Barrett defensive rebound,20,24,Raptors
2:38,P.J. Washington shooting foul,20,24,Mavericks
2:38,Sandro Mamukelashvili makes free throw 1 of 2,21,24,Raptors
2:38,Jaden Hardy enters the game for D'Angelo Russell,21,24,Mavericks
2:38,Sandro Mamukelashvili makes free throw 2 of 2,22,24,Raptors
2:22,Max Christie makes 24-foot three point jumper (P.J. Washington assists),22,27,Mavericks
2:12,Sandro Mamukelashvili makes 26-foot three point jumper (Scottie Barnes assists),25,27,Raptors
1:45,Anthony Davis makes 21-foot two point shot,25,29,Mavericks
1:33,Gradey Dick misses 22-foot three point jumper,25,29,Raptors
1:31,Max Christie defensive rebound,25,29,Mavericks
1:30,Max Christie out of bounds bad pass turnover,25,29,Mavericks
1:17,Sandro Mamukelashvili makes 5-foot driving floating jump shot (Jamal Shead assists),27,29,Raptors
1:06,P.J. Washington misses driving layup,27,29,Mavericks
1:05,Sandro Mamukelashvili defensive rebound,27,29,Raptors
1:00,Scottie Barnes makes 25-foot three point jumper (RJ Barrett assists),30,29,Raptors
44.9,Max Christie bad pass (Gradey Dick steals),30,29,Mavericks
41.5,Scottie Barnes makes two point shot (Jamal Shead assists),32,29,Raptors
31.9,Anthony Davis offensive foul,32,29,Mavericks
31.9,Anthony Davis turnover,32,29,Mavericks
15.8,Scottie Barnes misses 7-foot two point shot,32,29,Raptors
13.4,Jaden Hardy defensive rebound,32,29,Mavericks
8.7,Naji Marshall makes 2-foot layup (P.J. Washington assists),32,31,Mavericks
8.7,Jamal Shead shooting foul,32,31,Raptors
8.7,Dereck Lively II enters the game for Anthony Davis,32,31,Mavericks
8.7,Brandon Ingram enters the game for Gradey Dick,32,31,Raptors
8.7,Naji Marshall makes free throw 1 of 1,32,32,Mavericks
8.7,Caleb Martin enters the game for Jaden Hardy,32,32,Mavericks
0.2,Scottie Barnes misses 25-foot three point jumper,32,32,Raptors
0.2,Raptors offensive team rebound,32,32,Raptors
0.0,End of the 1st Quarter,32,32,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,D'Angelo Russell enters the game for Naji Marshall,32,32,Mavericks
12:00,Anthony Davis enters the game for Dereck Lively II,32,32,Mavericks
12:00,Collin Murray-Boyles enters the game for Scottie Barnes,32,32,Raptors
12:00,Ochai Agbaji enters the game for RJ Barrett,32,32,Raptors
