time,description,home_score,away_score,team
12:00,Neemias Queta vs. Yves Missi (Derrick White gains possession),0,0,Celtics
11:54,Josh Minott makes 1-foot alley oop dunk shot (Derrick White assists),2,0,Celtics
11:39,Jordan Poole makes 25-foot three point jumper (Yves Missi assists),2,3,Unknown
11:16,Payton Pritchard makes 28-foot three pointer (Derrick White assists),5,3,Celtics
10:47,Jeremiah Fears misses driving floating jump shot,5,3,Unknown
10:45,Pelicans offensive team rebound,5,3,Unknown
10:39,Neemias Queta blocks Jeremiah Fears 's 4-foot two point shot,5,3,Unknown
10:37,Jaylen Brown defensive rebound,5,3,Celtics
10:31,Josh Minott misses 22-foot three point shot,5,3,Celtics
10:28,Jordan Poole defensive rebound,5,3,Unknown
10:15,Yves Missi misses layup,5,3,Unknown
10:12,Payton Pritchard defensive rebound,5,3,Celtics
10:02,Derrick White makes 15-foot pullup jump shot (Payton Pritchard assists),7,3,Celtics
9:38,Jeremiah Fears misses 27-foot three point jumper,7,3,Unknown
9:38,Josh Minott defensive rebound,7,3,Celtics
9:29,Jaylen Brown makes two point shot (Derrick White assists),9,3,Celtics
9:16,Jeremiah Fears out of bounds bad pass turnover,9,3,Unknown
8:56,Payton Pritchard makes 9-foot two point shot,11,3,Celtics
8:49,Pelicans Full timeout,11,3,Unknown
8:40,Payton Pritchard personal foul,11,3,Celtics
8:33,Herbert Jones makes 1-foot two point shot (Jordan Poole assists),11,5,Unknown
8:24,Derrick White misses 26-foot three point jumper,11,5,Celtics
8:19,Trey Murphy III defensive rebound,11,5,Unknown
8:15,Jordan Poole misses running pullup jump shot,11,5,Unknown
8:13,Neemias Queta defensive rebound,11,5,Celtics
8:07,Jordan Poole personal foul,11,5,Unknown
7:59,Payton Pritchard misses 11-foot pullup jump shot,11,5,Celtics
7:57,Celtics offensive team rebound,11,5,Celtics
7:50,Trey Murphy III shooting foul,11,5,Unknown
7:50,Jaylen Brown misses free throw 1 of 2,11,5,Celtics
7:50,Celtics offensive team rebound,11,5,Celtics
7:50,Jaylen Brown makes free throw 2 of 2,12,5,Celtics
7:31,Neemias Queta blocks Jordan Poole 's 2-foot finger roll layup,12,5,Unknown
7:28,Josh Minott defensive rebound,12,5,Celtics
7:26,Jaylen Brown makes 25-foot three point shot,15,5,Celtics
7:13,Trey Murphy III misses 25-foot three point pullup jump shot,15,5,Unknown
7:10,Josh Minott defensive rebound,15,5,Celtics
7:04,Derrick White misses 26-foot three point jumper,15,5,Celtics
7:04,Josh Minott offensive rebound,15,5,Celtics
7:03,Herbert Jones shooting foul,15,5,Unknown
7:03,Josh Minott makes free throw 1 of 2,16,5,Celtics
7:03,Saddiq Bey enters the game for Trey Murphy III,16,5,Unknown
7:03,Luka Garza enters the game for Neemias Queta,16,5,Celtics
7:03,Anfernee Simons enters the game for Derrick White,16,5,Celtics
7:03,Josh Minott makes free throw 2 of 2,17,5,Celtics
6:49,Yves Missi makes 1-foot dunk (Jeremiah Fears assists),17,7,Unknown
