time,description,home_score,away_score,team
12:00,Jakob Poeltl vs. Victor Wembanyama (Devin Vassell gains possession),0,0,Unknown
11:41,Stephon Castle makes driving layup (Devin Vassell assists),0,2,Unknown
11:18,Jakob Poeltl lost ball turnover (Stephon Castle steals),0,2,Raptors
11:08,Harrison Barnes makes 24-foot three point jumper (Julian Champagnie assists),0,5,Unknown
10:45,RJ Barrett makes 9-foot driving floating jump shot (Immanuel Quickley assists),2,5,Raptors
10:27,Stephon Castle makes driving layup (Harrison Barnes assists),2,7,Unknown
10:19,RJ Barrett bad pass (Devin Vassell steals),2,7,Raptors
10:11,Julian Champagnie misses 22-foot three point jumper,2,7,Unknown
10:07,Jakob Poeltl defensive rebound,2,7,Raptors
9:57,Brandon Ingram misses 25-foot three point jumper,2,7,Raptors
9:54,Victor Wembanyama defensive rebound,2,7,Unknown
9:49,Scottie Barnes shooting foul,2,7,Raptors
9:49,Devin Vassell makes free throw 1 of 3,2,8,Unknown
9:49,Devin Vassell makes free throw 2 of 3,2,9,Unknown
9:49,Devin Vassell makes free throw 3 of 3,2,10,Unknown
9:37,Brandon Ingram makes 13-foot pullup jump shot,4,10,Raptors
9:26,Devin Vassell misses 24-foot three point pullup jump shot,4,10,Unknown
9:24,Jakob Poeltl defensive rebound,4,10,Raptors
9:14,Brandon Ingram makes 17-foot pullup jump shot (RJ Barrett assists),6,10,Raptors
8:59,Harrison Barnes out of bounds lost ball turnover,6,10,Unknown
8:45,Jakob Poeltl offensive foul,6,10,Raptors
8:45,Jakob Poeltl turnover,6,10,Raptors
8:30,Victor Wembanyama makes 8-foot two point shot (Harrison Barnes assists),6,12,Unknown
8:20,Immanuel Quickley makes 11-foot driving floating jump shot,8,12,Raptors
8:00,Victor Wembanyama makes driving layup (Harrison Barnes assists),8,14,Unknown
7:48,Brandon Ingram makes 17-foot pullup jump shot (Jakob Poeltl assists),10,14,Raptors
7:35,Julian Champagnie makes dunk (Harrison Barnes assists),10,16,Unknown
7:18,Brandon Ingram misses 25-foot three point jumper,10,16,Raptors
7:15,Victor Wembanyama defensive rebound,10,16,Unknown
7:08,Scottie Barnes shooting foul,10,16,Raptors
7:08,Victor Wembanyama makes free throw 1 of 2,10,17,Unknown
7:08,Raptors Full timeout,10,17,Raptors
7:08,Jamal Shead enters the game for Scottie Barnes,10,17,Raptors
7:08,Collin Murray-Boyles enters the game for Immanuel Quickley,10,17,Raptors
7:08,Victor Wembanyama makes free throw 2 of 2,10,18,Unknown
6:54,RJ Barrett misses 13-foot two point shot,10,18,Raptors
6:51,Julian Champagnie defensive rebound,10,18,Unknown
6:39,Jamal Shead shooting foul,10,18,Raptors
