time,description,home_score,away_score,team
12:00,Jaren Jackson Jr. vs. Draymond Green,0,0,Warriors
11:51,Brandin Podziemski makes 27-foot three point jumper (Draymond Green assists),0,3,Warriors
11:30,Kentavious Caldwell-Pope misses 25-foot three point jumper,0,3,Grizzlies
11:29,Stephen Curry defensive rebound,0,3,Warriors
11:17,Jimmy Butler III makes 1-foot layup (Draymond Green assists),0,5,Warriors
11:00,Jaylen Wells lost ball turnover (Brandin Podziemski steals),0,5,Grizzlies
10:52,Stephen Curry makes driving layup (Brandin Podziemski assists),0,7,Warriors
10:51,Grizzlies Full timeout,0,7,Grizzlies
10:35,Jonathan Kuminga shooting foul,0,7,Warriors
10:35,Ja Morant makes free throw 1 of 2,1,7,Grizzlies
10:35,Ja Morant makes free throw 2 of 2,2,7,Grizzlies
10:22,Jimmy Butler III makes 26-foot three pointer,2,10,Warriors
9:59,Ja Morant makes 18-foot pullup jump shot,4,10,Grizzlies
9:46,Kentavious Caldwell-Pope blocks Jonathan Kuminga 's 4-foot pullup jump shot,4,10,Warriors
9:42,Jock Landale defensive rebound,4,10,Grizzlies
9:33,Kentavious Caldwell-Pope misses 28-foot three point jumper,4,10,Grizzlies
9:30,Jimmy Butler III defensive rebound,4,10,Warriors
9:22,Jonathan Kuminga makes driving layup,4,12,Warriors
9:15,Jaylen Wells misses 23-foot three point jumper,4,12,Grizzlies
9:13,Jonathan Kuminga defensive rebound,4,12,Warriors
9:01,Draymond Green misses 22-foot three point jumper,4,12,Warriors
8:58,Jaren Jackson Jr. defensive rebound,4,12,Grizzlies
8:50,Ja Morant misses 25-foot three point pullup jump shot,4,12,Grizzlies
8:47,Jonathan Kuminga defensive rebound,4,12,Warriors
8:35,Jimmy Butler III misses finger roll layup,4,12,Warriors
8:32,Jaren Jackson Jr. defensive rebound,4,12,Grizzlies
8:26,Brandin Podziemski shooting foul,4,12,Warriors
8:26,Jock Landale makes free throw 1 of 2,5,12,Grizzlies
8:26,Cedric Coward enters the game for Kentavious Caldwell-Pope,5,12,Grizzlies
8:26,John Konchar enters the game for Jaren Jackson Jr.,5,12,Grizzlies
8:26,Jock Landale makes free throw 2 of 2,6,12,Grizzlies
8:14,Cedric Coward blocks Jonathan Kuminga 's 3-foot driving dunk,6,12,Warriors
8:10,John Konchar defensive rebound,6,12,Grizzlies
8:08,John Konchar makes 23-foot three point shot (Ja Morant assists),9,12,Grizzlies
7:51,Jonathan Kuminga makes driving layup (Draymond Green assists),9,14,Warriors
7:35,Ja Morant makes 15-foot pullup jump shot (Jaylen Wells assists),11,14,Grizzlies
7:19,Stephen Curry makes 29-foot three point jumper (Draymond Green assists),11,17,Warriors
7:02,Jaylen Wells makes 3-foot two point shot (Cedric Coward assists),13,17,Grizzlies
6:48,Jonathan Kuminga makes 2-foot alley oop dunk shot (Draymond Green assists),13,19,Warriors
6:37,Ja Morant bad pass (Draymond Green steals),13,19,Grizzlies
6:33,Stephen Curry makes 26-foot running pullup jump shot (Brandin Podziemski assists),13,22,Warriors
6:12,Ja Morant makes 2-foot two point shot (Jock Landale assists),15,22,Grizzlies
6:03,Brandin Podziemski makes 27-foot three point jumper (Draymond Green assists),15,25,Warriors
6:02,Grizzlies Full timeout,15,25,Grizzlies
6:02,Gary Payton II enters the game for Brandin Podziemski,15,25,Warriors
6:02,Quinten Post enters the game for Jimmy Butler III,15,25,Warriors
6:02,Santi Aldama enters the game for Jaylen Wells,15,25,Grizzlies
6:02,Jaren Jackson Jr. enters the game for Jock Landale,15,25,Grizzlies
6:02,Javon Small enters the game for Ja Morant,15,25,Grizzlies
5:47,Quinten Post shooting foul,15,25,Warriors
5:47,Jaren Jackson Jr. makes free throw 1 of 2,16,25,Grizzlies
5:47,Jaren Jackson Jr. makes free throw 2 of 2,17,25,Grizzlies
5:34,Quinten Post misses 26-foot three point jumper,17,25,Warriors
5:32,Jonathan Kuminga offensive rebound,17,25,Warriors
5:29,Quinten Post makes 1-foot dunk (Jonathan Kuminga assists),17,27,Warriors
5:11,Quinten Post shooting foul,17,27,Warriors
5:11,Jaren Jackson Jr. makes free throw 1 of 2,18,27,Grizzlies
5:11,Jaren Jackson Jr. makes free throw 2 of 2,19,27,Grizzlies
5:00,Jonathan Kuminga bad pass (John Konchar steals),19,27,Warriors
4:55,Cedric Coward makes 1-foot dunk (John Konchar assists),21,27,Grizzlies
4:28,Jonathan Kuminga out of bounds lost ball turnover,21,27,Warriors
4:28,Moses Moody enters the game for Jonathan Kuminga,21,27,Warriors
4:28,Buddy Hield enters the game for Draymond Green,21,27,Warriors
4:28,Kentavious Caldwell-Pope enters the game for John Konchar,21,27,Grizzlies
4:18,Jaren Jackson Jr. makes 26-foot three point jumper (Javon Small assists),24,27,Grizzlies
4:16,Warriors Full timeout,24,27,Warriors
4:16,Jimmy Butler III enters the game for Gary Payton II,24,27,Warriors
4:16,Trayce Jackson-Davis enters the game for Quinten Post,24,27,Warriors
4:04,Stephen Curry misses finger roll layup,24,27,Warriors
4:02,Javon Small defensive rebound,24,27,Grizzlies
3:50,Santi Aldama misses 6-foot two point shot,24,27,Grizzlies
3:48,Stephen Curry defensive rebound,24,27,Warriors
3:41,Trayce Jackson-Davis misses two point shot,24,27,Warriors
3:40,Warriors offensive team rebound,24,27,Warriors
3:36,Stephen Curry steps out of bounds turnover,24,27,Warriors
3:25,Moses Moody blocks Javon Small 's 5-foot driving layup,24,27,Grizzlies
3:23,Buddy Hield defensive rebound,24,27,Warriors
3:16,Jimmy Butler III bad pass (Santi Aldama steals),24,27,Warriors
3:10,Santi Aldama makes 7-foot two point shot (Kentavious Caldwell-Pope assists),26,27,Grizzlies
2:54,Buddy Hield misses 27-foot three point jumper,26,27,Warriors
2:51,Jaren Jackson Jr. defensive rebound,26,27,Grizzlies
2:38,Santi Aldama makes 23-foot three point jumper (Kentavious Caldwell-Pope assists),29,27,Grizzlies
2:24,Cedric Coward shooting foul,29,27,Grizzlies
2:24,Jimmy Butler III misses free throw 1 of 2,29,27,Warriors
2:24,Warriors offensive team rebound,29,27,Warriors
2:24,Brandin Podziemski enters the game for Stephen Curry,29,27,Warriors
2:24,Jaylen Wells enters the game for Javon Small,29,27,Grizzlies
2:24,Ja Morant enters the game for Cedric Coward,29,27,Grizzlies
2:24,Jimmy Butler III misses free throw 2 of 2,29,27,Warriors
2:22,Warriors offensive team rebound,29,27,Warriors
2:11,Brandin Podziemski misses 13-foot pullup jump shot,29,27,Warriors
2:09,Grizzlies defensive team rebound,29,27,Grizzlies
1:53,Jaylen Wells makes 3-foot dunk (Ja Morant assists),31,27,Grizzlies
1:37,Buddy Hield misses 27-foot three point step back jumpshot,31,27,Warriors
1:33,Ja Morant defensive rebound,31,27,Grizzlies
1:28,Santi Aldama makes two point shot (Ja Morant assists),33,27,Grizzlies
1:15,Jimmy Butler III makes layup (Brandin Podziemski assists),33,29,Warriors
1:15,Kentavious Caldwell-Pope shooting foul,33,29,Grizzlies
