time,description,home_score,away_score,team
12:00,Donovan Clingan vs. Deandre Ayton (Deni Avdija gains possession),0,0,Trail Blazers
11:43,Deni Avdija misses driving layup,0,0,Trail Blazers
11:40,Jake LaRavia defensive rebound,0,0,Lakers
11:32,Jake LaRavia misses 26-foot three point jumper,0,0,Lakers
11:30,Lakers offensive team rebound,0,0,Lakers
11:30,Shaedon Sharpe personal foul,0,0,Trail Blazers
11:18,Donovan Clingan blocks Jake LaRavia 's 2-foot layup,0,0,Lakers
11:16,Donovan Clingan defensive rebound,0,0,Trail Blazers
11:13,Shaedon Sharpe misses running pullup jump shot,0,0,Trail Blazers
11:10,Rui Hachimura defensive rebound,0,0,Lakers
10:59,Austin Reaves makes driving layup,0,2,Lakers
10:48,Donovan Clingan misses 25-foot three point jumper,0,2,Trail Blazers
10:46,Austin Reaves defensive rebound,0,2,Lakers
10:34,Rui Hachimura misses driving layup,0,2,Lakers
10:33,Donovan Clingan defensive rebound,0,2,Trail Blazers
10:28,Toumani Camara misses 24-foot three point shot,0,2,Trail Blazers
10:25,Deandre Ayton defensive rebound,0,2,Lakers
10:10,Deandre Ayton misses 13-foot pullup jump shot,0,2,Lakers
10:08,Shaedon Sharpe defensive rebound,0,2,Trail Blazers
10:04,Deandre Ayton shooting foul,0,2,Lakers
10:04,Shaedon Sharpe makes free throw 1 of 2,1,2,Trail Blazers
10:04,Shaedon Sharpe makes free throw 2 of 2,2,2,Trail Blazers
9:56,8 second turnover,2,2,Lakers
9:39,Toumani Camara bad pass (Jarred Vanderbilt steals),2,2,Trail Blazers
9:36,Jarred Vanderbilt makes 1-foot dunk,2,4,Lakers
9:28,Deni Avdija makes driving layup,4,4,Trail Blazers
9:18,Austin Reaves misses 28-foot three point pullup jump shot,4,4,Lakers
9:15,Shaedon Sharpe defensive rebound,4,4,Trail Blazers
9:10,Shaedon Sharpe lost ball turnover (Jarred Vanderbilt steals),4,4,Trail Blazers
9:06,Toumani Camara shooting foul,4,4,Trail Blazers
9:06,Rui Hachimura makes free throw 1 of 2,4,5,Lakers
9:06,Rui Hachimura makes free throw 2 of 2,4,6,Lakers
8:58,Toumani Camara misses 26-foot three point jumper,4,6,Trail Blazers
8:56,Deandre Ayton defensive rebound,4,6,Lakers
8:53,Austin Reaves out of bounds bad pass turnover,4,6,Lakers
8:44,Jrue Holiday makes 3-foot two point shot,6,6,Trail Blazers
8:22,Austin Reaves makes 6-foot driving floating jump shot (Deandre Ayton assists),6,8,Lakers
8:16,Jake LaRavia personal foul,6,8,Lakers
8:04,Deni Avdija misses two point shot,6,8,Trail Blazers
8:02,Austin Reaves defensive rebound,6,8,Lakers
7:49,Deandre Ayton makes 13-foot jumper (Austin Reaves assists),6,10,Lakers
7:37,Deni Avdija makes 23-foot three point jumper (Toumani Camara assists),9,10,Trail Blazers
7:26,Austin Reaves misses two point shot,9,10,Lakers
7:24,Donovan Clingan defensive rebound,9,10,Trail Blazers
7:20,Shaedon Sharpe steps out of bounds turnover,9,10,Trail Blazers
7:01,Austin Reaves makes 9-foot step back jumpshot,9,12,Lakers
6:55,Jrue Holiday offensive foul,9,12,Trail Blazers
6:55,Jrue Holiday turnover,9,12,Trail Blazers
6:55,Lakers Full timeout,9,12,Lakers
6:55,Dalton Knecht enters the game for Jarred Vanderbilt,9,12,Lakers
6:55,Jerami Grant enters the game for Donovan Clingan,9,12,Trail Blazers
6:55,Yang Hansen enters the game for Shaedon Sharpe,9,12,Trail Blazers
6:47,Deandre Ayton makes 16-foot jumper (Jake LaRavia assists),9,14,Lakers
6:31,Jerami Grant makes 23-foot three point jumper (Deni Avdija assists),12,14,Trail Blazers
6:23,(06:23) [Trail Blazers] COACH'S CHALLENGE (CALL REPLAYCENTER),12,14,Unknown
6:12,Austin Reaves misses 10-foot two point shot,12,14,Lakers
6:11,Deandre Ayton offensive rebound,12,14,Lakers
6:10,Deandre Ayton misses 1-foot tip shot,12,14,Lakers
6:09,Jrue Holiday defensive rebound,12,14,Trail Blazers
5:55,Jrue Holiday misses driving layup,12,14,Trail Blazers
5:54,Jerami Grant offensive rebound,12,14,Trail Blazers
5:53,Jerami Grant makes dunk,14,14,Trail Blazers
5:33,Toumani Camara shooting foul,14,14,Trail Blazers
5:33,Austin Reaves makes free throw 1 of 3,14,15,Lakers
5:33,Austin Reaves misses free throw 2 of 3,14,15,Lakers
5:33,Lakers offensive team rebound,14,15,Lakers
5:33,Blake Wesley enters the game for Jrue Holiday,14,15,Trail Blazers
5:33,Kris Murray enters the game for Toumani Camara,14,15,Trail Blazers
5:33,Austin Reaves makes free throw 3 of 3,14,16,Lakers
5:22,Deni Avdija makes driving layup,16,16,Trail Blazers
5:04,Austin Reaves makes 11-foot two point shot,16,18,Lakers
5:04,Blake Wesley shooting foul,16,18,Trail Blazers
5:04,Austin Reaves makes free throw 1 of 1,16,19,Lakers
4:52,Yang Hansen misses 27-foot three point jumper,16,19,Trail Blazers
4:52,Kris Murray offensive rebound,16,19,Trail Blazers
4:50,Kris Murray misses two point shot,16,19,Trail Blazers
4:47,Deandre Ayton defensive rebound,16,19,Lakers
4:25,Deni Avdija blocks Rui Hachimura 's 19-foot pullup jump shot,16,19,Lakers
4:24,Deni Avdija defensive rebound,16,19,Trail Blazers
4:19,Jerami Grant misses 25-foot three point shot,16,19,Trail Blazers
4:16,Kris Murray offensive rebound,16,19,Trail Blazers
4:09,Jerami Grant makes 3-foot two point shot,18,19,Trail Blazers
3:57,Austin Reaves makes 11-foot driving floating jump shot,18,21,Lakers
3:46,Blake Wesley misses 11-foot pullup jump shot,18,21,Trail Blazers
3:44,Lakers defensive team rebound,18,21,Lakers
3:44,Nick Smith Jr. enters the game for Austin Reaves,18,21,Lakers
3:44,Bronny James enters the game for Rui Hachimura,18,21,Lakers
3:44,Shaedon Sharpe enters the game for Deni Avdija,18,21,Trail Blazers
3:21,Dalton Knecht misses two point shot,18,21,Lakers
3:21,Kris Murray defensive rebound,18,21,Trail Blazers
3:11,Dalton Knecht blocks Shaedon Sharpe 's 25-foot three point step back jumpshot,18,21,Trail Blazers
3:11,Nick Smith Jr. defensive rebound,18,21,Lakers
3:02,Nick Smith Jr. misses driving floating jump shot,18,21,Lakers
3:01,Shaedon Sharpe defensive rebound,18,21,Trail Blazers
2:55,Yang Hansen misses 27-foot three point jumper,18,21,Trail Blazers
2:51,Nick Smith Jr. defensive rebound,18,21,Lakers
