time,description,home_score,away_score,team
12:00,Victor Wembanyama vs. Dereck Lively II (Julian Champagnie gains possession),0,0,Unknown
11:48,Harrison Barnes bad pass (Anthony Davis steals),0,0,Unknown
11:44,Cooper Flagg misses dunk,0,0,Mavericks
11:42,Anthony Davis offensive rebound,0,0,Mavericks
11:39,Anthony Davis makes 2-foot dunk,0,2,Mavericks
11:20,P.J. Washington shooting foul,0,2,Mavericks
11:20,Victor Wembanyama makes free throw 1 of 2,1,2,Unknown
11:20,Victor Wembanyama makes free throw 2 of 2,2,2,Unknown
10:59,Anthony Davis makes 13-foot step back jumpshot (Dereck Lively II assists),2,4,Mavericks
10:45,Devin Vassell misses 10-foot pullup jump shot,2,4,Unknown
10:43,Dereck Lively II defensive rebound,2,4,Mavericks
10:40,P.J. Washington makes two point shot,2,6,Mavericks
10:40,Victor Wembanyama defensive goaltending violation,2,6,Unknown
10:18,Victor Wembanyama misses 8-foot two point shot,2,6,Unknown
10:16,Anthony Davis defensive rebound,2,6,Mavericks
10:02,Cooper Flagg misses 21-foot pullup jump shot,2,6,Mavericks
10:01,Spurs defensive team rebound,2,6,Unknown
9:45,P.J. Washington shooting foul,2,6,Mavericks
9:45,Stephon Castle makes free throw 1 of 2,3,6,Unknown
9:45,Naji Marshall enters the game for P.J. Washington,3,6,Mavericks
9:45,Stephon Castle makes free throw 2 of 2,4,6,Unknown
9:32,Dereck Lively II makes alley oop dunk shot (Anthony Davis assists),4,8,Mavericks
9:31,Mavericks delay of game violation,4,8,Mavericks
9:16,Victor Wembanyama makes 18-foot pullup jump shot (Devin Vassell assists),6,8,Unknown
9:00,Naji Marshall misses 7-foot two point shot,6,8,Mavericks
8:58,Dereck Lively II offensive rebound,6,8,Mavericks
8:49,Anthony Davis misses driving layup,6,8,Mavericks
8:46,Harrison Barnes defensive rebound,6,8,Unknown
8:41,Devin Vassell makes 25-foot three point shot (Stephon Castle assists),9,8,Unknown
8:30,Victor Wembanyama blocks Anthony Davis 's 4-foot layup,9,8,Mavericks
8:30,Julian Champagnie defensive rebound,9,8,Unknown
8:21,Stephon Castle makes 14-foot pullup jump shot,11,8,Unknown
8:08,Klay Thompson misses 25-foot three point jumper,11,8,Mavericks
8:08,Spurs defensive team rebound,11,8,Unknown
8:08,Max Christie enters the game for Dereck Lively II,11,8,Mavericks
7:56,Harrison Barnes makes 24-foot three point jumper (Stephon Castle assists),14,8,Unknown
7:39,Anthony Davis misses 25-foot three point jumper,14,8,Mavericks
7:37,Mavericks offensive team rebound,14,8,Mavericks
7:29,Klay Thompson misses 15-foot pullup jump shot,14,8,Mavericks
7:29,Anthony Davis offensive rebound,14,8,Mavericks
7:29,Julian Champagnie shooting foul,14,8,Unknown
7:29,Anthony Davis makes free throw 1 of 2,14,9,Mavericks
7:29,Anthony Davis makes free throw 2 of 2,14,10,Mavericks
7:16,Victor Wembanyama makes 1-foot driving dunk (Harrison Barnes assists),16,10,Unknown
6:49,Max Christie makes 23-foot three point jumper (Naji Marshall assists),16,13,Mavericks
6:34,Mavericks Full timeout,16,13,Mavericks
6:34,D'Angelo Russell enters the game for Klay Thompson,16,13,Mavericks
6:34,Ryan Nembhard enters the game for Cooper Flagg,16,13,Mavericks
6:34,Luke Kornet enters the game for Victor Wembanyama,16,13,Unknown
6:30,Stephon Castle makes 26-foot three point jumper (Luke Kornet assists),19,13,Unknown
6:17,Stephon Castle personal foul,19,13,Unknown
6:09,D'Angelo Russell makes 7-foot two point shot,19,15,Mavericks
6:03,Anthony Davis shooting foul,19,15,Mavericks
6:03,Stephon Castle misses free throw 1 of 2,19,15,Unknown
6:03,Spurs offensive team rebound,19,15,Unknown
6:03,Stephon Castle misses free throw 2 of 2,19,15,Unknown
6:01,D'Angelo Russell defensive rebound,19,15,Mavericks
5:49,Max Christie steps out of bounds turnover,19,15,Mavericks
5:49,Keldon Johnson enters the game for Julian Champagnie,19,15,Unknown
5:37,Devin Vassell misses 24-foot three point jumper,19,15,Unknown
5:36,Mavericks defensive team rebound,19,15,Mavericks
5:21,Anthony Davis misses 21-foot step back jumpshot,19,15,Mavericks
5:17,Stephon Castle defensive rebound,19,15,Unknown
5:16,Luke Kornet offensive foul,19,15,Unknown
5:16,Luke Kornet turnover,19,15,Unknown
5:16,Dylan Harper enters the game for Harrison Barnes,19,15,Unknown
5:05,Ryan Nembhard makes 17-foot two point shot,19,17,Mavericks
4:44,Dylan Harper misses 12-foot pullup jump shot,19,17,Unknown
4:42,Anthony Davis defensive rebound,19,17,Mavericks
4:36,Anthony Davis misses driving floating jump shot,19,17,Mavericks
4:33,Stephon Castle defensive rebound,19,17,Unknown
4:31,Dylan Harper steps out of bounds turnover,19,17,Unknown
4:17,Anthony Davis misses driving floating jump shot,19,17,Mavericks
4:17,Anthony Davis offensive rebound,19,17,Mavericks
4:17,Luke Kornet flagrant foul type 1,19,17,Unknown
4:17,(04:17) [Spurs] REF-INITIATED REVIEW (CALL OVERTURNED),19,17,Unknown
4:17,Jordan McLaughlin enters the game for Stephon Castle,19,17,Unknown
4:17,Anthony Davis makes free throw flagrant 1 of 2,19,18,Mavericks
4:17,Anthony Davis makes free throw flagrant 2 of 2,19,19,Mavericks
4:11,Dylan Harper shooting foul,19,19,Unknown
4:11,D'Angelo Russell makes free throw 1 of 2,19,20,Mavericks
