time,description,home_score,away_score,team
12:00,Steven Adams vs. Chet Holmgren (Amen Thompson gains possession),0,0,Rockets
11:36,Alperen Sengun misses 25-foot three point jumper,0,0,Rockets
11:31,Cason Wallace defensive rebound,0,0,Thunder
11:26,Chet Holmgren makes 1-foot layup (Luguentz Dort assists),0,2,Thunder
11:26,Jabari Smith Jr. shooting foul,0,2,Rockets
11:26,Chet Holmgren makes free throw 1 of 1,0,3,Thunder
11:08,Amen Thompson misses 23-foot three point jumper,0,3,Rockets
11:04,Jabari Smith Jr. offensive rebound,0,3,Rockets
11:02,Jabari Smith Jr. makes two point shot,2,3,Rockets
10:50,Chet Holmgren makes 7-foot two point shot (Cason Wallace assists),2,5,Thunder
10:40,Chet Holmgren kicked ball violation,2,5,Thunder
10:24,Alperen Sengun misses 15-foot pullup jump shot,2,5,Rockets
10:24,Rockets offensive team rebound,2,5,Rockets
10:24,shot clock turnover,2,5,Rockets
10:11,Shai Gilgeous-Alexander bad pass (Alperen Sengun steals),2,5,Thunder
10:07,Kevin Durant makes two point shot (Amen Thompson assists),4,5,Rockets
9:52,Chet Holmgren makes 13-foot two point shot,4,7,Thunder
9:35,Jabari Smith Jr. makes 26-foot three point jumper (Amen Thompson assists),7,7,Rockets
9:21,Cason Wallace misses 26-foot three point jumper,7,7,Thunder
9:17,Alperen Sengun defensive rebound,7,7,Rockets
9:06,Kevin Durant misses 9-foot pullup jump shot,7,7,Rockets
9:04,Chet Holmgren defensive rebound,7,7,Thunder
8:57,Shai Gilgeous-Alexander misses 25-foot three point step back jumpshot,7,7,Thunder
8:54,Isaiah Hartenstein offensive rebound,7,7,Thunder
8:49,Luguentz Dort makes 1-foot driving dunk,7,9,Thunder
8:20,Amen Thompson misses 23-foot three point jumper,7,9,Rockets
8:18,Steven Adams offensive rebound,7,9,Rockets
8:17,Amen Thompson makes 3-foot pullup jump shot (Steven Adams assists),9,9,Rockets
8:17,Cason Wallace shooting foul,9,9,Thunder
8:17,Amen Thompson makes free throw 1 of 1,10,9,Rockets
8:07,Chet Holmgren lost ball turnover (Alperen Sengun steals),10,9,Thunder
8:03,Jabari Smith Jr. misses running pullup jump shot,10,9,Rockets
8:00,Isaiah Hartenstein defensive rebound,10,9,Thunder
7:49,Isaiah Hartenstein misses driving floating jump shot,10,9,Thunder
7:47,Isaiah Hartenstein offensive rebound,10,9,Thunder
7:45,Isaiah Hartenstein misses 8-foot jumper,10,9,Thunder
7:44,Thunder offensive team rebound,10,9,Thunder
7:42,Chet Holmgren makes 23-foot jumper (Luguentz Dort assists),10,11,Thunder
7:26,Amen Thompson makes 23-foot pullup jump shot,12,11,Rockets
7:10,Chet Holmgren makes 13-foot jumper (Shai Gilgeous-Alexander assists),12,13,Thunder
7:10,Rockets Full timeout,12,13,Rockets
7:10,(07:10) [Rockets] COACH'S CHALLENGE (CALL REPLAYCENTER),12,13,Unknown
6:52,Alperen Sengun makes driving layup,14,13,Rockets
6:40,Jabari Smith Jr. shooting foul,14,13,Rockets
6:40,Chet Holmgren makes free throw 1 of 2,14,14,Thunder
6:40,Tari Eason enters the game for Jabari Smith Jr.,14,14,Rockets
6:40,Chet Holmgren makes free throw 2 of 2,14,15,Thunder
6:29,Amen Thompson makes 13-foot driving floating jump shot,16,15,Rockets
6:29,Isaiah Hartenstein shooting foul,16,15,Thunder
6:29,Amen Thompson makes free throw 1 of 1,17,15,Rockets
6:16,Luguentz Dort misses 26-foot three point jumper,17,15,Thunder
6:15,Rockets defensive team rebound,17,15,Rockets
6:15,Isaiah Hartenstein loose ball foul,17,15,Thunder
6:15,Jaylin Williams enters the game for Isaiah Hartenstein,17,15,Thunder
5:56,Kevin Durant makes 5-foot driving floating jump shot,19,15,Rockets
5:43,Jaylin Williams makes 16-foot pullup jump shot (Cason Wallace assists),19,17,Thunder
5:31,Amen Thompson makes 1-foot layup (Alperen Sengun assists),21,17,Rockets
5:31,Thunder Full timeout,21,17,Thunder
5:31,Reed Sheppard enters the game for Alperen Sengun,21,17,Rockets
5:15,Kevin Durant shooting foul,21,17,Rockets
5:15,Luguentz Dort makes free throw 1 of 2,21,18,Thunder
5:15,Luguentz Dort makes free throw 2 of 2,21,19,Thunder
4:53,Kevin Durant misses 25-foot three point jumper,21,19,Rockets
4:47,Cason Wallace defensive rebound,21,19,Thunder
4:39,Shai Gilgeous-Alexander makes 2-foot two point shot (Jaylin Williams assists),21,21,Thunder
4:25,Kevin Durant misses 11-foot two point shot,21,21,Rockets
4:23,Luguentz Dort defensive rebound,21,21,Thunder
4:17,Luguentz Dort makes driving layup,21,23,Thunder
4:08,Jaylin Williams personal foul,21,23,Thunder
4:08,Clint Capela enters the game for Steven Adams,21,23,Rockets
4:03,Luguentz Dort personal foul,21,23,Thunder
4:03,Kevin Durant makes free throw 1 of 2,22,23,Rockets
4:03,Aaron Wiggins enters the game for Cason Wallace,22,23,Thunder
4:03,Kevin Durant makes free throw 2 of 2,23,23,Rockets
3:43,Aaron Wiggins misses 22-foot three point jumper,23,23,Thunder
3:39,Kevin Durant defensive rebound,23,23,Rockets
3:33,Amen Thompson out of bounds bad pass turnover,23,23,Rockets
3:26,Thunder Coach's Challenge,23,23,Thunder
3:26,(03:26) [Thunder] COACH'S CHALLENGE (CALL OVERTURNED) [Thunder] retain their timeout,23,23,Thunder
3:26,Reed Sheppard shooting foul,23,23,Rockets
3:26,Shai Gilgeous-Alexander makes free throw 1 of 2,23,24,Thunder
3:26,Shai Gilgeous-Alexander misses free throw 2 of 2,23,24,Thunder
