time,description,home_score,away_score,team
12:00,Jarrett Allen vs. Jalen Duren (Donovan Mitchell gains possession),0,0,Cavaliers
11:43,Jarrett Allen makes 4-foot alley oop dunk shot (De'Andre Hunter assists),2,0,Cavaliers
11:28,Ausar Thompson misses layup,2,0,Pistons
11:27,Ausar Thompson offensive rebound,2,0,Pistons
11:25,Ausar Thompson makes tip shot,2,2,Pistons
11:18,Jalen Duren shooting foul,2,2,Pistons
11:18,Jarrett Allen makes free throw 1 of 2,3,2,Cavaliers
11:18,Jarrett Allen makes free throw 2 of 2,4,2,Cavaliers
11:04,Tobias Harris makes 25-foot three point jumper (Jalen Duren assists),4,5,Pistons
10:52,De'Andre Hunter misses 28-foot three point jumper,4,5,Cavaliers
10:45,Pistons defensive team rebound,4,5,Pistons
10:34,Duncan Robinson misses driving floating jump shot,4,5,Pistons
10:33,Jalen Duren offensive rebound,4,5,Pistons
10:31,Jarrett Allen shooting foul,4,5,Cavaliers
10:31,Jalen Duren misses free throw 1 of 2,4,5,Pistons
10:31,Pistons offensive team rebound,4,5,Pistons
10:31,Jalen Duren makes free throw 2 of 2,4,6,Pistons
10:20,De'Andre Hunter misses 10-foot two point shot,4,6,Cavaliers
10:17,Cade Cunningham defensive rebound,4,6,Pistons
10:06,De'Andre Hunter personal foul,4,6,Cavaliers
9:56,Duncan Robinson makes 26-foot three point jumper (Cade Cunningham assists),4,9,Pistons
9:45,Sam Merrill misses 25-foot three point step back jumpshot,4,9,Cavaliers
9:43,Ausar Thompson defensive rebound,4,9,Pistons
9:35,Cade Cunningham out of bounds bad pass turnover,4,9,Pistons
9:18,Evan Mobley makes 10-foot two point shot (De'Andre Hunter assists),6,9,Cavaliers
9:05,Duncan Robinson makes 23-foot three point jumper (Jalen Duren assists),6,12,Pistons
8:48,De'Andre Hunter misses 23-foot three point jumper,6,12,Cavaliers
8:45,De'Andre Hunter offensive rebound,6,12,Cavaliers
8:45,Jarrett Allen makes layup (De'Andre Hunter assists),8,12,Cavaliers
8:45,Duncan Robinson shooting foul,8,12,Pistons
8:45,Jarrett Allen makes free throw 1 of 1,9,12,Cavaliers
