time,description,home_score,away_score,team
12:00,Bam Adebayo vs. Wendell Carter Jr. (Jalen Suggs gains possession),0,0,Magic
11:43,Wendell Carter Jr. makes 1-foot alley oop dunk shot (Paolo Banchero assists),0,2,Magic
11:28,Norman Powell makes 25-foot three point jumper (Davion Mitchell assists),3,2,Heat
11:28,Jalen Suggs loose ball foul,3,2,Magic
11:28,(11:28) [Heat] REF-INITIATED REVIEW (CALL STANDS),3,2,Unknown
11:28,Bam Adebayo makes free throw 1 of 1,4,2,Heat
11:06,Jalen Suggs misses 24-foot three point jumper,4,2,Magic
11:03,Nikola Jovic defensive rebound,4,2,Heat
10:57,Jalen Suggs shooting foul,4,2,Magic
10:57,Norman Powell makes free throw 1 of 3,5,2,Heat
10:57,Norman Powell makes free throw 2 of 3,6,2,Heat
10:57,Norman Powell makes free throw 3 of 3,7,2,Heat
10:50,Andrew Wiggins personal foul,7,2,Heat
10:40,Franz Wagner misses 16-foot step back jumpshot,7,2,Magic
10:37,Norman Powell defensive rebound,7,2,Heat
10:30,Bam Adebayo makes 27-foot three point jumper (Davion Mitchell assists),10,2,Heat
10:15,Desmond Bane makes 3-foot two point shot (Jalen Suggs assists),10,4,Magic
9:57,Nikola Jovic misses driving layup,10,4,Heat
9:55,Franz Wagner defensive rebound,10,4,Magic
9:52,Franz Wagner makes two point shot,10,6,Magic
9:37,Bam Adebayo makes 13-foot jumper (Norman Powell assists),12,6,Heat
9:19,Jalen Suggs makes 25-foot three pointer,12,9,Magic
9:08,Bam Adebayo back court turnover,12,9,Heat
9:08,Tyus Jones enters the game for Jalen Suggs,12,9,Magic
8:56,Desmond Bane makes 26-foot three pointer,12,12,Magic
8:45,Desmond Bane blocks Norman Powell 's 27-foot three point pullup jump shot,12,12,Heat
8:41,Norman Powell offensive rebound,12,12,Heat
8:40,Norman Powell makes 26-foot three pointer,15,12,Heat
8:28,Andrew Wiggins shooting foul,15,12,Heat
8:28,Franz Wagner makes free throw 1 of 2,15,13,Magic
8:28,Jaime Jaquez Jr. enters the game for Andrew Wiggins,15,13,Heat
