time,description,home_score,away_score,team
12:00,Dominick Barlow vs. Neemias Queta (Jaylen Brown gains possession),0,0,Celtics
11:43,Neemias Queta makes 7-foot layup (Derrick White assists),0,2,Celtics
11:21,Kelly Oubre Jr. makes 25-foot three point jumper (VJ Edgecombe assists),3,2,76ers
11:02,Tyrese Maxey shooting foul,3,2,76ers
11:02,Payton Pritchard misses free throw 1 of 2,3,2,Celtics
11:02,Celtics offensive team rebound,3,2,Celtics
11:02,Payton Pritchard makes free throw 2 of 2,3,3,Celtics
10:47,Joel Embiid misses 19-foot jumper,3,3,76ers
10:44,Payton Pritchard defensive rebound,3,3,Celtics
10:33,Derrick White makes 18-foot pullup jump shot,3,5,Celtics
10:21,Neemias Queta shooting foul,3,5,Celtics
10:21,VJ Edgecombe misses free throw 1 of 2,3,5,76ers
10:21,76ers offensive team rebound,3,5,76ers
10:21,VJ Edgecombe makes free throw 2 of 2,4,5,76ers
10:02,Derrick White misses 26-foot three point pullup jump shot,4,5,Celtics
9:59,Joel Embiid defensive rebound,4,5,76ers
9:51,Joel Embiid misses 26-foot three point jumper,4,5,76ers
9:48,Dominick Barlow offensive rebound,4,5,76ers
9:46,Tyrese Maxey makes 28-foot three point jumper (Dominick Barlow assists),7,5,76ers
9:27,Neemias Queta makes 12-foot two point shot (Payton Pritchard assists),7,7,Celtics
9:13,Dominick Barlow misses 24-foot three point jumper,7,7,76ers
9:10,Neemias Queta defensive rebound,7,7,Celtics
9:05,Dominick Barlow blocks Derrick White 's 2-foot two point shot,7,7,Celtics
9:02,Xavier Tillman enters the game for Neemias Queta,7,7,Celtics
9:02,76ers defensive team rebound,7,7,76ers
9:02,Dominick Barlow vs. Sam Hauser (VJ Edgecombe gains possession),7,7,76ers
8:55,Dominick Barlow makes two point shot (VJ Edgecombe assists),9,7,76ers
8:55,Xavier Tillman shooting foul,9,7,Celtics
8:55,Dominick Barlow makes free throw 1 of 1,10,7,76ers
8:40,Xavier Tillman misses 23-foot three point jumper,10,7,Celtics
8:37,Kelly Oubre Jr. defensive rebound,10,7,76ers
8:24,Joel Embiid misses 25-foot three point jumper,10,7,76ers
8:24,Jaylen Brown defensive rebound,10,7,Celtics
8:14,Jaylen Brown makes 19-foot step back jumpshot,10,9,Celtics
7:58,VJ Edgecombe misses 25-foot three point jumper,10,9,76ers
7:55,Jaylen Brown defensive rebound,10,9,Celtics
7:47,Jaylen Brown misses 10-foot two point shot,10,9,Celtics
7:44,Dominick Barlow defensive rebound,10,9,76ers
7:36,Tyrese Maxey misses 13-foot two point shot,10,9,76ers
7:34,Jaylen Brown defensive rebound,10,9,Celtics
7:26,Derrick White makes 1-foot layup (Jaylen Brown assists),10,11,Celtics
6:59,Xavier Tillman blocks Joel Embiid 's 14-foot jumper,10,11,76ers
6:56,Xavier Tillman defensive rebound,10,11,Celtics
6:53,Xavier Tillman makes two point shot (Jaylen Brown assists),10,13,Celtics
6:53,76ers Full timeout,10,13,76ers
6:53,Josh Minott enters the game for Sam Hauser,10,13,Celtics
6:53,Anfernee Simons enters the game for Derrick White,10,13,Celtics
6:53,Quentin Grimes enters the game for Joel Embiid,10,13,76ers
6:53,Adem Bona enters the game for Kelly Oubre Jr.,10,13,76ers
6:32,VJ Edgecombe misses 25-foot three point jumper,10,13,76ers
6:27,Dominick Barlow offensive rebound,10,13,76ers
6:22,VJ Edgecombe makes driving dunk (Quentin Grimes assists),12,13,76ers
6:04,Jaylen Brown makes 25-foot three point jumper (Josh Minott assists),12,16,Celtics
5:37,VJ Edgecombe makes 25-foot three point jumper (Tyrese Maxey assists),15,16,76ers
5:20,Anfernee Simons misses 26-foot three point jumper,15,16,Celtics
5:16,Adem Bona defensive rebound,15,16,76ers
4:58,Tyrese Maxey misses driving layup,15,16,76ers
4:56,Xavier Tillman defensive rebound,15,16,Celtics
4:53,Payton Pritchard misses running pullup jump shot,15,16,Celtics
4:48,Josh Minott offensive rebound,15,16,Celtics
4:48,Josh Minott makes dunk,15,18,Celtics
4:37,VJ Edgecombe makes driving layup,17,18,76ers
4:21,Xavier Tillman makes 7-foot layup (Jaylen Brown assists),17,20,Celtics
4:09,VJ Edgecombe makes 25-foot three point jumper (Tyrese Maxey assists),20,20,76ers
3:43,Payton Pritchard makes 15-foot pullup jump shot,20,22,Celtics
3:23,Dominick Barlow bad pass (Xavier Tillman steals),20,22,76ers
3:18,Payton Pritchard misses 29-foot three point jumper,20,22,Celtics
3:14,Xavier Tillman offensive rebound,20,22,Celtics
3:14,Derrick White enters the game for Jaylen Brown,20,22,Celtics
3:14,Chris Boucher enters the game for Payton Pritchard,20,22,Celtics
3:14,Jabari Walker enters the game for Tyrese Maxey,20,22,76ers
3:14,Kelly Oubre Jr. enters the game for Dominick Barlow,20,22,76ers
3:11,Adem Bona vs. Xavier Tillman (Derrick White gains possession),20,22,Celtics
3:01,Derrick White misses 26-foot three point jumper,20,22,Celtics
2:57,Kelly Oubre Jr. defensive rebound,20,22,76ers
2:55,Kelly Oubre Jr. bad pass (Xavier Tillman steals),20,22,76ers
2:51,Xavier Tillman misses 4-foot two point shot,20,22,Celtics
2:48,Quentin Grimes defensive rebound,20,22,76ers
2:37,Quentin Grimes misses 25-foot three point jumper,20,22,76ers
2:36,76ers offensive team rebound,20,22,76ers
2:36,Josh Minott loose ball foul,20,22,Celtics
2:36,Celtics Full timeout,20,22,Celtics
2:36,Luka Garza enters the game for Josh Minott,20,22,Celtics
2:36,Jaylen Brown enters the game for Xavier Tillman,20,22,Celtics
2:27,Luka Garza personal foul,20,22,Celtics
2:20,VJ Edgecombe misses 16-foot pullup jump shot,20,22,76ers
2:15,Luka Garza defensive rebound,20,22,Celtics
2:15,Luka Garza steps out of bounds turnover,20,22,Celtics
2:11,Quentin Grimes misses layup,20,22,76ers
2:09,Jabari Walker offensive rebound,20,22,76ers
2:08,Jabari Walker makes two point shot,22,22,76ers
1:52,Derrick White makes 25-foot three pointer,22,25,Celtics
1:37,Adem Bona offensive goaltending turnover,22,25,76ers
1:25,Derrick White misses driving layup,22,25,Celtics
1:22,Adem Bona defensive rebound,22,25,76ers
1:14,VJ Edgecombe makes 25-foot three point jumper (Quentin Grimes assists),25,25,76ers
1:02,Anfernee Simons makes 25-foot three point jumper,25,28,Celtics
51.0,VJ Edgecombe misses 24-foot three point jumper,25,28,76ers
48.0,Adem Bona offensive rebound,25,28,76ers
43.6,Adem Bona offensive foul,25,28,76ers
43.6,Adem Bona turnover,25,28,76ers
43.6,Neemias Queta enters the game for Luka Garza,25,28,Celtics
43.6,Tyrese Maxey enters the game for VJ Edgecombe,25,28,76ers
30.3,Jaylen Brown misses 20-foot step back jumpshot,25,28,Celtics
27.6,Tyrese Maxey defensive rebound,25,28,76ers
5.8,Anfernee Simons shooting foul,25,28,Celtics
5.8,Quentin Grimes misses free throw 1 of 2,25,28,76ers
5.8,76ers offensive team rebound,25,28,76ers
5.8,Justin Edwards enters the game for Adem Bona,25,28,76ers
5.8,Quentin Grimes makes free throw 2 of 2,26,28,76ers
0.2,Derrick White misses 27-foot three point jumper,26,28,Celtics
0.2,Celtics offensive team rebound,26,28,Celtics
0.0,End of the 1st Quarter,26,28,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,Sam Hauser enters the game for Jaylen Brown,26,28,Celtics
