time,description,home_score,away_score,team
12:00,Victor Wembanyama vs. Trey Murphy III (Zion Williamson gains possession),0,0,Unknown
11:44,Zion Williamson makes driving dunk,0,2,Unknown
11:44,Victor Wembanyama shooting foul,0,2,Unknown
11:44,Zion Williamson misses free throw 1 of 1,0,2,Unknown
11:41,Victor Wembanyama defensive rebound,0,2,Unknown
11:28,Victor Wembanyama makes dunk (Harrison Barnes assists),2,2,Unknown
11:13,Jordan Poole misses 34-foot three point jumper,2,2,Unknown
11:09,Victor Wembanyama defensive rebound,2,2,Unknown
11:02,Stephon Castle makes 23-foot three point jumper (Harrison Barnes assists),5,2,Unknown
10:38,Victor Wembanyama blocks Zion Williamson 's 2-foot two point shot,5,2,Unknown
10:34,Zion Williamson offensive rebound,5,2,Unknown
10:34,Victor Wembanyama blocks Zion Williamson 's 3-foot two point shot,5,2,Unknown
10:32,Stephon Castle defensive rebound,5,2,Unknown
10:24,Victor Wembanyama misses 17-foot jumper,5,2,Unknown
10:21,Trey Murphy III defensive rebound,5,2,Unknown
10:09,Herbert Jones misses 25-foot three point jumper,5,2,Unknown
10:06,Stephon Castle defensive rebound,5,2,Unknown
10:01,Victor Wembanyama makes dunk (Stephon Castle assists),7,2,Unknown
9:41,Zion Williamson misses layup,7,2,Unknown
9:36,Devin Vassell defensive rebound,7,2,Unknown
9:35,Herbert Jones personal foul,7,2,Unknown
9:25,Victor Wembanyama vs. Trey Murphy III (Julian Champagnie gains possession),7,2,Unknown
9:22,Julian Champagnie bad pass (Zion Williamson steals),7,2,Unknown
9:16,Jordan Poole makes driving layup (Trey Murphy III assists),7,4,Unknown
8:54,Stephon Castle misses 26-foot three point pullup jump shot,7,4,Unknown
8:50,Saddiq Bey defensive rebound,7,4,Unknown
8:30,Trey Murphy III makes 25-foot three point jumper (Jordan Poole assists),7,7,Unknown
8:17,Stephon Castle makes 1-foot driving dunk,9,7,Unknown
8:03,Zion Williamson bad pass (Stephon Castle steals),9,7,Unknown
8:01,Jordan Poole kicked ball violation,9,7,Unknown
7:52,Stephon Castle makes finger roll layup,11,7,Unknown
7:37,Zion Williamson makes layup,11,9,Unknown
7:24,Julian Champagnie misses 22-foot three point jumper,11,9,Unknown
7:21,Zion Williamson defensive rebound,11,9,Unknown
7:14,Harrison Barnes blocks Zion Williamson 's 5-foot driving layup,11,9,Unknown
7:10,Devin Vassell defensive rebound,11,9,Unknown
7:08,Devin Vassell makes two point shot,13,9,Unknown
6:58,Pelicans Full timeout,13,9,Unknown
6:58,Derik Queen enters the game for Zion Williamson,13,9,Unknown
6:58,Luke Kornet enters the game for Victor Wembanyama,13,9,Unknown
6:54,Stephon Castle personal foul,13,9,Unknown
6:45,Jordan Poole misses two point shot,13,9,Unknown
6:42,Julian Champagnie defensive rebound,13,9,Unknown
6:38,Stephon Castle lost ball turnover (Herbert Jones steals),13,9,Unknown
6:34,Jordan Poole makes two point shot (Herbert Jones assists),13,11,Unknown
6:14,Luke Kornet makes 2-foot layup (Julian Champagnie assists),15,11,Unknown
6:00,Trey Murphy III makes 11-foot pullup jump shot (Jordan Poole assists),15,13,Unknown
5:45,Devin Vassell misses 24-foot three point pullup jump shot,15,13,Unknown
5:42,Herbert Jones defensive rebound,15,13,Unknown
5:29,Jordan Poole bad pass (Julian Champagnie steals),15,13,Unknown
5:25,Julian Champagnie makes two point shot,17,13,Unknown
5:01,Derik Queen makes dunk (Trey Murphy III assists),17,15,Unknown
5:01,Pelicans delay of game violation,17,15,Unknown
4:47,Stephon Castle misses 26-foot three point jumper,17,15,Unknown
4:41,Jordan Poole defensive rebound,17,15,Unknown
