time,description,home_score,away_score,team
12:00,Alex Sarr vs. Dereck Lively II (Cooper Flagg gains possession),0,0,Mavericks
11:45,Dereck Lively II bad pass (Kyshawn George steals),0,0,Mavericks
11:41,Kyshawn George misses 25-foot three point shot,0,0,Unknown
11:38,P.J. Washington defensive rebound,0,0,Mavericks
11:29,Alex Sarr defensive 3-seconds (technical foul),0,0,Unknown
11:29,Klay Thompson makes technical free throw,0,1,Mavericks
11:23,Bub Carrington personal foul,0,1,Unknown
11:17,P.J. Washington makes 14-foot pullup jump shot (Dereck Lively II assists),0,3,Mavericks
11:03,Alex Sarr makes layup (CJ McCollum assists),2,3,Unknown
10:42,Klay Thompson misses 25-foot three point jumper,2,3,Mavericks
10:38,Cooper Flagg offensive rebound,2,3,Mavericks
10:28,P.J. Washington makes driving layup (Dereck Lively II assists),2,5,Mavericks
10:08,CJ McCollum lost ball turnover (Klay Thompson steals),2,5,Unknown
10:02,Dereck Lively II misses two point shot,2,5,Mavericks
10:01,Anthony Davis offensive rebound,2,5,Mavericks
9:58,Alex Sarr blocks Anthony Davis's two point shot,2,5,Mavericks
9:57,Dereck Lively II offensive rebound,2,5,Mavericks
9:55,P.J. Washington misses 25-foot three point jumper,2,5,Mavericks
9:55,Wizards defensive team rebound,2,5,Unknown
9:55,Dereck Lively II loose ball foul,2,5,Mavericks
9:47,Kyshawn George makes 2-foot dunk (Alex Sarr assists),4,5,Unknown
9:24,Dereck Lively II 3 second turnover,4,5,Mavericks
9:14,Alex Sarr lost ball turnover (Dereck Lively II steals),4,5,Unknown
9:06,Anthony Davis lost ball turnover (Bub Carrington steals),4,5,Mavericks
9:02,Anthony Davis shooting foul,4,5,Mavericks
9:02,Bub Carrington misses free throw 1 of 3,4,5,Unknown
9:02,Wizards offensive team rebound,4,5,Unknown
9:02,Bub Carrington misses free throw 2 of 3,4,5,Unknown
9:02,Wizards offensive team rebound,4,5,Unknown
9:02,Bub Carrington makes free throw 3 of 3,5,5,Unknown
8:52,Dereck Lively II makes 1-foot alley oop dunk shot (Cooper Flagg assists),5,7,Mavericks
8:41,Alex Sarr misses 24-foot three point jumper,5,7,Unknown
8:39,Klay Thompson defensive rebound,5,7,Mavericks
8:26,P.J. Washington out of bounds bad pass turnover,5,7,Mavericks
8:10,Bub Carrington misses 19-foot pullup jump shot,5,7,Unknown
8:07,Dereck Lively II defensive rebound,5,7,Mavericks
8:02,Cooper Flagg makes 25-foot running pullup jump shot,5,10,Mavericks
7:45,Alex Sarr misses 6-foot two point shot,5,10,Unknown
7:44,Anthony Davis defensive rebound,5,10,Mavericks
7:41,Khris Middleton personal foul,5,10,Unknown
7:41,Max Christie enters the game for Dereck Lively II,5,10,Mavericks
7:34,Bub Carrington kicked ball violation,5,10,Unknown
7:23,Max Christie misses 25-foot three point jumper,5,10,Mavericks
7:19,Bub Carrington defensive rebound,5,10,Unknown
7:03,CJ McCollum bad pass (P.J. Washington steals),5,10,Unknown
6:58,Klay Thompson makes 26-foot three point shot (Cooper Flagg assists),5,13,Mavericks
6:56,Wizards Full timeout,5,13,Unknown
6:41,Anthony Davis defensive 3-seconds (technical foul),5,13,Mavericks
6:41,Khris Middleton misses technical free throw,5,13,Unknown
6:41,Wizards offensive team rebound,5,13,Unknown
6:36,Alex Sarr makes 2-foot dunk (Bub Carrington assists),7,13,Unknown
6:18,CJ McCollum personal foul,7,13,Unknown
6:18,Naji Marshall enters the game for Klay Thompson,7,13,Mavericks
6:18,D'Angelo Russell enters the game for Cooper Flagg,7,13,Mavericks
6:18,Tre Johnson enters the game for Kyshawn George,7,13,Unknown
6:13,Bub Carrington shooting foul,7,13,Unknown
6:13,D'Angelo Russell misses free throw 1 of 2,7,13,Mavericks
6:13,Mavericks offensive team rebound,7,13,Mavericks
6:13,D'Angelo Russell makes free throw 2 of 2,7,14,Mavericks
6:04,8 second turnover,7,14,Unknown
5:46,Anthony Davis misses 26-foot three point step back jumpshot,7,14,Mavericks
5:41,Bub Carrington defensive rebound,7,14,Unknown
5:38,Tre Johnson misses running pullup jump shot,7,14,Unknown
5:35,Anthony Davis defensive rebound,7,14,Mavericks
5:20,Max Christie misses 26-foot three point jumper,7,14,Mavericks
5:17,Naji Marshall offensive rebound,7,14,Mavericks
5:14,Anthony Davis makes 2-foot alley oop dunk shot (Max Christie assists),7,16,Mavericks
5:00,Khris Middleton makes 18-foot two point shot (Alex Sarr assists),9,16,Unknown
4:43,P.J. Washington misses 25-foot three point jumper,9,16,Mavericks
