time,description,home_score,away_score,team
12:00,Chet Holmgren vs. Mouhamed Gueye (Dyson Daniels gains possession),0,0,Hawks
11:36,Nickeil Alexander-Walker misses driving floating jump shot,0,0,Hawks
11:34,Nickeil Alexander-Walker offensive rebound,0,0,Hawks
11:29,Onyeka Okongwu misses 22-foot three point jumper,0,0,Hawks
11:26,Chet Holmgren defensive rebound,0,0,Thunder
11:16,Chet Holmgren makes 25-foot three point jumper (Cason Wallace assists),3,0,Thunder
11:05,Onyeka Okongwu makes 1-foot driving dunk (Trae Young assists),3,2,Hawks
10:47,Mouhamed Gueye blocks Isaiah Hartenstein 's 2-foot driving layup,3,2,Thunder
10:44,Trae Young defensive rebound,3,2,Hawks
10:37,Dyson Daniels misses 6-foot two point shot,3,2,Hawks
10:33,Isaiah Hartenstein defensive rebound,3,2,Thunder
10:27,Shai Gilgeous-Alexander makes 11-foot step back jumpshot,5,2,Thunder
10:13,Nickeil Alexander-Walker makes 23-foot three point jumper (Trae Young assists),5,5,Hawks
9:56,Chet Holmgren makes 25-foot three point step back jumpshot,8,5,Thunder
9:40,Mouhamed Gueye makes 25-foot three point jumper (Onyeka Okongwu assists),8,8,Hawks
9:23,Shai Gilgeous-Alexander misses 25-foot three point jumper,8,8,Thunder
9:21,Nickeil Alexander-Walker defensive rebound,8,8,Hawks
8:59,Onyeka Okongwu misses 6-foot two point shot,8,8,Hawks
8:56,Shai Gilgeous-Alexander defensive rebound,8,8,Thunder
8:38,Isaiah Hartenstein makes alley oop dunk shot (Chet Holmgren assists),10,8,Thunder
8:26,Dyson Daniels lost ball turnover (Luguentz Dort steals),10,8,Hawks
8:19,Chet Holmgren lost ball turnover (Onyeka Okongwu steals),10,8,Thunder
8:08,Luguentz Dort personal foul,10,8,Thunder
8:00,Mouhamed Gueye misses 25-foot three point jumper,10,8,Hawks
7:56,Isaiah Hartenstein defensive rebound,10,8,Thunder
7:45,Shai Gilgeous-Alexander bad pass (Dyson Daniels steals),10,8,Thunder
7:40,Nickeil Alexander-Walker makes two point shot,10,10,Hawks
7:29,Luguentz Dort misses 25-foot three point jumper,10,10,Thunder
7:26,Dyson Daniels defensive rebound,10,10,Hawks
7:23,Trae Young misses two point shot,10,10,Hawks
7:22,Luguentz Dort defensive rebound,10,10,Thunder
7:22,Onyeka Okongwu personal foul,10,10,Hawks
7:08,Chet Holmgren misses driving floating jump shot,10,10,Thunder
7:08,Chet Holmgren offensive rebound,10,10,Thunder
7:08,Mouhamed Gueye shooting foul,10,10,Hawks
7:08,Chet Holmgren makes free throw 1 of 2,11,10,Thunder
7:08,Chet Holmgren makes free throw 2 of 2,12,10,Thunder
6:57,Onyeka Okongwu makes 2-foot layup (Trae Young assists),12,12,Hawks
6:43,Shai Gilgeous-Alexander makes 13-foot step back jumpshot,14,12,Thunder
6:32,Trae Young makes 5-foot driving floating jump shot,14,14,Hawks
6:31,Thunder Full timeout,14,14,Thunder
6:31,Luke Kennard enters the game for Dyson Daniels,14,14,Hawks
6:31,Vit Krejci enters the game for Trae Young,14,14,Hawks
6:31,Ajay Mitchell enters the game for Shai Gilgeous-Alexander,14,14,Thunder
6:13,Chet Holmgren makes 25-foot three point jumper (Ajay Mitchell assists),17,14,Thunder
5:43,Mouhamed Gueye misses driving floating jump shot,17,14,Hawks
5:39,Chet Holmgren defensive rebound,17,14,Thunder
5:32,Isaiah Hartenstein makes 1-foot alley oop dunk shot (Cason Wallace assists),19,14,Thunder
5:13,Vit Krejci makes 19-foot jumper (Onyeka Okongwu assists),19,16,Hawks
5:00,Chet Holmgren makes 26-foot three point jumper (Ajay Mitchell assists),22,16,Thunder
5:00,Hawks Full timeout,22,16,Hawks
5:00,Asa Newell enters the game for Mouhamed Gueye,22,16,Hawks
5:00,Jaylin Williams enters the game for Cason Wallace,22,16,Thunder
5:00,Aaron Wiggins enters the game for Isaiah Hartenstein,22,16,Thunder
4:45,Ajay Mitchell personal foul,22,16,Thunder
4:36,Onyeka Okongwu misses 25-foot three point jumper,22,16,Hawks
4:31,Asa Newell offensive rebound,22,16,Hawks
4:31,Chet Holmgren blocks Asa Newell's two point shot,22,16,Hawks
4:30,Asa Newell offensive rebound,22,16,Hawks
4:24,Nickeil Alexander-Walker makes driving layup,22,18,Hawks
4:09,Ajay Mitchell misses driving floating jump shot,22,18,Thunder
4:07,Onyeka Okongwu defensive rebound,22,18,Hawks
3:57,Onyeka Okongwu misses 9-foot two point shot,22,18,Hawks
3:53,Ajay Mitchell defensive rebound,22,18,Thunder
3:50,Luguentz Dort misses two point shot,22,18,Thunder
3:48,Onyeka Okongwu defensive rebound,22,18,Hawks
3:44,Nickeil Alexander-Walker misses 25-foot three point shot,22,18,Hawks
3:41,Chet Holmgren defensive rebound,22,18,Thunder
3:28,Jaylin Williams makes 1-foot layup (Ajay Mitchell assists),24,18,Thunder
3:19,Vit Krejci makes 26-foot three point jumper (Nickeil Alexander-Walker assists),24,21,Hawks
3:02,Jaylin Williams misses 25-foot three point jumper,24,21,Thunder
3:00,Onyeka Okongwu defensive rebound,24,21,Hawks
2:54,Vit Krejci offensive foul,24,21,Hawks
2:54,Vit Krejci turnover,24,21,Hawks
2:54,Dyson Daniels enters the game for Nickeil Alexander-Walker,24,21,Hawks
2:54,Trae Young enters the game for Onyeka Okongwu,24,21,Hawks
2:54,N'Faly Dante enters the game for Vit Krejci,24,21,Hawks
2:54,Brooks Barnhizer enters the game for Luguentz Dort,24,21,Thunder
2:54,Cason Wallace enters the game for Chet Holmgren,24,21,Thunder
2:40,Cason Wallace misses driving floating jump shot,24,21,Thunder
2:36,Cason Wallace offensive rebound,24,21,Thunder
2:31,Ajay Mitchell makes driving layup (Aaron Wiggins assists),26,21,Thunder
2:19,Trae Young misses driving floating jump shot,26,21,Hawks
2:15,N'Faly Dante offensive rebound,26,21,Hawks
2:15,N'Faly Dante misses tip shot,26,21,Hawks
2:14,N'Faly Dante offensive rebound,26,21,Hawks
2:12,N'Faly Dante misses two point shot,26,21,Hawks
2:10,Brooks Barnhizer defensive rebound,26,21,Thunder
2:07,Ajay Mitchell makes 23-foot three point shot (Cason Wallace assists),29,21,Thunder
1:56,Jaylin Williams personal foul,29,21,Thunder
1:49,Trae Young lost ball turnover (Cason Wallace steals),29,21,Hawks
1:44,Jaylin Williams makes two point shot (Ajay Mitchell assists),31,21,Thunder
1:25,Asa Newell makes 26-foot three point jumper (Luke Kennard assists),31,24,Hawks
1:09,Dyson Daniels blocks Brooks Barnhizer's layup,31,24,Thunder
1:06,Dyson Daniels defensive rebound,31,24,Hawks
1:01,Cason Wallace personal foul,31,24,Thunder
1:01,Trae Young makes free throw 1 of 2,31,25,Hawks
1:01,Shai Gilgeous-Alexander enters the game for Aaron Wiggins,31,25,Thunder
1:01,Trae Young makes free throw 2 of 2,31,26,Hawks
41.0,Shai Gilgeous-Alexander misses 23-foot three point step back jumpshot,31,26,Thunder
38.2,N'Faly Dante defensive rebound,31,26,Hawks
25.8,Dyson Daniels misses two point shot,31,26,Hawks
23.1,Shai Gilgeous-Alexander defensive rebound,31,26,Thunder
3.7,Cason Wallace misses 25-foot three point jumper,31,26,Thunder
0.1,Thunder offensive team rebound,31,26,Thunder
0.0,End of the 1st Quarter,31,26,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,Vit Krejci enters the game for Trae Young,31,26,Hawks
12:00,Onyeka Okongwu enters the game for N'Faly Dante,31,26,Hawks
12:00,Keaton Wallace enters the game for Asa Newell,31,26,Hawks
12:00,Aaron Wiggins enters the game for Brooks Barnhizer,31,26,Thunder
12:00,Chris Youngblood enters the game for Ajay Mitchell,31,26,Thunder
11:47,Keaton Wallace personal foul,31,26,Hawks
11:41,Onyeka Okongwu blocks Cason Wallace 's 5-foot driving layup,31,26,Thunder
11:38,Onyeka Okongwu defensive rebound,31,26,Hawks
11:26,Onyeka Okongwu misses 9-foot two point shot,31,26,Hawks
11:23,Cason Wallace defensive rebound,31,26,Thunder
11:14,Chris Youngblood misses 25-foot three point jumper,31,26,Thunder
11:10,Vit Krejci defensive rebound,31,26,Hawks
11:01,Shai Gilgeous-Alexander blocks Vit Krejci 's 12-foot driving floating jump shot,31,26,Hawks
10:58,Dyson Daniels offensive rebound,31,26,Hawks
10:54,Keaton Wallace lost ball turnover (Cason Wallace steals),31,26,Hawks
10:50,Aaron Wiggins makes two point shot,33,26,Thunder
10:32,Cason Wallace shooting foul,33,26,Thunder
10:32,Vit Krejci makes free throw 1 of 3,33,27,Hawks
