time,description,home_score,away_score,team
12:00,Nic Claxton jump ball violation,0,0,Nets
11:38,Harrison Barnes misses 25-foot three point step back jumpshot,0,0,Unknown
11:36,Nets defensive team rebound,0,0,Nets
11:18,Cam Thomas makes 16-foot step back jumpshot,2,0,Nets
11:02,Stephon Castle makes driving layup,2,2,Unknown
10:51,Michael Porter Jr. misses 23-foot three point jumper,2,2,Nets
10:48,Victor Wembanyama defensive rebound,2,2,Unknown
10:40,Victor Wembanyama misses layup,2,2,Unknown
10:40,Harrison Barnes offensive rebound,2,2,Unknown
10:36,Victor Wembanyama misses 1-foot jumper,2,2,Unknown
10:36,Harrison Barnes offensive rebound,2,2,Unknown
10:30,Harrison Barnes bad pass (Michael Porter Jr. steals),2,2,Unknown
10:28,Cam Thomas makes driving floating jump shot (Michael Porter Jr. assists),4,2,Nets
10:28,Victor Wembanyama shooting foul,4,2,Unknown
10:28,Michael Porter Jr. makes free throw 1 of 1,5,2,Nets
10:15,Stephon Castle bad pass (Michael Porter Jr. steals),5,2,Unknown
10:12,Nic Claxton makes 1-foot dunk,7,2,Nets
10:02,Harrison Barnes bad pass (Ben Saraf steals),7,2,Unknown
9:52,Victor Wembanyama blocks Ben Saraf 's 22-foot three point jumper,7,2,Nets
9:49,Victor Wembanyama defensive rebound,7,2,Unknown
9:33,Stephon Castle bad pass (Nic Claxton steals),7,2,Unknown
9:31,Julian Champagnie shooting foul,7,2,Unknown
9:31,Nic Claxton makes free throw 1 of 2,8,2,Nets
9:31,Nic Claxton makes free throw 2 of 2,9,2,Nets
9:16,Harrison Barnes misses 23-foot three point jumper,9,2,Unknown
9:12,Michael Porter Jr. defensive rebound,9,2,Nets
9:04,Victor Wembanyama blocks Nic Claxton 's 2-foot two point shot,9,2,Nets
9:01,Julian Champagnie defensive rebound,9,2,Unknown
8:53,Devin Vassell makes 24-foot three point jumper (Victor Wembanyama assists),9,5,Unknown
8:32,Cam Thomas misses 14-foot pullup jump shot,9,5,Nets
8:30,Victor Wembanyama defensive rebound,9,5,Unknown
8:24,Stephon Castle misses two point shot,9,5,Unknown
8:22,Michael Porter Jr. defensive rebound,9,5,Nets
