time,description,home_score,away_score,team
12:00,Neemias Queta vs. Jalen Duren (Jaylen Brown gains possession),0,0,Celtics
11:36,Jaylen Brown makes 9-foot driving floating jump shot,2,0,Celtics
11:14,Hugo Gonzalez blocks Ausar Thompson 's 9-foot two point shot,2,0,Pistons
11:14,Pistons offensive team rebound,2,0,Pistons
11:09,Ausar Thompson makes 3-foot dunk (Tobias Harris assists),2,2,Pistons
11:01,Tobias Harris personal foul,2,2,Pistons
10:48,Jaylen Brown misses 21-foot step back jumpshot,2,2,Celtics
10:44,Ausar Thompson defensive rebound,2,2,Pistons
10:34,Jalen Duren lost ball turnover (Hugo Gonzalez steals),2,2,Pistons
10:25,Payton Pritchard misses 27-foot three point jumper,2,2,Celtics
10:25,Ausar Thompson defensive rebound,2,2,Pistons
10:25,Jaylen Brown personal foul,2,2,Celtics
10:21,Hugo Gonzalez personal foul,2,2,Celtics
10:12,Cade Cunningham misses 17-foot jumper,2,2,Pistons
10:09,Jaylen Brown defensive rebound,2,2,Celtics
10:05,Cade Cunningham personal foul,2,2,Pistons
9:55,Jaylen Brown makes 25-foot three point jumper (Derrick White assists),5,2,Celtics
9:49,Cade Cunningham bad pass (Derrick White steals),5,2,Pistons
9:48,Derrick White makes 4-foot driving dunk,7,2,Celtics
9:30,Ausar Thompson misses 12-foot two point shot,7,2,Pistons
9:30,Jalen Duren offensive rebound,7,2,Pistons
9:24,Jalen Duren misses tip shot,7,2,Pistons
9:24,Neemias Queta defensive rebound,7,2,Celtics
9:22,Derrick White misses 9-foot two point shot,7,2,Celtics
9:16,Jalen Duren defensive rebound,7,2,Pistons
9:09,Ausar Thompson misses 24-foot three point jumper,7,2,Pistons
9:06,Jalen Duren offensive rebound,7,2,Pistons
9:05,Jalen Duren bad pass (Hugo Gonzalez steals),7,2,Pistons
8:59,Neemias Queta lost ball turnover (Ausar Thompson steals),7,2,Celtics
8:53,Duncan Robinson misses 26-foot three point shot,7,2,Pistons
8:51,Payton Pritchard defensive rebound,7,2,Celtics
8:42,Jaylen Brown makes 26-foot three point step back jumpshot,10,2,Celtics
8:41,Pistons Full timeout,10,2,Pistons
8:41,Ausar Thompson lost ball turnover (Derrick White steals),10,2,Pistons
8:39,Hugo Gonzalez misses 21-foot two point shot,10,2,Celtics
8:31,Neemias Queta offensive rebound,10,2,Celtics
8:31,Neemias Queta makes two point shot,12,2,Celtics
8:15,Jalen Duren misses 8-foot two point shot,12,2,Pistons
8:13,Pistons offensive team rebound,12,2,Pistons
8:13,Jalen Duren offensive foul,12,2,Pistons
8:13,Jalen Duren turnover,12,2,Pistons
7:58,Jaylen Brown makes 11-foot pullup jump shot,14,2,Celtics
7:39,Jaylen Brown personal foul,14,2,Celtics
7:33,Cade Cunningham makes 25-foot three pointer (Duncan Robinson assists),14,5,Pistons
7:21,Derrick White makes 11-foot two point shot,16,5,Celtics
7:09,Tobias Harris misses 14-foot two point shot,16,5,Pistons
7:05,Jalen Duren offensive rebound,16,5,Pistons
7:02,Jalen Duren makes layup,16,7,Pistons
6:56,Payton Pritchard makes driving layup,18,7,Celtics
6:45,Neemias Queta blocks Cade Cunningham 's 5-foot driving layup,18,7,Pistons
6:41,Ausar Thompson offensive rebound,18,7,Pistons
6:40,Tobias Harris misses 27-foot three point jumper,18,7,Pistons
6:36,Payton Pritchard defensive rebound,18,7,Celtics
6:33,Cade Cunningham shooting foul,18,7,Pistons
6:33,Payton Pritchard makes free throw 1 of 2,19,7,Celtics
6:33,Ronald Holland II enters the game for Tobias Harris,19,7,Pistons
6:33,Isaiah Stewart enters the game for Ausar Thompson,19,7,Pistons
6:33,Luka Garza enters the game for Jaylen Brown,19,7,Celtics
6:33,Sam Hauser enters the game for Hugo Gonzalez,19,7,Celtics
6:33,Anfernee Simons enters the game for Neemias Queta,19,7,Celtics
6:33,Payton Pritchard misses free throw 2 of 2,19,7,Celtics
6:33,Jalen Duren defensive rebound,19,7,Pistons
6:17,Cade Cunningham misses 18-foot pullup jump shot,19,7,Pistons
6:15,Payton Pritchard defensive rebound,19,7,Celtics
6:04,Sam Hauser misses 26-foot three point pullup jump shot,19,7,Celtics
6:00,Duncan Robinson defensive rebound,19,7,Pistons
5:54,Isaiah Stewart makes 23-foot three point jumper (Jalen Duren assists),19,10,Pistons
5:39,Anfernee Simons makes 26-foot three point jumper (Luka Garza assists),22,10,Celtics
5:20,Isaiah Stewart misses 6-foot two point shot,22,10,Pistons
5:16,Payton Pritchard defensive rebound,22,10,Celtics
5:11,Payton Pritchard misses 26-foot three point jumper,22,10,Celtics
5:08,Jalen Duren defensive rebound,22,10,Pistons
5:04,Cade Cunningham misses running pullup jump shot,22,10,Pistons
5:04,Celtics defensive team rebound,22,10,Celtics
5:02,Javonte Green enters the game for Jalen Duren,22,10,Pistons
4:42,Anfernee Simons misses 26-foot three point step back jumpshot,22,10,Celtics
4:42,Celtics offensive team rebound,22,10,Celtics
4:42,Isaiah Stewart loose ball foul,22,10,Pistons
4:37,Derrick White misses 26-foot three point jumper,22,10,Celtics
4:31,Duncan Robinson defensive rebound,22,10,Pistons
4:24,Duncan Robinson misses 25-foot three point jumper,22,10,Pistons
4:23,Pistons offensive team rebound,22,10,Pistons
4:23,Luka Garza loose ball foul,22,10,Celtics
4:14,Cade Cunningham misses 12-foot step back jumpshot,22,10,Pistons
4:10,Sam Hauser defensive rebound,22,10,Celtics
4:05,Payton Pritchard makes 12-foot running pullup jump shot,24,10,Celtics
3:47,Isaiah Stewart makes 3-foot layup (Cade Cunningham assists),24,12,Pistons
3:35,Sam Hauser makes 16-foot pullup jump shot (Payton Pritchard assists),26,12,Celtics
3:21,Ronald Holland II misses two point shot,26,12,Pistons
3:16,Luka Garza defensive rebound,26,12,Celtics
3:13,Payton Pritchard makes 26-foot running pullup jump shot (Derrick White assists),29,12,Celtics
3:12,Pistons Full timeout,29,12,Pistons
3:12,Chaz Lanier enters the game for Cade Cunningham,29,12,Pistons
3:12,Ausar Thompson enters the game for Duncan Robinson,29,12,Pistons
3:12,Josh Minott enters the game for Derrick White,29,12,Celtics
2:50,Javonte Green makes 1-foot two point shot (Ronald Holland II assists),29,14,Pistons
2:40,Anfernee Simons misses 25-foot three point jumper,29,14,Celtics
2:38,Luka Garza offensive rebound,29,14,Celtics
2:36,Luka Garza makes two point shot,31,14,Celtics
2:36,Javonte Green shooting foul,31,14,Pistons
2:36,Luka Garza misses free throw 1 of 1,31,14,Celtics
2:33,Isaiah Stewart defensive rebound,31,14,Pistons
2:17,Javonte Green makes 25-foot three point jumper (Isaiah Stewart assists),31,17,Pistons
2:05,Anfernee Simons bad pass (Ronald Holland II steals),31,17,Celtics
1:58,Javonte Green makes two point shot (Chaz Lanier assists),31,19,Pistons
1:46,Payton Pritchard makes driving layup,33,19,Celtics
1:35,Chaz Lanier misses 22-foot three point jumper,33,19,Pistons
1:22,Payton Pritchard vs. Ausar Thompson (Chaz Lanier gains possession),33,19,Pistons
1:22,Pistons offensive team rebound,33,19,Pistons
1:09,Isaiah Stewart makes 27-foot three point jumper (Javonte Green assists),33,22,Pistons
58.1,Payton Pritchard misses 26-foot three point jumper,33,22,Celtics
54.7,Isaiah Stewart defensive rebound,33,22,Pistons
51.2,Anfernee Simons shooting foul,33,22,Celtics
51.2,Ausar Thompson makes free throw 1 of 2,33,23,Pistons
51.2,Ausar Thompson makes free throw 2 of 2,33,24,Pistons
30.0,Ronald Holland II blocks Payton Pritchard 's 20-foot pullup jump shot,33,24,Celtics
29.5,Celtics offensive team rebound,33,24,Celtics
28.9,Luka Garza offensive foul,33,24,Celtics
28.9,Luka Garza turnover,33,24,Celtics
28.9,Cade Cunningham enters the game for Javonte Green,33,24,Pistons
28.9,Tobias Harris enters the game for Ausar Thompson,33,24,Pistons
28.9,Hugo Gonzalez enters the game for Payton Pritchard,33,24,Celtics
12.9,Chaz Lanier misses 25-foot three point jumper,33,24,Pistons
10.0,Sam Hauser defensive rebound,33,24,Celtics
0.0,Anfernee Simons misses driving layup,33,24,Celtics
0.0,Celtics offensive team rebound,33,24,Celtics
0.0,End of the 1st Quarter,33,24,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,Jaylen Brown enters the game for Sam Hauser,33,24,Celtics
12:00,Baylor Scheierman enters the game for Luka Garza,33,24,Celtics
12:00,Chris Boucher enters the game for Hugo Gonzalez,33,24,Celtics
11:50,Cade Cunningham lost ball turnover (Josh Minott steals),33,24,Pistons
11:46,Chris Boucher misses two point shot,33,24,Celtics
11:44,Cade Cunningham defensive rebound,33,24,Pistons
11:38,Cade Cunningham makes driving layup,33,26,Pistons
11:23,Anfernee Simons makes driving layup,35,26,Celtics
11:01,Tobias Harris makes 17-foot step back jumpshot,35,28,Pistons
10:44,Anfernee Simons makes 26-foot three pointer (Chris Boucher assists),38,28,Celtics
10:24,Ronald Holland II misses 22-foot three point jumper,38,28,Pistons
10:21,Chris Boucher defensive rebound,38,28,Celtics
10:13,Anfernee Simons misses 25-foot three point jumper,38,28,Celtics
10:09,Baylor Scheierman offensive rebound,38,28,Celtics
10:03,Jaylen Brown makes 23-foot three point jumper (Josh Minott assists),41,28,Celtics
9:52,Ronald Holland II out of bounds lost ball turnover,41,28,Pistons
9:52,Javonte Green enters the game for Chaz Lanier,41,28,Pistons
9:37,Chris Boucher misses 25-foot three point jumper,41,28,Celtics
