time,description,home_score,away_score,team
12:00,Myles Turner vs. Jarrett Allen (Gary Trent Jr. gains possession),0,0,Bucks
11:40,Evan Mobley kicked ball violation,0,0,Cavaliers
11:39,De'Andre Hunter personal foul,0,0,Cavaliers
11:31,Gary Trent Jr. misses 25-foot three point jumper,0,0,Bucks
11:27,Myles Turner offensive rebound,0,0,Bucks
11:21,Evan Mobley blocks Giannis Antetokounmpo's driving layup,0,0,Bucks
11:18,Jarrett Allen defensive rebound,0,0,Cavaliers
11:11,Evan Mobley misses 25-foot three point pullup jump shot,0,0,Cavaliers
11:09,Giannis Antetokounmpo defensive rebound,0,0,Bucks
10:44,Gary Trent Jr. makes 20-foot two point shot (Giannis Antetokounmpo assists),2,0,Bucks
10:22,Evan Mobley makes 11-foot two point shot (Jarrett Allen assists),2,2,Cavaliers
10:11,Gary Trent Jr. misses 22-foot three point jumper,2,2,Bucks
10:07,Donovan Mitchell defensive rebound,2,2,Cavaliers
10:00,Sam Merrill misses 26-foot three point jumper,2,2,Cavaliers
9:59,Cavaliers offensive team rebound,2,2,Cavaliers
9:57,Sam Merrill makes layup (Donovan Mitchell assists),2,4,Cavaliers
9:38,Giannis Antetokounmpo makes driving layup (Gary Trent Jr. assists),4,4,Bucks
9:29,Donovan Mitchell misses 25-foot three point step back jumpshot,4,4,Cavaliers
9:27,De'Andre Hunter offensive rebound,4,4,Cavaliers
9:25,Gary Trent Jr. shooting foul,4,4,Bucks
9:25,De'Andre Hunter misses free throw 1 of 2,4,4,Cavaliers
9:25,Cavaliers offensive team rebound,4,4,Cavaliers
9:25,De'Andre Hunter makes free throw 2 of 2,4,5,Cavaliers
9:10,Giannis Antetokounmpo misses 16-foot pullup jump shot,4,5,Bucks
9:07,De'Andre Hunter defensive rebound,4,5,Cavaliers
8:59,De'Andre Hunter makes 8-foot two point shot,4,7,Cavaliers
8:45,Giannis Antetokounmpo makes 1-foot driving dunk (Gary Trent Jr. assists),6,7,Bucks
8:32,AJ Green personal foul,6,7,Bucks
8:21,AJ Green vs. Evan Mobley (De'Andre Hunter gains possession),6,7,Cavaliers
8:14,Donovan Mitchell misses 25-foot three point pullup jump shot,6,7,Cavaliers
8:11,Giannis Antetokounmpo defensive rebound,6,7,Bucks
8:08,Myles Turner out of bounds bad pass turnover,6,7,Bucks
