time,description,home_score,away_score,team
12:00,Jay Huff vs. Rudy Gobert (Anthony Edwards gains possession),0,0,Timberwolves
11:42,Julius Randle makes 12-foot step back jumpshot,0,2,Timberwolves
11:20,Jay Huff makes 23-foot three point jumper (Pascal Siakam assists),3,2,Pacers
11:06,Anthony Edwards makes 25-foot three pointer (Rudy Gobert assists),3,5,Timberwolves
10:55,Pascal Siakam misses 10-foot pullup jump shot,3,5,Pacers
10:53,Anthony Edwards defensive rebound,3,5,Timberwolves
10:46,Anthony Edwards misses running pullup jump shot,3,5,Timberwolves
10:43,Aaron Nesmith defensive rebound,3,5,Pacers
10:35,Isaiah Jackson misses driving layup,3,5,Pacers
10:34,Isaiah Jackson offensive rebound,3,5,Pacers
10:31,Isaiah Jackson makes two point shot,5,5,Pacers
10:17,Jaden McDaniels makes 23-foot three point jumper (Donte DiVincenzo assists),5,8,Timberwolves
10:01,Jay Huff misses 24-foot three point jumper,5,8,Pacers
9:58,Rudy Gobert defensive rebound,5,8,Timberwolves
9:49,Anthony Edwards misses 25-foot three point jumper,5,8,Timberwolves
9:46,Rudy Gobert offensive rebound,5,8,Timberwolves
9:37,Julius Randle makes 24-foot three pointer (Donte DiVincenzo assists),5,11,Timberwolves
9:28,Donte DiVincenzo personal foul,5,11,Timberwolves
9:11,Pascal Siakam misses 15-foot pullup jump shot,5,11,Pacers
9:09,Rudy Gobert defensive rebound,5,11,Timberwolves
9:05,Anthony Edwards misses 23-foot three point shot,5,11,Timberwolves
9:00,Ben Sheppard defensive rebound,5,11,Pacers
8:57,Pascal Siakam bad pass (Jaden McDaniels steals),5,11,Pacers
8:53,Anthony Edwards makes two point shot (Jaden McDaniels assists),5,13,Timberwolves
8:52,Pacers Full timeout,5,13,Pacers
8:52,Bones Hyland enters the game for Anthony Edwards,5,13,Timberwolves
8:39,Rudy Gobert blocks Pascal Siakam 's 16-foot pullup jump shot,5,13,Pacers
8:35,Aaron Nesmith offensive rebound,5,13,Pacers
8:34,Aaron Nesmith makes 23-foot three point jumper,8,13,Pacers
8:21,Timberwolves Full timeout,8,13,Timberwolves
8:21,(08:21) [Timberwolves] COACH'S CHALLENGE (CALL OVERTURNED) [Timberwolves] retain their timeout,8,13,Timberwolves
8:21,Isaiah Jackson personal foul,8,13,Pacers
8:11,Donte DiVincenzo misses 25-foot three point jumper,8,13,Timberwolves
8:08,Rudy Gobert offensive rebound,8,13,Timberwolves
8:08,Rudy Gobert makes two point shot,8,15,Timberwolves
7:59,Jay Huff traveling,8,15,Pacers
7:47,Julius Randle makes 18-foot step back jumpshot,8,17,Timberwolves
7:28,Rudy Gobert shooting foul,8,17,Timberwolves
7:28,Isaiah Jackson makes free throw 1 of 2,9,17,Pacers
7:28,Obi Toppin enters the game for Jay Huff,9,17,Pacers
7:28,Isaiah Jackson makes free throw 2 of 2,10,17,Pacers
7:13,Julius Randle makes 13-foot two point shot,10,19,Timberwolves
6:59,Pascal Siakam makes 25-foot jump bank shot (Isaiah Jackson assists),13,19,Pacers
6:51,Jaden McDaniels misses 13-foot two point shot,13,19,Timberwolves
6:49,Pascal Siakam defensive rebound,13,19,Pacers
6:45,Aaron Nesmith misses 23-foot three point shot,13,19,Pacers
6:44,Pascal Siakam offensive rebound,13,19,Pacers
6:43,Bones Hyland personal foul,13,19,Timberwolves
6:43,Jay Huff enters the game for Isaiah Jackson,13,19,Pacers
6:35,Jaden McDaniels shooting foul,13,19,Timberwolves
6:35,Pascal Siakam makes free throw 1 of 2,14,19,Pacers
6:35,Pascal Siakam misses free throw 2 of 2,14,19,Pacers
6:33,Julius Randle defensive rebound,14,19,Timberwolves
6:29,Bones Hyland out of bounds bad pass turnover,14,19,Timberwolves
6:23,Pascal Siakam bad pass (Donte DiVincenzo steals),14,19,Pacers
6:09,Julius Randle makes 14-foot two point shot,14,21,Timberwolves
5:54,Ben Sheppard makes driving layup,16,21,Pacers
5:35,Bones Hyland misses driving layup,16,21,Timberwolves
5:33,Pascal Siakam defensive rebound,16,21,Pacers
5:31,Ben Sheppard misses 24-foot three point shot,16,21,Pacers
5:27,Aaron Nesmith offensive rebound,16,21,Pacers
5:25,Obi Toppin misses dunk,16,21,Pacers
5:24,Obi Toppin offensive rebound,16,21,Pacers
5:23,Obi Toppin makes two point shot,18,21,Pacers
5:06,Julius Randle misses 12-foot step back jumpshot,18,21,Timberwolves
5:05,Obi Toppin defensive rebound,18,21,Pacers
4:59,Aaron Nesmith makes two point shot (Ben Sheppard assists),20,21,Pacers
4:45,Jay Huff personal foul,20,21,Pacers
4:45,Terrence Shannon Jr. enters the game for Donte DiVincenzo,20,21,Timberwolves
4:45,Naz Reid enters the game for Bones Hyland,20,21,Timberwolves
4:45,Mike Conley enters the game for Rudy Gobert,20,21,Timberwolves
4:45,Jarace Walker enters the game for Ben Sheppard,20,21,Pacers
4:45,RayJ Dennis enters the game for Pascal Siakam,20,21,Pacers
4:32,Mike Conley misses 25-foot three point jumper,20,21,Timberwolves
4:28,Jaden McDaniels offensive rebound,20,21,Timberwolves
4:26,Jaden McDaniels misses 6-foot jump bank shot,20,21,Timberwolves
4:21,Jaden McDaniels offensive rebound,20,21,Timberwolves
4:14,RayJ Dennis blocks Terrence Shannon Jr. 's 9-foot driving layup,20,21,Timberwolves
4:13,Jaden McDaniels offensive rebound,20,21,Timberwolves
4:12,Jaden McDaniels misses 10-foot jumper,20,21,Timberwolves
4:10,Obi Toppin defensive rebound,20,21,Pacers
4:02,Obi Toppin out of bounds bad pass turnover,20,21,Pacers
3:49,Naz Reid misses 3-foot two point shot,20,21,Timberwolves
3:46,Obi Toppin defensive rebound,20,21,Pacers
3:34,Obi Toppin misses 24-foot three point jumper,20,21,Pacers
3:31,Terrence Shannon Jr. defensive rebound,20,21,Timberwolves
3:23,Julius Randle misses 22-foot three point jumper,20,21,Timberwolves
3:21,Aaron Nesmith defensive rebound,20,21,Pacers
3:16,Jaden McDaniels blocks Aaron Nesmith 's 2-foot two point shot,20,21,Pacers
3:13,Terrence Shannon Jr. defensive rebound,20,21,Timberwolves
3:09,RayJ Dennis shooting foul,20,21,Pacers
3:09,Jaden McDaniels misses free throw 1 of 2,20,21,Timberwolves
3:09,Timberwolves offensive team rebound,20,21,Timberwolves
3:09,Quenton Jackson enters the game for Aaron Nesmith,20,21,Pacers
3:09,Jaden McDaniels makes free throw 2 of 2,20,22,Timberwolves
2:51,Mike Conley shooting foul,20,22,Timberwolves
2:51,Obi Toppin makes free throw 1 of 2,21,22,Pacers
2:51,Tony Bradley enters the game for Jay Huff,21,22,Pacers
2:51,Rudy Gobert enters the game for Julius Randle,21,22,Timberwolves
2:51,Obi Toppin makes free throw 2 of 2,22,22,Pacers
2:33,Jaden McDaniels misses 22-foot three point jumper,22,22,Timberwolves
2:28,Jarace Walker defensive rebound,22,22,Pacers
2:21,Jarace Walker makes 25-foot three pointer (RayJ Dennis assists),25,22,Pacers
2:02,Terrence Shannon Jr. makes 25-foot three pointer,25,25,Timberwolves
1:46,Obi Toppin bad pass (Terrence Shannon Jr. steals),25,25,Pacers
1:46,Jarace Walker personal foul,25,25,Pacers
1:46,Jaylen Clark enters the game for Jaden McDaniels,25,25,Timberwolves
1:31,Naz Reid misses 22-foot three point jumper,25,25,Timberwolves
1:27,Rudy Gobert offensive rebound,25,25,Timberwolves
1:18,Naz Reid lost ball turnover (Obi Toppin steals),25,25,Timberwolves
1:13,RayJ Dennis misses 24-foot three point shot,25,25,Pacers
1:10,Terrence Shannon Jr. defensive rebound,25,25,Timberwolves
58.0,Jaylen Clark misses driving floating jump shot,25,25,Timberwolves
56.9,Quenton Jackson defensive rebound,25,25,Pacers
56.9,Jaylen Clark personal foul,25,25,Timberwolves
56.9,Quenton Jackson misses free throw 1 of 2,25,25,Pacers
56.9,Pacers offensive team rebound,25,25,Pacers
56.9,Quenton Jackson makes free throw 2 of 2,26,25,Pacers
38.5,Mike Conley makes 24-foot three point step back jumpshot (Naz Reid assists),26,28,Timberwolves
34.3,Jarace Walker misses 25-foot three point jumper,26,28,Pacers
30.0,Jaylen Clark defensive rebound,26,28,Timberwolves
10.7,Jaylen Clark misses 24-foot three point jumper,26,28,Timberwolves
8.0,Obi Toppin defensive rebound,26,28,Pacers
0.9,RayJ Dennis makes 10-foot driving floating jump shot,28,28,Pacers
