time,description,home_score,away_score,team
12:00,Donovan Clingan vs. Ivica Zubac (Deni Avdija gains possession),0,0,Trail Blazers
11:41,Ivica Zubac blocks Toumani Camara 's 8-foot driving floating jump shot,0,0,Trail Blazers
11:36,Kawhi Leonard defensive rebound,0,0,Clippers
11:34,Derrick Jones Jr. makes two point shot (James Harden assists),0,2,Clippers
11:22,Shaedon Sharpe misses 10-foot pullup jump shot,0,2,Trail Blazers
11:18,James Harden defensive rebound,0,2,Clippers
11:11,Ivica Zubac misses layup,0,2,Clippers
11:08,Jrue Holiday defensive rebound,0,2,Trail Blazers
11:05,Shaedon Sharpe makes 3-foot dunk (Jrue Holiday assists),2,2,Trail Blazers
10:46,Kawhi Leonard makes 14-foot pullup jump shot,2,4,Clippers
10:31,Shaedon Sharpe makes 14-foot pullup jump shot (Donovan Clingan assists),4,4,Trail Blazers
10:01,Ivica Zubac makes 9-foot hook shot (Kawhi Leonard assists),4,6,Clippers
9:49,Jrue Holiday misses 25-foot three point step back jumpshot,4,6,Trail Blazers
9:46,Deni Avdija offensive rebound,4,6,Trail Blazers
9:45,Jrue Holiday makes layup (Toumani Camara assists),6,6,Trail Blazers
9:27,James Harden makes 27-foot three point step back jumpshot,6,9,Clippers
9:27,Deni Avdija shooting foul,6,9,Trail Blazers
9:27,James Harden makes free throw 1 of 1,6,10,Clippers
9:17,Ivica Zubac blocks Deni Avdija 's 5-foot two point shot,6,10,Trail Blazers
9:14,Kawhi Leonard defensive rebound,6,10,Clippers
8:58,Donovan Clingan blocks James Harden 's 24-foot three point step back jumpshot,6,10,Clippers
8:57,Clippers offensive team rebound,6,10,Clippers
8:55,shot clock turnover,6,10,Clippers
8:41,Shaedon Sharpe misses 25-foot three point jumper,6,10,Trail Blazers
8:38,Ivica Zubac defensive rebound,6,10,Clippers
8:30,Kawhi Leonard makes 8-foot two point shot,6,12,Clippers
8:16,Deni Avdija makes 24-foot three point jumper (Jrue Holiday assists),9,12,Trail Blazers
8:00,Kawhi Leonard misses 25-foot three point pullup jump shot,9,12,Clippers
