time,description,home_score,away_score,team
12:00,Deandre Ayton vs. Domantas Sabonis (Keon Ellis gains possession),0,0,Kings
11:55,Keon Ellis makes 1-foot driving dunk,0,2,Kings
11:32,Rui Hachimura makes 20-foot pullup jump shot (Deandre Ayton assists),2,2,Lakers
11:07,DeMar DeRozan bad pass (Gabe Vincent steals),2,2,Kings
11:03,Gabe Vincent bad pass (Keon Ellis steals),2,2,Lakers
10:57,Zach LaVine makes 23-foot three point shot (DeMar DeRozan assists),2,5,Kings
10:43,Austin Reaves misses 30-foot three point jumper,2,5,Lakers
10:39,Domantas Sabonis defensive rebound,2,5,Kings
10:34,Domantas Sabonis misses two point shot,2,5,Kings
10:33,Lakers defensive team rebound,2,5,Lakers
10:19,Rui Hachimura makes 5-foot layup (Deandre Ayton assists),4,5,Lakers
10:02,Domantas Sabonis lost ball turnover (Rui Hachimura steals),4,5,Kings
9:49,Deandre Ayton makes driving layup (Rui Hachimura assists),6,5,Lakers
9:34,Dennis Schroder misses 24-foot three point jumper,6,5,Kings
9:34,Lakers defensive team rebound,6,5,Lakers
9:19,Marcus Smart makes 9-foot two point shot,8,5,Lakers
8:53,Domantas Sabonis misses 5-foot two point shot,8,5,Kings
8:51,Austin Reaves defensive rebound,8,5,Lakers
8:46,Austin Reaves lost ball turnover (Keon Ellis steals),8,5,Lakers
8:43,Zach LaVine makes dunk (DeMar DeRozan assists),8,7,Kings
8:23,Deandre Ayton makes 4-foot alley oop dunk shot (Gabe Vincent assists),10,7,Lakers
8:10,Dennis Schroder misses 16-foot pullup jump shot,10,7,Kings
8:07,Deandre Ayton defensive rebound,10,7,Lakers
8:03,Dennis Schroder shooting foul,10,7,Kings
8:03,Rui Hachimura makes free throw 1 of 2,11,7,Lakers
8:03,Rui Hachimura makes free throw 2 of 2,12,7,Lakers
7:44,Domantas Sabonis misses 25-foot three point jumper,12,7,Kings
7:42,Austin Reaves defensive rebound,12,7,Lakers
7:35,Domantas Sabonis shooting foul,12,7,Kings
7:35,Deandre Ayton makes free throw 1 of 2,13,7,Lakers
7:35,Deandre Ayton misses free throw 2 of 2,13,7,Lakers
7:33,Domantas Sabonis defensive rebound,13,7,Kings
7:20,Keon Ellis makes 24-foot three point jumper (Dennis Schroder assists),13,10,Kings
6:57,Domantas Sabonis shooting foul,13,10,Kings
6:57,Kings Full timeout,13,10,Kings
6:57,Drew Eubanks enters the game for Domantas Sabonis,13,10,Kings
6:57,Gabe Vincent makes free throw 1 of 3,14,10,Lakers
6:57,Gabe Vincent makes free throw 2 of 3,15,10,Lakers
6:57,Gabe Vincent makes free throw 3 of 3,16,10,Lakers
6:42,Keon Ellis misses 25-foot three point step back jumpshot,16,10,Kings
6:40,Rui Hachimura defensive rebound,16,10,Lakers
6:31,Austin Reaves misses 26-foot three point pullup jump shot,16,10,Lakers
6:29,Drew Eubanks defensive rebound,16,10,Kings
6:23,Zach LaVine makes 23-foot three point jumper (Dennis Schroder assists),16,13,Kings
6:02,Keon Ellis shooting foul,16,13,Kings
6:02,Austin Reaves makes free throw 1 of 3,17,13,Lakers
6:02,Austin Reaves makes free throw 2 of 3,18,13,Lakers
6:02,Isaac Jones enters the game for DeMar DeRozan,18,13,Kings
6:02,Malik Monk enters the game for Keon Ellis,18,13,Kings
6:02,Jarred Vanderbilt enters the game for Gabe Vincent,18,13,Lakers
6:02,Jake LaRavia enters the game for Rui Hachimura,18,13,Lakers
6:02,Austin Reaves makes free throw 3 of 3,19,13,Lakers
5:50,Zach LaVine misses two point shot,19,13,Kings
5:47,Marcus Smart defensive rebound,19,13,Lakers
5:39,Austin Reaves makes 4-foot layup (Marcus Smart assists),21,13,Lakers
5:34,Dennis Schroder makes driving layup,21,15,Kings
5:34,Deandre Ayton shooting foul,21,15,Lakers
5:34,Dalton Knecht enters the game for Marcus Smart,21,15,Lakers
5:34,Dennis Schroder makes free throw 1 of 1,21,16,Kings
5:24,Deandre Ayton makes 1-foot alley oop dunk shot (Austin Reaves assists),23,16,Lakers
5:06,Drew Eubanks misses driving layup,23,16,Kings
5:05,Deandre Ayton vs. Drew Eubanks,23,16,Kings
5:05,Kings offensive team rebound,23,16,Kings
4:57,Dennis Schroder bad pass (Deandre Ayton steals),23,16,Kings
4:51,Jake LaRavia misses layup,23,16,Lakers
4:50,Jarred Vanderbilt offensive rebound,23,16,Lakers
4:49,Jarred Vanderbilt makes tip shot,25,16,Lakers
4:46,Zach LaVine makes driving layup (Dennis Schroder assists),25,18,Kings
4:46,Deandre Ayton shooting foul,25,18,Lakers
4:46,Dylan Cardwell enters the game for Isaac Jones,25,18,Kings
4:46,Rui Hachimura enters the game for Deandre Ayton,25,18,Lakers
4:46,Zach LaVine makes free throw 1 of 1,25,19,Kings
4:33,Austin Reaves makes driving layup,27,19,Lakers
4:19,Zach LaVine out of bounds bad pass turnover,27,19,Kings
4:05,Austin Reaves lost ball turnover (Drew Eubanks steals),27,19,Lakers
4:00,Malik Monk misses 22-foot three point shot,27,19,Kings
3:56,Drew Eubanks offensive rebound,27,19,Kings
3:48,Dennis Schroder makes driving layup,27,21,Kings
3:28,Rui Hachimura makes 12-foot step back jumpshot (Austin Reaves assists),29,21,Lakers
3:20,Malik Monk bad pass (Jarred Vanderbilt steals),29,21,Kings
3:16,Rui Hachimura makes two point shot (Jarred Vanderbilt assists),31,21,Lakers
3:16,Kings Full timeout,31,21,Kings
3:16,DeMar DeRozan enters the game for Zach LaVine,31,21,Kings
3:16,Dario Saric enters the game for Dennis Schroder,31,21,Kings
3:16,Russell Westbrook enters the game for Drew Eubanks,31,21,Kings
2:59,Dylan Cardwell bad pass (Jarred Vanderbilt steals),31,21,Kings
2:57,Jarred Vanderbilt lost ball turnover (Dylan Cardwell steals),31,21,Lakers
2:56,Jarred Vanderbilt personal foul,31,21,Lakers
2:44,DeMar DeRozan makes 12-foot two point shot (Russell Westbrook assists),31,23,Kings
2:21,Rui Hachimura misses 25-foot three point jumper,31,23,Lakers
2:18,Dylan Cardwell defensive rebound,31,23,Kings
2:10,DeMar DeRozan makes 14-foot two point shot,31,25,Kings
2:01,Marcus Smart enters the game for Dalton Knecht,31,25,Lakers
2:01,Gabe Vincent enters the game for Austin Reaves,31,25,Lakers
1:52,Jake LaRavia misses driving floating jump shot,31,25,Lakers
1:50,Dylan Cardwell defensive rebound,31,25,Kings
1:40,DeMar DeRozan makes 11-foot two point shot,31,27,Kings
1:30,Dylan Cardwell personal foul,31,27,Kings
1:30,Jarred Vanderbilt makes free throw 1 of 2,32,27,Lakers
1:30,Jarred Vanderbilt makes free throw 2 of 2,33,27,Lakers
1:14,Dario Saric misses layup,33,27,Kings
1:10,Gabe Vincent defensive rebound,33,27,Lakers
1:06,Dylan Cardwell blocks Jarred Vanderbilt 's 3-foot two point shot,33,27,Lakers
1:06,Lakers offensive team rebound,33,27,Lakers
1:02,Jake LaRavia makes 24-foot three point step back jumpshot (Marcus Smart assists),36,27,Lakers
48.9,Dennis Schroder enters the game for Dario Saric,36,27,Kings
43.8,DeMar DeRozan misses 16-foot pullup jump shot,36,27,Kings
40.9,Russell Westbrook offensive rebound,36,27,Kings
35.6,Jarred Vanderbilt shooting foul,36,27,Lakers
35.6,Russell Westbrook misses free throw 1 of 2,36,27,Kings
35.6,Kings offensive team rebound,36,27,Kings
35.6,Russell Westbrook misses free throw 2 of 2,36,27,Kings
33.1,Jarred Vanderbilt defensive rebound,36,27,Lakers
22.4,Gabe Vincent misses 27-foot three point pullup jump shot,36,27,Lakers
19.3,DeMar DeRozan defensive rebound,36,27,Kings
0.3,Dennis Schroder misses 26-foot three point jumper,36,27,Kings
0.1,Kings offensive team rebound,36,27,Kings
0.0,End of the 1st Quarter,36,27,Unknown
,[ QUARTER 1 ENDED ],,,
12:00,Domantas Sabonis enters the game for Dylan Cardwell,36,27,Kings
12:00,Keon Ellis enters the game for Dennis Schroder,36,27,Kings
12:00,Deandre Ayton enters the game for Jarred Vanderbilt,36,27,Lakers
11:43,Malik Monk blocks Gabe Vincent 's 19-foot pullup jump shot,36,27,Lakers
11:41,Keon Ellis defensive rebound,36,27,Kings
11:28,Malik Monk makes 14-foot pullup jump shot (Domantas Sabonis assists),36,29,Kings
11:10,Deandre Ayton lost ball turnover (Domantas Sabonis steals),36,29,Lakers
11:06,Russell Westbrook bad pass (Jake LaRavia steals),36,29,Kings
11:06,Malik Monk personal foul,36,29,Kings
10:52,Deandre Ayton misses 13-foot two point shot,36,29,Lakers
10:49,Keon Ellis defensive rebound,36,29,Kings
10:35,Russell Westbrook makes 23-foot three point jumper (Keon Ellis assists),36,32,Kings
10:22,Marcus Smart misses 18-foot pullup jump shot,36,32,Lakers
