time,description,home_score,away_score,team
12:00,Wendell Carter Jr. vs. Adem Bona (Jalen Suggs gains possession),0,0,Magic
11:48,Franz Wagner makes 1-foot layup (Wendell Carter Jr. assists),2,0,Magic
11:27,Jabari Walker makes layup (Kelly Oubre Jr. assists),2,2,76ers
11:14,Jalen Suggs lost ball turnover (Tyrese Maxey steals),2,2,Magic
11:09,Kelly Oubre Jr. misses 27-foot three point shot,2,2,76ers
11:05,Desmond Bane defensive rebound,2,2,Magic
10:56,Wendell Carter Jr. misses 26-foot three point jumper,2,2,Magic
10:53,Desmond Bane offensive rebound,2,2,Magic
10:52,Desmond Bane misses 25-foot three point step back jumpshot,2,2,Magic
10:52,Jalen Suggs offensive rebound,2,2,Magic
10:42,Franz Wagner misses 25-foot three point step back jumpshot,2,2,Magic
10:42,Jabari Walker defensive rebound,2,2,76ers
10:34,Kelly Oubre Jr. makes 23-foot three point shot (Tyrese Maxey assists),2,5,76ers
10:18,Franz Wagner makes driving layup,4,5,Magic
10:18,VJ Edgecombe shooting foul,4,5,76ers
10:18,Franz Wagner misses free throw 1 of 1,4,5,Magic
10:16,Kelly Oubre Jr. defensive rebound,4,5,76ers
9:57,Tyrese Maxey misses 29-foot three point jumper,4,5,76ers
9:54,Wendell Carter Jr. defensive rebound,4,5,Magic
9:49,Jalen Suggs bad pass (Kelly Oubre Jr. steals),4,5,Magic
9:45,Jalen Suggs shooting foul,4,5,Magic
9:45,VJ Edgecombe makes free throw 1 of 2,4,6,76ers
9:45,VJ Edgecombe makes free throw 2 of 2,4,7,76ers
9:30,Adem Bona blocks Desmond Bane 's 3-foot driving floating jump shot,4,7,Magic
9:28,Tyrese Maxey defensive rebound,4,7,76ers
9:25,VJ Edgecombe makes two point shot (Tyrese Maxey assists),4,9,76ers
9:18,Kelly Oubre Jr. blocks Wendell Carter Jr. 's 3-foot driving dunk,4,9,Magic
9:15,Jabari Walker defensive rebound,4,9,76ers
9:13,Tyrese Maxey makes 24-foot running pullup jump shot,4,12,76ers
8:55,Adem Bona blocks Wendell Carter Jr. 's 3-foot driving layup,4,12,Magic
8:52,Franz Wagner offensive rebound,4,12,Magic
8:49,Franz Wagner makes 24-foot three point jumper (Jalen Suggs assists),7,12,Magic
8:31,Kelly Oubre Jr. makes 16-foot pullup jump shot,7,14,76ers
8:18,Adem Bona shooting foul,7,14,76ers
8:18,Paolo Banchero makes free throw 1 of 2,8,14,Magic
8:18,Anthony Black enters the game for Jalen Suggs,8,14,Magic
8:18,Paolo Banchero makes free throw 2 of 2,9,14,Magic
8:03,Tyrese Maxey misses two point shot,9,14,76ers
8:00,Wendell Carter Jr. defensive rebound,9,14,Magic
7:49,Paolo Banchero misses two point shot,9,14,Magic
7:48,Paolo Banchero offensive rebound,9,14,Magic
7:48,Adem Bona shooting foul,9,14,76ers
7:48,Paolo Banchero makes free throw 1 of 2,10,14,Magic
7:48,Andre Drummond enters the game for Adem Bona,10,14,76ers
7:48,Paolo Banchero makes free throw 2 of 2,11,14,Magic
7:32,Wendell Carter Jr. blocks Jabari Walker 's 5-foot layup,11,14,76ers
7:31,Desmond Bane defensive rebound,11,14,Magic
7:31,Jabari Walker personal foul,11,14,76ers
7:21,Desmond Bane makes two point shot (Paolo Banchero assists),13,14,Magic
7:02,Tyrese Maxey misses 25-foot three point pullup jump shot,13,14,76ers
6:59,VJ Edgecombe offensive rebound,13,14,76ers
6:53,Jabari Walker misses driving layup,13,14,76ers
6:53,Andre Drummond offensive rebound,13,14,76ers
6:53,Anthony Black shooting foul,13,14,Magic
6:53,76ers Full timeout,13,14,76ers
6:53,Quentin Grimes enters the game for Jabari Walker,13,14,76ers
6:53,Andre Drummond misses free throw 1 of 2,13,14,76ers
6:53,76ers offensive team rebound,13,14,76ers
6:53,Andre Drummond misses free throw 2 of 2,13,14,76ers
6:50,Paolo Banchero defensive rebound,13,14,Magic
6:33,Paolo Banchero makes 27-foot three point jumper (Wendell Carter Jr. assists),16,14,Magic
6:11,VJ Edgecombe makes 3-foot driving floating jump shot (Andre Drummond assists),16,16,76ers
5:56,Anthony Black bad pass (Andre Drummond steals),16,16,Magic
5:40,Quentin Grimes makes 24-foot three point jumper (Tyrese Maxey assists),16,19,76ers
5:23,Wendell Carter Jr. misses 18-foot jumper,16,19,Magic
5:19,Quentin Grimes defensive rebound,16,19,76ers
5:15,Tyrese Maxey misses 26-foot three point shot,16,19,76ers
5:12,Andre Drummond offensive rebound,16,19,76ers
5:02,VJ Edgecombe makes 26-foot three point step back jumpshot (Quentin Grimes assists),16,22,76ers
4:46,Noah Penda enters the game for Desmond Bane,16,22,Magic
4:46,Tyus Jones enters the game for Franz Wagner,16,22,Magic
4:38,Anthony Black misses 27-foot three point jumper,16,22,Magic
4:34,Noah Penda offensive rebound,16,22,Magic
4:33,Anthony Black makes 1-foot driving dunk (Noah Penda assists),18,22,Magic
4:15,Noah Penda shooting foul,18,22,Magic
4:15,Quentin Grimes makes free throw 1 of 3,18,23,76ers
