time,description,home_score,away_score,team
12:00,Kristaps Porzingis vs. Nikola Vucevic (Jalen Johnson gains possession),0,0,Hawks
11:45,Kristaps Porzingis misses 16-foot jumper,0,0,Hawks
11:43,Matas Buzelis defensive rebound,0,0,Bulls
11:33,Isaac Okoro misses driving layup,0,0,Bulls
11:31,Dyson Daniels defensive rebound,0,0,Hawks
11:21,Kristaps Porzingis makes dunk (Dyson Daniels assists),2,0,Hawks
11:14,Isaac Okoro lost ball turnover (Dyson Daniels steals),2,0,Bulls
11:09,Dyson Daniels bad pass (Tre Jones steals),2,0,Hawks
11:05,Matas Buzelis makes two point shot (Tre Jones assists),2,2,Bulls
10:48,Trae Young misses 25-foot three point step back jumpshot,2,2,Hawks
10:44,Matas Buzelis defensive rebound,2,2,Bulls
10:32,Matas Buzelis misses 24-foot three point jumper,2,2,Bulls
10:29,Dyson Daniels defensive rebound,2,2,Hawks
10:23,Trae Young misses two point shot,2,2,Hawks
10:18,Josh Giddey defensive rebound,2,2,Bulls
10:16,Isaac Okoro makes two point shot (Josh Giddey assists),2,4,Bulls
10:06,Kristaps Porzingis makes 29-foot three point jumper (Dyson Daniels assists),5,4,Hawks
9:46,Josh Giddey bad pass (Dyson Daniels steals),5,4,Bulls
9:39,Jalen Johnson makes 7-foot driving floating jump shot,7,4,Hawks
9:16,Tre Jones misses driving floating jump shot,7,4,Bulls
9:15,Dyson Daniels defensive rebound,7,4,Hawks
9:10,Trae Young misses driving floating jump shot,7,4,Hawks
9:08,Josh Giddey defensive rebound,7,4,Bulls
9:02,Josh Giddey makes two point shot,7,6,Bulls
8:52,Kristaps Porzingis makes 25-foot three point jumper (Trae Young assists),10,6,Hawks
8:35,Josh Giddey bad pass (Jalen Johnson steals),10,6,Bulls
8:32,Matas Buzelis shooting foul,10,6,Bulls
8:32,Jalen Johnson makes free throw 1 of 2,11,6,Hawks
8:32,Jalen Johnson makes free throw 2 of 2,12,6,Hawks
8:18,Josh Giddey makes layup (Nikola Vucevic assists),12,8,Bulls
8:02,Kristaps Porzingis makes 14-foot two point shot,14,8,Hawks
7:51,Nikola Vucevic out of bounds bad pass turnover,14,8,Bulls
7:51,Kevin Huerter enters the game for Tre Jones,14,8,Bulls
7:38,Trae Young makes driving layup,16,8,Hawks
7:30,Isaac Okoro misses 25-foot three point jumper,16,8,Bulls
7:27,Kristaps Porzingis defensive rebound,16,8,Hawks
7:19,Jalen Johnson misses 13-foot two point shot,16,8,Hawks
7:15,Josh Giddey defensive rebound,16,8,Bulls
7:03,Kevin Huerter makes driving layup,16,10,Bulls
6:53,Josh Giddey blocks Dyson Daniels's driving layup,16,10,Hawks
6:51,Nikola Vucevic defensive rebound,16,10,Bulls
6:48,Kevin Huerter makes two point shot (Matas Buzelis assists),16,12,Bulls
6:32,Kristaps Porzingis misses 27-foot three point jumper,16,12,Hawks
6:30,Matas Buzelis defensive rebound,16,12,Bulls
6:21,Josh Giddey misses 21-foot pullup jump shot,16,12,Bulls
6:16,Trae Young defensive rebound,16,12,Hawks
6:15,Zaccharie Risacher makes dunk (Trae Young assists),18,12,Hawks
6:15,Bulls Full timeout,18,12,Bulls
6:15,Patrick Williams enters the game for Isaac Okoro,18,12,Bulls
6:15,Luke Kennard enters the game for Kristaps Porzingis,18,12,Hawks
6:15,Onyeka Okongwu enters the game for Zaccharie Risacher,18,12,Hawks
6:15,Nickeil Alexander-Walker enters the game for Trae Young,18,12,Hawks
5:59,Nikola Vucevic makes 6-foot two point shot (Patrick Williams assists),18,14,Bulls
5:46,Jalen Johnson makes driving layup (Luke Kennard assists),20,14,Hawks
5:46,Matas Buzelis shooting foul,20,14,Bulls
5:46,Jalen Johnson makes free throw 1 of 1,21,14,Hawks
5:27,Matas Buzelis misses 23-foot three point jumper,21,14,Bulls
5:24,Onyeka Okongwu defensive rebound,21,14,Hawks
5:17,Jalen Johnson bad pass (Nikola Vucevic steals),21,14,Hawks
4:58,Josh Giddey makes 3-foot two point shot,21,16,Bulls
4:47,Nickeil Alexander-Walker misses 24-foot three point jumper,21,16,Hawks
4:45,Josh Giddey defensive rebound,21,16,Bulls
4:41,Jalen Johnson shooting foul,21,16,Hawks
4:41,Matas Buzelis misses free throw 1 of 2,21,16,Bulls
4:41,Bulls offensive team rebound,21,16,Bulls
4:41,Mouhamed Gueye enters the game for Jalen Johnson,21,16,Hawks
4:41,Matas Buzelis makes free throw 2 of 2,21,17,Bulls
4:30,Mouhamed Gueye misses 23-foot three point jumper,21,17,Hawks
4:28,Onyeka Okongwu offensive rebound,21,17,Hawks
4:24,Nickeil Alexander-Walker makes 24-foot three point jumper (Luke Kennard assists),24,17,Hawks
4:10,Nikola Vucevic misses 26-foot three point jumper,24,17,Bulls
4:07,Matas Buzelis offensive rebound,24,17,Bulls
4:05,Patrick Williams misses 25-foot three point jumper,24,17,Bulls
4:02,Luke Kennard defensive rebound,24,17,Hawks
3:57,Kevin Huerter shooting foul,24,17,Bulls
3:57,Luke Kennard makes free throw 1 of 2,25,17,Hawks
3:57,Tre Jones enters the game for Josh Giddey,25,17,Bulls
3:57,Ayo Dosunmu enters the game for Nikola Vucevic,25,17,Bulls
3:57,Jalen Smith enters the game for Matas Buzelis,25,17,Bulls
3:57,Trae Young enters the game for Dyson Daniels,25,17,Hawks
3:57,Luke Kennard makes free throw 2 of 2,26,17,Hawks
3:32,Patrick Williams misses 28-foot three point jumper,26,17,Bulls
3:28,Onyeka Okongwu defensive rebound,26,17,Hawks
3:10,Trae Young misses two point shot,26,17,Hawks
3:08,Tre Jones defensive rebound,26,17,Bulls
3:04,Onyeka Okongwu kicked ball violation,26,17,Hawks
2:57,Onyeka Okongwu blocks Jalen Smith 's 27-foot three point jumper,26,17,Bulls
