time,description,home_score,away_score,team
12:00,Chet Holmgren vs. Anthony Davis (Shai Gilgeous-Alexander gains possession),0,0,Thunder
11:44,Luguentz Dort makes 28-foot three point jumper (Chet Holmgren assists),3,0,Thunder
11:24,Max Christie misses 25-foot three point jumper,3,0,Mavericks
11:21,Isaiah Hartenstein defensive rebound,3,0,Thunder
11:13,Shai Gilgeous-Alexander makes 9-foot driving floating jump shot,5,0,Thunder
11:02,P.J. Washington misses 23-foot pullup jump shot,5,0,Mavericks
11:00,Isaiah Hartenstein defensive rebound,5,0,Thunder
10:49,Chet Holmgren makes 1-foot two point shot (Cason Wallace assists),7,0,Thunder
10:26,Anthony Davis makes 20-foot jumper,7,2,Mavericks
10:07,Shai Gilgeous-Alexander misses 11-foot two point shot,7,2,Thunder
10:06,Mavericks defensive team rebound,7,2,Mavericks
9:55,P.J. Washington out of bounds bad pass turnover,7,2,Mavericks
9:42,Isaiah Hartenstein misses layup,7,2,Thunder
9:40,P.J. Washington defensive rebound,7,2,Mavericks
9:28,Max Christie misses 24-foot three point jumper,7,2,Mavericks
9:25,Chet Holmgren defensive rebound,7,2,Thunder
9:11,Chet Holmgren makes driving layup,9,2,Thunder
8:55,Cooper Flagg misses driving layup,9,2,Mavericks
8:50,Luguentz Dort defensive rebound,9,2,Thunder
8:41,Cason Wallace misses driving layup,9,2,Thunder
8:40,Klay Thompson defensive rebound,9,2,Mavericks
8:26,Luguentz Dort personal foul,9,2,Thunder
8:20,Isaiah Hartenstein shooting foul,9,2,Thunder
8:20,P.J. Washington misses free throw 1 of 2,9,2,Mavericks
8:20,Mavericks offensive team rebound,9,2,Mavericks
8:20,P.J. Washington misses free throw 2 of 2,9,2,Mavericks
8:18,Chet Holmgren defensive rebound,9,2,Thunder
8:08,Isaiah Hartenstein makes dunk (Shai Gilgeous-Alexander assists),11,2,Thunder
8:08,Mavericks Full timeout,11,2,Mavericks
8:08,D'Angelo Russell enters the game for P.J. Washington,11,2,Mavericks
